draw_id,date,n1,n2,n3,n4,n5,n6,year,draw_number,draw_position,source_url,draw_no,bonus_number,source
1,,8,12,25,31,40,42,1958,0,1,raw:bst_649_1958.txt,0,,
2,,6,13,28,38,46,47,1958,1,1,raw:bst_649_1958.txt,1,,
3,,2,7,15,26,27,49,1958,2,1,raw:bst_649_1958.txt,2,,
4,,7,10,21,26,32,38,1958,3,1,raw:bst_649_1958.txt,3,,
5,,8,14,18,22,31,38,1958,4,1,raw:bst_649_1958.txt,4,,
6,,8,18,19,24,33,42,1958,5,1,raw:bst_649_1958.txt,5,,
7,,10,15,23,29,37,49,1958,6,1,raw:bst_649_1958.txt,6,,
8,,22,27,28,41,44,47,1958,7,1,raw:bst_649_1958.txt,7,,
9,,18,21,22,37,41,49,1958,8,1,raw:bst_649_1958.txt,8,,
10,,1,9,10,18,32,41,1958,9,1,raw:bst_649_1958.txt,9,,
11,,7,8,11,19,29,30,1958,10,1,raw:bst_649_1958.txt,10,,
12,,2,16,18,27,34,47,1958,11,1,raw:bst_649_1958.txt,11,,
13,,9,11,21,30,33,48,1958,12,1,raw:bst_649_1958.txt,12,,
14,,2,8,20,32,37,41,1958,13,1,raw:bst_649_1958.txt,13,,
15,,13,18,19,29,36,42,1958,14,1,raw:bst_649_1958.txt,14,,
16,,3,11,16,17,26,49,1958,15,1,raw:bst_649_1958.txt,15,,
17,,6,15,20,30,35,36,1958,16,1,raw:bst_649_1958.txt,16,,
18,,5,16,20,31,35,40,1958,17,1,raw:bst_649_1958.txt,17,,
19,,7,12,24,30,32,34,1958,18,1,raw:bst_649_1958.txt,18,,
20,,9,11,13,19,30,34,1958,19,1,raw:bst_649_1958.txt,19,,
21,,1,10,12,16,28,40,1958,20,1,raw:bst_649_1958.txt,20,,
22,,11,16,18,22,36,45,1958,21,1,raw:bst_649_1958.txt,21,,
23,,4,6,25,31,41,48,1958,22,1,raw:bst_649_1958.txt,22,,
24,,3,8,23,37,40,41,1958,23,1,raw:bst_649_1958.txt,23,,
25,,8,17,19,20,23,44,1958,24,1,raw:bst_649_1958.txt,24,,
26,,12,15,30,31,41,43,1958,25,1,raw:bst_649_1958.txt,25,,
27,,16,19,35,37,46,49,1958,26,1,raw:bst_649_1958.txt,26,,
28,,3,4,21,26,42,49,1958,27,1,raw:bst_649_1958.txt,27,,
29,,2,16,30,40,42,49,1958,28,1,raw:bst_649_1958.txt,28,,
30,,17,26,30,39,42,43,1958,29,1,raw:bst_649_1958.txt,29,,
31,,6,12,25,28,33,35,1958,30,1,raw:bst_649_1958.txt,30,,
32,,5,10,14,22,33,43,1958,31,1,raw:bst_649_1958.txt,31,,
33,,2,7,14,34,42,43,1958,32,1,raw:bst_649_1958.txt,32,,
34,,4,9,10,18,35,48,1958,33,1,raw:bst_649_1958.txt,33,,
35,,16,18,21,24,28,43,1958,34,1,raw:bst_649_1958.txt,34,,
36,,3,14,22,32,33,34,1958,35,1,raw:bst_649_1958.txt,35,,
37,,8,11,41,42,43,46,1958,36,1,raw:bst_649_1958.txt,36,,
38,,3,4,9,16,26,42,1958,37,1,raw:bst_649_1958.txt,37,,
39,,1,10,11,23,45,46,1958,38,1,raw:bst_649_1958.txt,38,,
40,,4,6,17,21,27,31,1958,39,1,raw:bst_649_1958.txt,39,,
41,,4,13,22,25,31,35,1958,40,1,raw:bst_649_1958.txt,40,,
42,,2,17,19,22,33,44,1958,41,1,raw:bst_649_1958.txt,41,,
43,,8,32,34,35,40,42,1958,42,1,raw:bst_649_1958.txt,42,,
44,,7,15,19,29,38,47,1958,43,1,raw:bst_649_1958.txt,43,,
45,,13,16,20,36,47,49,1958,44,1,raw:bst_649_1958.txt,44,,
46,,7,21,23,25,31,44,1958,45,1,raw:bst_649_1958.txt,45,,
47,,12,16,19,32,38,40,1958,46,1,raw:bst_649_1958.txt,46,,
48,,1,8,19,27,41,44,1958,47,1,raw:bst_649_1958.txt,47,,
49,,12,21,27,28,41,45,1958,48,1,raw:bst_649_1958.txt,48,,
50,,6,8,23,27,42,47,1958,49,1,raw:bst_649_1958.txt,49,,
51,,17,24,31,32,37,47,1958,50,1,raw:bst_649_1958.txt,50,,
52,,1,13,16,21,30,34,1958,51,1,raw:bst_649_1958.txt,51,,
53,,6,16,22,32,38,45,1958,52,1,raw:bst_649_1958.txt,52,,
54,,9,11,18,39,43,48,1959,1,1,raw:bst_649_1959.txt,1,,
55,,7,15,18,41,45,49,1959,2,1,raw:bst_649_1959.txt,2,,
56,,8,9,16,22,41,45,1959,3,1,raw:bst_649_1959.txt,3,,
57,,2,9,11,17,28,48,1959,4,1,raw:bst_649_1959.txt,4,,
58,,2,5,24,30,34,46,1959,5,1,raw:bst_649_1959.txt,5,,
59,,13,18,25,28,31,33,1959,6,1,raw:bst_649_1959.txt,6,,
60,,2,12,24,25,30,48,1959,7,1,raw:bst_649_1959.txt,7,,
61,,5,9,10,20,21,30,1959,8,1,raw:bst_649_1959.txt,8,,
62,,29,30,37,41,42,45,1959,9,1,raw:bst_649_1959.txt,9,,
63,,3,9,13,20,22,39,1959,10,1,raw:bst_649_1959.txt,10,,
64,,17,21,24,27,30,48,1959,11,1,raw:bst_649_1959.txt,11,,
65,,8,18,26,32,35,43,1959,12,1,raw:bst_649_1959.txt,12,,
66,,16,18,28,43,45,49,1959,13,1,raw:bst_649_1959.txt,13,,
67,,9,11,25,30,38,42,1959,14,1,raw:bst_649_1959.txt,14,,
68,,2,10,13,17,25,27,1959,15,1,raw:bst_649_1959.txt,15,,
69,,12,17,19,30,39,48,1959,16,1,raw:bst_649_1959.txt,16,,
70,,2,11,15,24,37,44,1959,17,1,raw:bst_649_1959.txt,17,,
71,,1,15,21,36,40,41,1959,18,1,raw:bst_649_1959.txt,18,,
72,,2,18,22,23,36,48,1959,19,1,raw:bst_649_1959.txt,19,,
73,,23,24,32,41,44,48,1959,20,1,raw:bst_649_1959.txt,20,,
