draw_key,draw_year,draw_number,draw_date,n1,n2,n3,n4,n5,n6,numbers_text,jackpot_eur,winners_6,prize_6_eur,total_6_eur,winners_5,prize_5_eur,total_5_eur,winners_4,prize_4_eur,total_4_eur,winners_3,prize_3_eur,total_3_eur,source_url,imported_at_utc,note,validation_errors
2026-24,2026,24,2026-03-29,20,25,27,29,30,46,"20, 25, 27, 29, 30, 46",1260571.36,0,0.0,0.0,6,3786.9,22721.4,455,55.2,25116.0,9392,5.7,53534.4,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
2026-25,2026,25,2026-04-02,13,18,23,38,40,49,"13, 18, 23, 38, 40, 49",1334415.04,0,0.0,0.0,6,3203.3,19219.8,505,42.1,21260.5,9053,5.0,45265.0,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
2026-26,2026,26,2026-04-05,1,6,7,12,13,19,"1, 6, 7, 12, 13, 19",1434424.3,0,0.0,0.0,40,650.7,26028.0,1433,20.1,28803.3,19684,3.1,61020.4,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
2026-27,2026,27,2026-04-09,1,6,21,22,39,45,"1, 6, 21, 22, 39, 45",1517064.62,0,0.0,0.0,5,4301.8,21509.0,417,57.0,23769.0,8491,6.0,50946.0,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
2026-28,2026,28,2026-04-12,2,4,8,14,28,43,"2, 4, 8, 14, 28, 43",1625884.73,0,0.0,0.0,22,1287.4,28322.8,842,37.2,31322.4,13657,4.9,66919.3,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
2026-29,2026,29,2026-04-16,11,18,21,38,48,49,"11, 18, 21, 38, 48, 49",1703261.61,0,0.0,0.0,6,3356.5,20139.0,541,41.1,22235.1,8592,5.6,48115.2,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
2026-30,2026,30,2026-04-19,9,19,37,40,41,47,"9, 19, 37, 40, 41, 47",1797321.32,0,0.0,0.0,14,1748.7,24481.8,629,43.0,27047.0,10993,5.3,58262.9,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
2026-31,2026,31,2026-04-23,2,7,11,16,23,30,"2, 7, 11, 16, 23, 30",1876421.0,0,0.0,0.0,39,527.9,20588.1,1072,21.2,22726.4,14339,3.4,48752.6,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
2026-32,2026,32,2026-04-26,8,11,26,30,36,38,"8, 11, 26, 30, 36, 38",1966832.32,0,0.0,0.0,7,3361.7,23531.9,520,50.0,26000.0,10399,5.4,56154.6,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
2026-33,2026,33,2026-04-30,2,8,18,20,26,42,"2, 8, 18, 20, 26, 42",2046353.65,0,0.0,0.0,15,1379.8,20697.0,803,28.5,22885.5,11546,4.3,49647.8,official_manual_screenshot_2026_24_49,2026-06-27T06:06:53+00:00,Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да.,
