number,draw_count,share_of_all_drawn_numbers
01,8,0.0278
02,6,0.0208
03,7,0.0243
04,5,0.0174
05,4,0.0139
06,4,0.0139
07,5,0.0174
08,6,0.0208
09,6,0.0208
10,4,0.0139
11,7,0.0243
12,7,0.0243
13,9,0.0312
14,4,0.0139
15,4,0.0139
16,5,0.0174
17,6,0.0208
18,9,0.0312
19,5,0.0174
20,7,0.0243
21,3,0.0104
22,7,0.0243
23,8,0.0278
24,8,0.0278
25,2,0.0069
26,7,0.0243
27,4,0.0139
28,7,0.0243
29,4,0.0139
30,7,0.0243
31,3,0.0104
32,3,0.0104
33,7,0.0243
34,2,0.0069
35,3,0.0104
36,10,0.0347
37,12,0.0417
38,9,0.0312
39,5,0.0174
40,5,0.0174
41,4,0.0139
42,9,0.0312
43,5,0.0174
44,5,0.0174
45,4,0.0139
46,6,0.0208
47,3,0.0104
48,7,0.0243
49,11,0.0382
