Двойка,Число A,Число B,Появявания
24-37,24,37,5
01-07,1,7,3
08-42,8,42,3
11-16,11,16,3
11-18,11,18,3
11-36,11,36,3
12-49,12,49,3
13-23,13,23,3
13-36,13,36,3
13-42,13,42,3
13-49,13,49,3
16-23,16,23,3
17-37,17,37,3
17-49,17,49,3
18-48,18,48,3
18-49,18,49,3
22-33,22,33,3
23-36,23,36,3
23-38,23,38,3
24-36,24,36,3
26-30,26,30,3
29-42,29,42,3
33-48,33,48,3
36-37,36,37,3
37-48,37,48,3
38-48,38,48,3
01-06,1,6,2
01-12,1,12,2
01-30,1,30,2
01-37,1,37,2
01-39,1,39,2
01-49,1,49,2
02-08,2,8,2
02-11,2,11,2
02-18,2,18,2
02-19,2,19,2
02-23,2,23,2
02-26,2,26,2
02-42,2,42,2
03-04,3,4,2
03-12,3,12,2
03-13,3,13,2
03-20,3,20,2
03-33,3,33,2
03-40,3,40,2
03-44,3,44,2
03-47,3,47,2
03-49,3,49,2
04-33,4,33,2
04-43,4,43,2
04-44,4,44,2
05-07,5,7,2
05-37,5,37,2
05-49,5,49,2
06-12,6,12,2
06-13,6,13,2
06-15,6,15,2
06-19,6,19,2
07-13,7,13,2
07-42,7,42,2
08-14,8,14,2
08-20,8,20,2
08-26,8,26,2
08-38,8,38,2
08-43,8,43,2
09-37,9,37,2
09-38,9,38,2
09-39,9,39,2
09-43,9,43,2
09-48,9,48,2
10-24,10,24,2
10-28,10,28,2
10-36,10,36,2
10-37,10,37,2
11-30,11,30,2
11-37,11,37,2
11-38,11,38,2
11-49,11,49,2
12-13,12,13,2
12-19,12,19,2
12-23,12,23,2
12-30,12,30,2
12-40,12,40,2
13-28,13,28,2
13-38,13,38,2
14-36,14,36,2
14-42,14,42,2
15-36,15,36,2
15-37,15,37,2
16-18,16,18,2
16-36,16,36,2
17-33,17,33,2
17-36,17,36,2
17-39,17,39,2
18-19,18,19,2
18-20,18,20,2
18-23,18,23,2
18-36,18,36,2
18-37,18,37,2
18-38,18,38,2
18-42,18,42,2
19-37,19,37,2
20-26,20,26,2
20-27,20,27,2
20-30,20,30,2
20-42,20,42,2
20-46,20,46,2
20-49,20,49,2
22-26,22,26,2
22-28,22,28,2
22-37,22,37,2
22-45,22,45,2
22-48,22,48,2
23-24,23,24,2
23-27,23,27,2
23-40,23,40,2
23-42,23,42,2
24-28,24,28,2
24-32,24,32,2
24-33,24,33,2
24-38,24,38,2
24-48,24,48,2
26-42,26,42,2
26-43,26,43,2
27-38,27,38,2
27-46,27,46,2
28-36,28,36,2
28-37,28,37,2
28-49,28,49,2
30-49,30,49,2
31-33,31,33,2
31-38,31,38,2
33-38,33,38,2
36-39,36,39,2
36-49,36,49,2
37-38,37,38,2
37-41,37,41,2
37-46,37,46,2
37-49,37,49,2
38-42,38,42,2
38-46,38,46,2
38-49,38,49,2
39-45,39,45,2
40-49,40,49,2
41-47,41,47,2
42-49,42,49,2
01-03,1,3,1
01-04,1,4,1
01-05,1,5,1
01-08,1,8,1
01-09,1,9,1
01-10,1,10,1
01-11,1,11,1
01-13,1,13,1
01-14,1,14,1
01-15,1,15,1
01-16,1,16,1
01-19,1,19,1
01-21,1,21,1
01-22,1,22,1
01-24,1,24,1
01-26,1,26,1
01-29,1,29,1
01-32,1,32,1
01-34,1,34,1
01-40,1,40,1
01-42,1,42,1
01-43,1,43,1
01-44,1,44,1
01-45,1,45,1
01-46,1,46,1
02-04,2,4,1
02-06,2,6,1
02-07,2,7,1
02-12,2,12,1
02-14,2,14,1
02-15,2,15,1
02-16,2,16,1
02-20,2,20,1
02-24,2,24,1
02-27,2,27,1
02-28,2,28,1
02-30,2,30,1
02-35,2,35,1
02-37,2,37,1
02-38,2,38,1
02-43,2,43,1
03-08,3,8,1
03-16,3,16,1
03-17,3,17,1
03-22,3,22,1
03-23,3,23,1
03-27,3,27,1
03-35,3,35,1
03-36,3,36,1
03-38,3,38,1
03-39,3,39,1
03-41,3,41,1
03-42,3,42,1
03-43,3,43,1
03-45,3,45,1
03-46,3,46,1
03-48,3,48,1
04-08,4,8,1
04-13,4,13,1
04-14,4,14,1
04-17,4,17,1
04-20,4,20,1
04-22,4,22,1
04-24,4,24,1
04-28,4,28,1
04-30,4,30,1
04-31,4,31,1
04-34,4,34,1
04-37,4,37,1
04-41,4,41,1
04-47,4,47,1
04-48,4,48,1
05-13,5,13,1
05-15,5,15,1
05-17,5,17,1
05-18,5,18,1
05-19,5,19,1
05-24,5,24,1
05-31,5,31,1
05-32,5,32,1
05-36,5,36,1
05-38,5,38,1
05-42,5,42,1
05-46,5,46,1
05-48,5,48,1
06-07,6,7,1
06-21,6,21,1
06-22,6,22,1
06-23,6,23,1
06-26,6,26,1
06-35,6,35,1
06-36,6,36,1
06-39,6,39,1
06-45,6,45,1
07-08,7,8,1
07-11,7,11,1
07-12,7,12,1
07-14,7,14,1
07-16,7,16,1
07-19,7,19,1
07-23,7,23,1
07-29,7,29,1
07-30,7,30,1
07-31,7,31,1
07-32,7,32,1
07-38,7,38,1
07-46,7,46,1
07-49,7,49,1
08-09,8,9,1
08-11,8,11,1
08-13,8,13,1
08-18,8,18,1
08-28,8,28,1
08-29,8,29,1
08-30,8,30,1
08-36,8,36,1
08-45,8,45,1
08-46,8,46,1
08-49,8,49,1
09-10,9,10,1
09-17,9,17,1
09-18,9,18,1
09-19,9,19,1
09-20,9,20,1
09-26,9,26,1
09-28,9,28,1
09-29,9,29,1
09-30,9,30,1
09-31,9,31,1
09-33,9,33,1
09-40,9,40,1
09-41,9,41,1
09-42,9,42,1
09-45,9,45,1
09-46,9,46,1
09-47,9,47,1
09-49,9,49,1
10-11,10,11,1
10-13,10,13,1
10-14,10,14,1
10-15,10,15,1
10-16,10,16,1
10-18,10,18,1
10-20,10,20,1
10-21,10,21,1
10-32,10,32,1
10-48,10,48,1
11-12,11,12,1
11-15,11,15,1
11-19,11,19,1
11-21,11,21,1
11-23,11,23,1
11-24,11,24,1
11-26,11,26,1
11-28,11,28,1
11-34,11,34,1
