Тираж,Дата,Сума,Категория,Четни,Нечетни,Ниски 1-24,Високи 25-49
00,2026-01-04,180,Висока,4,2,2,4
01,2026-01-08,181,Висока,3,3,2,4
02,2026-01-11,133,Средна,5,1,4,2
03,2026-01-15,143,Средна,5,1,3,3
04,2026-01-18,182,Висока,4,2,2,4
05,2026-01-22,104,Средна,4,2,5,1
06,2026-01-25,149,Средна,3,3,3,3
07,2026-01-29,181,Висока,3,3,3,3
08,2026-02-01,182,Висока,2,4,2,4
09,2026-02-05,105,Средна,3,3,5,1
10,2026-02-08,178,Висока,4,2,2,4
11,2026-02-12,176,Висока,4,2,3,3
12,2026-02-15,164,Средна,4,2,3,3
13,2026-02-19,221,Висока,3,3,1,5
14,2026-02-22,196,Висока,2,4,1,5
15,2026-02-26,142,Средна,4,2,4,2
16,2026-03-01,151,Средна,3,3,4,2
17,2026-03-05,159,Средна,1,5,3,3
18,2026-03-08,123,Средна,3,3,4,2
19,2026-03-12,130,Средна,4,2,3,3
20,2026-03-15,149,Средна,3,3,3,3
21,2026-03-19,208,Висока,4,2,2,4
22,2026-03-22,174,Висока,4,2,2,4
23,2026-03-26,129,Средна,3,3,4,2
24,2026-03-29,177,Висока,3,3,1,5
25,2026-04-02,181,Висока,3,3,3,3
26,2026-04-05,58,Ниска,2,4,6,0
27,2026-04-09,134,Средна,2,4,4,2
28,2026-04-12,99,Ниска,5,1,4,2
29,2026-04-16,185,Висока,3,3,3,3
30,2026-04-19,193,Висока,1,5,2,4
31,2026-04-23,89,Ниска,3,3,5,1
32,2026-04-26,149,Средна,5,1,2,4
33,2026-04-30,116,Средна,6,0,4,2
34,2026-05-03,155,Средна,3,3,3,3
35,2026-05-07,135,Средна,3,3,4,2
36,2026-05-10,151,Средна,3,3,3,3
37,2026-05-14,136,Средна,2,4,3,3
38,2026-05-17,140,Средна,2,4,3,3
39,2026-05-21,173,Висока,1,5,2,4
40,2026-05-24,189,Висока,3,3,2,4
41,2026-05-28,103,Средна,3,3,4,2
42,2026-05-31,185,Висока,1,5,2,4
43,2026-06-04,179,Висока,1,5,2,4
44,2026-06-07,148,Средна,2,4,2,4
45,2026-06-11,90,Ниска,2,4,5,1
46,2026-06-14,101,Средна,3,3,4,2
47,2026-06-18,187,Висока,5,1,1,5
