line_no,numbers_text,play_date,role,status,target_draw_date,ticket_id,ticket_key,total_price_eur
1,"2, 21, 25, 34, 43, 45",2026-06-26,основна комбинация,Проверен,2026-06-28,1,a7ca6d9cb0f84a450165b1e7,3.6
2,"2, 21, 30, 40, 42, 45",2026-06-26,основна комбинация,Проверен,2026-06-28,1,a7ca6d9cb0f84a450165b1e7,3.6
3,"7, 21, 27, 28, 34, 45",2026-06-26,основна комбинация,Проверен,2026-06-28,1,a7ca6d9cb0f84a450165b1e7,3.6
4,"2, 11, 25, 27, 38, 45",2026-06-26,резервна комбинация,Проверен,2026-06-28,1,a7ca6d9cb0f84a450165b1e7,3.6
1,"2, 13, 19, 25, 30, 44",2026-06-26,резервна комбинация,Проверен,2026-06-28,2,8015f15b42d3c3fd5f263153,3.6
2,"2, 21, 29, 41, 42, 44",2026-06-26,резервна комбинация,Проверен,2026-06-28,2,8015f15b42d3c3fd5f263153,3.6
3,"11, 20, 21, 27, 34, 44",2026-06-26,само наблюдение,Проверен,2026-06-28,2,8015f15b42d3c3fd5f263153,3.6
4,"3, 13, 25, 30, 38, 44",2026-06-26,само наблюдение,Проверен,2026-06-28,2,8015f15b42d3c3fd5f263153,3.6
1,"7, 12, 25, 26, 34, 42",2026-06-26,активен план,Проверен,2026-06-28,3,16c83caae6eb5b153b7dda26,3.6
2,"4, 22, 24, 29, 37, 44",2026-06-26,активен план,Проверен,2026-06-28,3,16c83caae6eb5b153b7dda26,3.6
3,"2, 21, 28, 33, 45, 48",2026-06-26,активен план,Проверен,2026-06-28,3,16c83caae6eb5b153b7dda26,3.6
4,"11, 20, 23, 27, 38, 41",2026-06-26,активен план,Проверен,2026-06-28,3,16c83caae6eb5b153b7dda26,3.6
