id,ticket_id,line_no,source_ticket_id,role,n1,n2,n3,n4,n5,n6,numbers_text,price_eur,played,note
12,3,4,4,активен план,11,20,23,27,38,41,"11, 20, 23, 27, 38, 41",0.9,1,Ред от active plan v94.
11,3,3,3,активен план,2,21,28,33,45,48,"2, 21, 28, 33, 45, 48",0.9,1,Ред от active plan v94.
10,3,2,2,активен план,4,22,24,29,37,44,"4, 22, 24, 29, 37, 44",0.9,1,Ред от active plan v94.
9,3,1,1,активен план,7,12,25,26,34,42,"7, 12, 25, 26, 34, 42",0.9,1,Ред от active plan v94.
8,2,4,7,само наблюдение,3,13,25,30,38,44,"3, 13, 25, 30, 38, 44",0.9,1,не влиза в основния пакет
7,2,3,2,само наблюдение,11,20,21,27,34,44,"11, 20, 21, 27, 34, 44",0.9,1,не влиза в основния пакет
6,2,2,1,резервна комбинация,2,21,29,41,42,44,"2, 21, 29, 41, 42, 44",0.9,1,пази като резервен вариант
5,2,1,6,резервна комбинация,2,13,19,25,30,44,"2, 13, 19, 25, 30, 44",0.9,1,пази като резервен вариант
4,1,4,3,резервна комбинация,2,11,25,27,38,45,"2, 11, 25, 27, 38, 45",0.9,1,пази като резервен вариант
3,1,3,4,основна комбинация,7,21,27,28,34,45,"7, 21, 27, 28, 34, 45",0.9,1,включен във финалния пакет
2,1,2,8,основна комбинация,2,21,30,40,42,45,"2, 21, 30, 40, 42, 45",0.9,1,включен във финалния пакет
1,1,1,5,основна комбинация,2,21,25,34,43,45,"2, 21, 25, 34, 43, 45",0.9,1,включен във финалния пакет
