draw_event_id,source_draw_id,date,year,draw_number,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source_url,rules_version,data_status
1958-000-1,1,,1958,0,1,8,12,25,31,40,42,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-001-1,2,,1958,1,1,6,13,28,38,46,47,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-002-1,3,,1958,2,1,2,7,15,26,27,49,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-003-1,4,,1958,3,1,7,10,21,26,32,38,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-004-1,5,,1958,4,1,8,14,18,22,31,38,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-005-1,6,,1958,5,1,8,18,19,24,33,42,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-006-1,7,,1958,6,1,10,15,23,29,37,49,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-007-1,8,,1958,7,1,22,27,28,41,44,47,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-008-1,9,,1958,8,1,18,21,22,37,41,49,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-009-1,10,,1958,9,1,1,9,10,18,32,41,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-010-1,11,,1958,10,1,7,8,11,19,29,30,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-011-1,12,,1958,11,1,2,16,18,27,34,47,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-012-1,13,,1958,12,1,9,11,21,30,33,48,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-013-1,14,,1958,13,1,2,8,20,32,37,41,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-014-1,15,,1958,14,1,13,18,19,29,36,42,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-015-1,16,,1958,15,1,3,11,16,17,26,49,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-016-1,17,,1958,16,1,6,15,20,30,35,36,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-017-1,18,,1958,17,1,5,16,20,31,35,40,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-018-1,19,,1958,18,1,7,12,24,30,32,34,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-019-1,20,,1958,19,1,9,11,13,19,30,34,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-020-1,21,,1958,20,1,1,10,12,16,28,40,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-021-1,22,,1958,21,1,11,16,18,22,36,45,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-022-1,23,,1958,22,1,4,6,25,31,41,48,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-023-1,24,,1958,23,1,3,8,23,37,40,41,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-024-1,25,,1958,24,1,8,17,19,20,23,44,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-025-1,26,,1958,25,1,12,15,30,31,41,43,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-026-1,27,,1958,26,1,16,19,35,37,46,49,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-027-1,28,,1958,27,1,3,4,21,26,42,49,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-028-1,29,,1958,28,1,2,16,30,40,42,49,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-029-1,30,,1958,29,1,17,26,30,39,42,43,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-030-1,31,,1958,30,1,6,12,25,28,33,35,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-031-1,32,,1958,31,1,5,10,14,22,33,43,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-032-1,33,,1958,32,1,2,7,14,34,42,43,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-033-1,34,,1958,33,1,4,9,10,18,35,48,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-034-1,35,,1958,34,1,16,18,21,24,28,43,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-035-1,36,,1958,35,1,3,14,22,32,33,34,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-036-1,37,,1958,36,1,8,11,41,42,43,46,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-037-1,38,,1958,37,1,3,4,9,16,26,42,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-038-1,39,,1958,38,1,1,10,11,23,45,46,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-039-1,40,,1958,39,1,4,6,17,21,27,31,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-040-1,41,,1958,40,1,4,13,22,25,31,35,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-041-1,42,,1958,41,1,2,17,19,22,33,44,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-042-1,43,,1958,42,1,8,32,34,35,40,42,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-043-1,44,,1958,43,1,7,15,19,29,38,47,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-044-1,45,,1958,44,1,13,16,20,36,47,49,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-045-1,46,,1958,45,1,7,21,23,25,31,44,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-046-1,47,,1958,46,1,12,16,19,32,38,40,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-047-1,48,,1958,47,1,1,8,19,27,41,44,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-048-1,49,,1958,48,1,12,21,27,28,41,45,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-049-1,50,,1958,49,1,6,8,23,27,42,47,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-050-1,51,,1958,50,1,17,24,31,32,37,47,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-051-1,52,,1958,51,1,1,13,16,21,30,34,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1958-052-1,53,,1958,52,1,6,16,22,32,38,45,,raw:bst_649_1958.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-001-1,54,,1959,1,1,9,11,18,39,43,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-002-1,55,,1959,2,1,7,15,18,41,45,49,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-003-1,56,,1959,3,1,8,9,16,22,41,45,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-004-1,57,,1959,4,1,2,9,11,17,28,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-005-1,58,,1959,5,1,2,5,24,30,34,46,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-006-1,59,,1959,6,1,13,18,25,28,31,33,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-007-1,60,,1959,7,1,2,12,24,25,30,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-008-1,61,,1959,8,1,5,9,10,20,21,30,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-009-1,62,,1959,9,1,29,30,37,41,42,45,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-010-1,63,,1959,10,1,3,9,13,20,22,39,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-011-1,64,,1959,11,1,17,21,24,27,30,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-012-1,65,,1959,12,1,8,18,26,32,35,43,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-013-1,66,,1959,13,1,16,18,28,43,45,49,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-014-1,67,,1959,14,1,9,11,25,30,38,42,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-015-1,68,,1959,15,1,2,10,13,17,25,27,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-016-1,69,,1959,16,1,12,17,19,30,39,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-017-1,70,,1959,17,1,2,11,15,24,37,44,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-018-1,71,,1959,18,1,1,15,21,36,40,41,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-019-1,72,,1959,19,1,2,18,22,23,36,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-020-1,73,,1959,20,1,23,24,32,41,44,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-021-1,74,,1959,21,1,2,4,30,37,44,47,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-022-1,75,,1959,22,1,16,23,26,34,37,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-023-1,76,,1959,23,1,18,21,29,30,31,44,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-024-1,77,,1959,24,1,6,8,12,17,24,31,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-025-1,78,,1959,25,1,7,12,13,23,26,39,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-026-1,79,,1959,26,1,8,9,17,25,41,46,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-027-1,80,,1959,27,1,3,19,20,31,36,40,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-028-1,81,,1959,28,1,13,15,16,18,34,40,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-029-1,82,,1959,29,1,4,20,26,31,34,41,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-030-1,83,,1959,30,1,12,24,36,37,39,44,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-031-1,84,,1959,31,1,8,11,21,30,34,49,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-032-1,85,,1959,32,1,6,28,36,42,45,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-033-1,86,,1959,33,1,7,10,28,39,44,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-034-1,87,,1959,34,1,4,16,17,40,44,49,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-035-1,88,,1959,35,1,8,12,43,44,46,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-036-1,89,,1959,36,1,5,25,31,45,46,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-037-1,90,,1959,37,1,7,8,11,24,27,39,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-038-1,91,,1959,38,1,4,8,17,18,29,43,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-039-1,92,,1959,39,1,14,19,20,27,44,48,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-040-1,93,,1959,40,1,2,5,13,14,28,32,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-041-1,94,,1959,41,1,1,8,15,26,36,46,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-042-1,95,,1959,42,1,9,21,26,28,42,43,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-043-1,96,,1959,43,1,10,15,22,26,27,41,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-044-1,97,,1959,44,1,11,13,29,32,41,46,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-045-1,98,,1959,45,1,5,12,28,29,33,43,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-046-1,99,,1959,46,1,1,20,32,36,39,44,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-047-1,100,,1959,47,1,4,11,22,28,31,42,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-048-1,101,,1959,48,1,2,7,9,11,18,43,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-049-1,102,,1959,49,1,4,11,13,16,24,39,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-050-1,103,,1959,50,1,5,16,21,22,44,45,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-051-1,104,,1959,51,1,21,24,30,36,39,41,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1959-052-1,105,,1959,52,1,18,35,36,41,43,45,,raw:bst_649_1959.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-001-1,106,,1960,1,1,5,9,21,24,39,48,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-002-1,107,,1960,2,1,13,14,25,29,42,48,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-003-1,108,,1960,3,1,15,16,19,23,39,45,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-004-1,109,,1960,4,1,1,3,6,21,31,42,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-005-1,110,,1960,5,1,3,6,23,42,46,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-006-1,111,,1960,6,1,2,4,5,9,13,31,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-007-1,112,,1960,7,1,8,17,28,29,38,43,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-008-1,113,,1960,8,1,1,2,12,17,24,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-009-1,114,,1960,9,1,10,22,27,38,46,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-010-1,115,,1960,10,1,11,15,18,31,38,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-011-1,116,,1960,11,1,1,3,4,11,37,38,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-012-1,117,,1960,12,1,2,8,29,37,41,46,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-013-1,118,,1960,13,1,3,14,18,24,29,39,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-014-1,119,,1960,14,1,15,24,25,29,38,48,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-015-1,120,,1960,15,1,14,23,33,36,37,48,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-016-1,121,,1960,16,1,6,17,18,23,42,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-017-1,122,,1960,17,1,4,10,12,25,27,33,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-018-1,123,,1960,18,1,3,5,6,16,44,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
