year,draw_number,date,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source,source_url,source_file,parser_format,data_status
1958,0,,1,8,12,25,31,40,42,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,1,,1,6,13,28,38,46,47,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,2,,1,2,7,15,26,27,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,3,,1,7,10,21,26,32,38,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,4,,1,8,14,18,22,31,38,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,5,,1,8,18,19,24,33,42,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,6,,1,10,15,23,29,37,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,7,,1,22,27,28,41,44,47,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,8,,1,18,21,22,37,41,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,9,,1,1,9,10,18,32,41,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,10,,1,7,8,11,19,29,30,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,11,,1,2,16,18,27,34,47,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,12,,1,9,11,21,30,33,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,13,,1,2,8,20,32,37,41,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,14,,1,13,18,19,29,36,42,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,15,,1,3,11,16,17,26,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,16,,1,6,15,20,30,35,36,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,17,,1,5,16,20,31,35,40,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,18,,1,7,12,24,30,32,34,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,19,,1,9,11,13,19,30,34,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
