draw_event_id,year,draw_number,date,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source,source_url,source_draw_id,data_status
1958-0-1,1958,0,,1,8,12,25,31,40,42,,historical_draws.csv,raw:bst_649_1958.txt,1,available_without_bonus
1958-1-1,1958,1,,1,6,13,28,38,46,47,,historical_draws.csv,raw:bst_649_1958.txt,2,available_without_bonus
1958-2-1,1958,2,,1,2,7,15,26,27,49,,historical_draws.csv,raw:bst_649_1958.txt,3,available_without_bonus
1958-3-1,1958,3,,1,7,10,21,26,32,38,,historical_draws.csv,raw:bst_649_1958.txt,4,available_without_bonus
1958-4-1,1958,4,,1,8,14,18,22,31,38,,historical_draws.csv,raw:bst_649_1958.txt,5,available_without_bonus
1958-5-1,1958,5,,1,8,18,19,24,33,42,,historical_draws.csv,raw:bst_649_1958.txt,6,available_without_bonus
1958-6-1,1958,6,,1,10,15,23,29,37,49,,historical_draws.csv,raw:bst_649_1958.txt,7,available_without_bonus
1958-7-1,1958,7,,1,22,27,28,41,44,47,,historical_draws.csv,raw:bst_649_1958.txt,8,available_without_bonus
1958-8-1,1958,8,,1,18,21,22,37,41,49,,historical_draws.csv,raw:bst_649_1958.txt,9,available_without_bonus
1958-9-1,1958,9,,1,1,9,10,18,32,41,,historical_draws.csv,raw:bst_649_1958.txt,10,available_without_bonus
1958-10-1,1958,10,,1,7,8,11,19,29,30,,historical_draws.csv,raw:bst_649_1958.txt,11,available_without_bonus
1958-11-1,1958,11,,1,2,16,18,27,34,47,,historical_draws.csv,raw:bst_649_1958.txt,12,available_without_bonus
1958-12-1,1958,12,,1,9,11,21,30,33,48,,historical_draws.csv,raw:bst_649_1958.txt,13,available_without_bonus
1958-13-1,1958,13,,1,2,8,20,32,37,41,,historical_draws.csv,raw:bst_649_1958.txt,14,available_without_bonus
1958-14-1,1958,14,,1,13,18,19,29,36,42,,historical_draws.csv,raw:bst_649_1958.txt,15,available_without_bonus
1958-15-1,1958,15,,1,3,11,16,17,26,49,,historical_draws.csv,raw:bst_649_1958.txt,16,available_without_bonus
