draw_key,draw_year,draw_number,draw_date,n1,n2,n3,n4,n5,n6,numbers_text,jackpot_eur,winners_6,prize_6_eur,total_6_eur,winners_5,prize_5_eur,total_5_eur,winners_4,prize_4_eur,total_4_eur,winners_3,prize_3_eur,total_3_eur,source_url,imported_at_utc,note
2026-24,2026,24,2026-03-29,20,25,27,29,30,46,"20, 25, 27, 29, 30, 46",1260571.36,0,0.00,0.00,6,3786.90,22721.40,455,55.20,25116.00,9392,5.70,53534.40,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-25,2026,25,2026-04-02,13,18,23,38,40,49,"13, 18, 23, 38, 40, 49",1334415.04,0,0.00,0.00,6,3203.30,19219.80,505,42.10,21260.50,9053,5.00,45265.00,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-26,2026,26,2026-04-05,1,6,7,12,13,19,"1, 6, 7, 12, 13, 19",1434424.30,0,0.00,0.00,40,650.70,26028.00,1433,20.10,28803.30,19684,3.10,61020.40,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-27,2026,27,2026-04-09,1,6,21,22,39,45,"1, 6, 21, 22, 39, 45",1517064.62,0,0.00,0.00,5,4301.80,21509.00,417,57.00,23769.00,8491,6.00,50946.00,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-28,2026,28,2026-04-12,2,4,8,14,28,43,"2, 4, 8, 14, 28, 43",1625884.73,0,0.00,0.00,22,1287.40,28322.80,842,37.20,31322.40,13657,4.90,66919.30,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-29,2026,29,2026-04-16,11,18,21,38,48,49,"11, 18, 21, 38, 48, 49",1703261.61,0,0.00,0.00,6,3356.50,20139.00,541,41.10,22235.10,8592,5.60,48115.20,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-30,2026,30,2026-04-19,9,19,37,40,41,47,"9, 19, 37, 40, 41, 47",1797321.32,0,0.00,0.00,14,1748.70,24481.80,629,43.00,27047.00,10993,5.30,58262.90,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-31,2026,31,2026-04-23,2,7,11,16,23,30,"2, 7, 11, 16, 23, 30",1876421.00,0,0.00,0.00,39,527.90,20588.10,1072,21.20,22726.40,14339,3.40,48752.60,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-32,2026,32,2026-04-26,8,11,26,30,36,38,"8, 11, 26, 30, 36, 38",1966832.32,0,0.00,0.00,7,3361.70,23531.90,520,50.00,26000.00,10399,5.40,56154.60,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-33,2026,33,2026-04-30,2,8,18,20,26,42,"2, 8, 18, 20, 26, 42",2046353.65,0,0.00,0.00,15,1379.80,20697.00,803,28.50,22885.50,11546,4.30,49647.80,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-34,2026,34,2026-05-03,13,14,23,27,36,42,"13, 14, 23, 27, 36, 42",2137721.27,0,0.00,0.00,6,3963.40,23780.40,477,55.10,26282.70,10740,5.20,55848.00,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-35,2026,35,2026-05-07,3,8,13,20,42,49,"3, 8, 13, 20, 42, 49",2230994.30,1,2230994.30,2230994.30,9,2697.40,24276.60,505,53.10,26815.50,10378,5.50,57079.00,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Джакпотът е спечелен. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-36,2026,36,2026-05-10,2,23,24,27,37,38,"2, 23, 24, 27, 37, 38",1086605.10,0,0.00,0.00,12,1878.40,22540.80,523,47.60,24894.80,10710,5.00,53550.00,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-37,2026,37,2026-05-14,5,7,13,31,38,42,"5, 7, 13, 31, 38, 42",1163213.00,0,0.00,0.00,10,1993.90,19939.00,669,32.90,22010.10,12394,3.80,47097.20,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-38,2026,38,2026-05-17,1,5,7,32,46,49,"1, 5, 7, 32, 46, 49",1262546.86,0,0.00,0.00,15,1723.60,25854.00,691,41.40,28607.40,12310,5.00,61550.00,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-39,2026,39,2026-05-21,3,17,33,36,39,45,"3, 17, 33, 36, 39, 45",1341238.91,0,0.00,0.00,20,1024.10,20482.00,680,33.30,22644.00,10496,4.60,48281.60,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-40,2026,40,2026-05-24,8,9,38,43,45,46,"8, 9, 38, 43, 45, 46",1440623.36,0,0.00,0.00,4,6466.80,25867.20,258,110.80,28586.40,7033,8.70,61187.10,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-41,2026,41,2026-05-28,2,6,15,19,26,35,"2, 6, 15, 19, 26, 35",1514993.52,0,0.00,0.00,5,3871.30,19356.50,596,35.90,21396.40,10156,4.50,45702.00,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-42,2026,42,2026-05-31,9,17,29,39,42,49,"9, 17, 29, 39, 42, 49",1601347.79,0,0.00,0.00,8,2809.50,22476.00,606,41.00,24846.00,9731,5.50,53520.50,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
2026-43,2026,43,2026-06-04,13,17,28,35,37,49,"13, 17, 28, 35, 37, 49",1676501.24,0,0.00,0.00,11,1778.20,19560.20,450,48.00,21600.00,8866,5.20,46103.20,official_manual_screenshot_2026_24_49,,"Проверен ръчен импорт от официална визуална таблица за 2026. Източник: официален екран/скрийншот. Проверка по числа: да."
