"date","draw_number","draw_sum"
"",0,158
"",1,178
"",2,126
"",3,134
"",4,131
"",5,144
"",6,163
"",7,209
"",8,188
"",9,111
"",10,104
"",11,144
"",12,152
"",13,140
"",14,157
"",15,122
"",16,142
"",17,147
"",18,139
"",19,116
"",20,107
"",21,148
"",22,155
"",23,152
"",24,131
"",25,172
"",26,202
"",27,145
"",28,179
"",29,197
"",30,139
"",31,127
"",32,142
"",33,124
"",34,150
"",35,138
"",36,191
"",37,100
"",38,136
"",39,106
"",40,130
"",41,137
"",42,191
"",43,155
"",44,181
"",45,151
"",46,157
"",47,140
"",48,174
"",49,153
"",50,188
"",51,115
"",52,159
"",1,168
"",2,175
"",3,141
"",4,115
"",5,141
"",6,148
"",7,141
"",8,95
"",9,224
"",10,106
"",11,167
"",12,162
"",13,199
"",14,155
"",15,94
"",16,165
"",17,133
"",18,154
"",19,149
"",20,212
"",21,164
"",22,184
"",23,173
"",24,98
"",25,120
"",26,146
"",27,149
"",28,136
"",29,156
"",30,192
"",31,153
"",32,205
"",33,176
"",34,170
"",35,201
"",36,200
"",37,116
"",38,119
"",39,172
"",40,94
"",41,132
"",42,169
"",43,141
"",44,172
"",45,150
"",46,172
"",47,138
"",48,90
"",49,107
"",50,153
"",51,191
"",52,218
"",1,146
"",2,171
"",3,157
"",4,104
"",5,169
"",6,64
"",7,163
"",8,105
"",9,192
"",10,162
"",11,94
"",12,163
"",13,127
"",14,179
"",15,191
"",16,155
"",17,111
"",18,123
"",19,178
"",20,80
"",21,147
"",22,175
"",23,114
"",24,143
"",25,151
"",26,205
"",27,107
"",28,130
"",29,151
"",30,126
"",31,136
"",32,139
"",33,124
"",34,170
"",35,188
"",36,153
"",37,93
"",38,79
"",39,132
"",40,154
"",41,204
"",42,167
"",43,189
"",44,114
"",45,158
"",46,139
"",47,169
"",48,93
"",49,194
"",50,126
"",51,134
"",52,107
"",1,174
"",2,106
"",3,183
"",4,146
"",5,201
"",6,132
"",7,205
"",8,155
"",9,159
"",10,190
"",11,165
"",12,122
"",13,168
"",14,167
"",15,113
"",16,179
"",17,166
"",18,151
"",19,160
"",20,157
"",21,165
"",22,200
"",23,177
"",24,207
"",25,211
"",26,103
"",27,129
"",28,134
"",29,143
"",30,146
"",31,186
"",32,151
"",33,165
"",34,194
"",35,163
"",36,128
"",37,146
"",38,114
"",39,120
"",40,170
"",41,128
"",42,170
"",43,175
"",44,105
"",45,146
"",46,160
"",47,126
"",48,79
"",49,107
"",50,121
"",51,80
"",52,217
"",53,94
"",1,201
"",2,174
"",3,136
"",4,149
