"number","frequency","frequency_share","expected_uniform_count","diff_from_expected","rank_desc"
44,1293,0.0214108296075509,1232.44897959184,60.5510204081634,1
34,1291,0.021377711541646,1232.44897959184,58.5510204081634,2
21,1290,0.0213611525086935,1232.44897959184,57.5510204081634,3
4,1278,0.0211624441132638,1232.44897959184,45.5510204081634,4
37,1277,0.0211458850803113,1232.44897959184,44.5510204081634,5
11,1275,0.0211127670144064,1232.44897959184,42.5510204081634,6
49,1275,0.0211127670144064,1232.44897959184,42.5510204081634,7
6,1273,0.0210796489485014,1232.44897959184,40.5510204081634,8
17,1270,0.021029971849644,1232.44897959184,37.5510204081634,9
48,1270,0.021029971849644,1232.44897959184,37.5510204081634,10
29,1257,0.0208147044212618,1232.44897959184,24.5510204081634,11
9,1253,0.0207484682894519,1232.44897959184,20.5510204081634,12
28,1252,0.0207319092564994,1232.44897959184,19.5510204081634,13
1,1251,0.0207153502235469,1232.44897959184,18.5510204081634,14
12,1251,0.0207153502235469,1232.44897959184,18.5510204081634,15
22,1250,0.0206987911905945,1232.44897959184,17.5510204081634,16
8,1247,0.020649114091737,1232.44897959184,14.5510204081634,17
30,1247,0.020649114091737,1232.44897959184,14.5510204081634,18
46,1247,0.020649114091737,1232.44897959184,14.5510204081634,19
35,1245,0.0206159960258321,1232.44897959184,12.5510204081634,20
24,1240,0.0205332008610697,1232.44897959184,7.55102040816337,21
25,1240,0.0205332008610697,1232.44897959184,7.55102040816337,22
45,1238,0.0205000827951648,1232.44897959184,5.55102040816337,23
42,1237,0.0204835237622123,1232.44897959184,4.55102040816337,24
38,1234,0.0204338466633549,1232.44897959184,1.55102040816337,25
33,1229,0.0203510514985925,1232.44897959184,-3.44897959183663,26
2,1223,0.0202516973008776,1232.44897959184,-9.44897959183663,27
20,1222,0.0202351382679252,1232.44897959184,-10.4489795918366,28
36,1222,0.0202351382679252,1232.44897959184,-10.4489795918366,29
43,1222,0.0202351382679252,1232.44897959184,-10.4489795918366,30
5,1221,0.0202185792349727,1232.44897959184,-11.4489795918366,31
15,1221,0.0202185792349727,1232.44897959184,-11.4489795918366,32
26,1219,0.0201854611690677,1232.44897959184,-13.4489795918366,33
47,1217,0.0201523431031628,1232.44897959184,-15.4489795918366,34
7,1215,0.0201192250372578,1232.44897959184,-17.4489795918366,35
13,1215,0.0201192250372578,1232.44897959184,-17.4489795918366,36
39,1210,0.0200364298724954,1232.44897959184,-22.4489795918366,37
14,1207,0.019986752773638,1232.44897959184,-25.4489795918366,38
32,1204,0.0199370756747806,1232.44897959184,-28.4489795918366,39
16,1203,0.0199205166418281,1232.44897959184,-29.4489795918366,40
10,1202,0.0199039576088756,1232.44897959184,-30.4489795918366,41
27,1199,0.0198542805100182,1232.44897959184,-33.4489795918366,42
18,1197,0.0198211624441133,1232.44897959184,-35.4489795918366,43
19,1190,0.0197052492134459,1232.44897959184,-42.4489795918366,44
3,1182,0.0195727769498261,1232.44897959184,-50.4489795918366,45
31,1179,0.0195230998509687,1232.44897959184,-53.4489795918366,46
41,1174,0.0194403046862063,1232.44897959184,-58.4489795918366,47
23,1170,0.0193740685543964,1232.44897959184,-62.4489795918366,48
40,1166,0.0193078324225865,1232.44897959184,-66.4489795918366,49
