"number","appearances","current_gap","average_gap","max_gap","gap_ratio"
34,1291,33,7.76511627906977,78,4.24977538185085
25,1240,28,8.09765940274415,73,3.45778929532543
41,1173,22,8.55972696245734,80,2.57017543859649
20,1221,17,8.22213114754098,59,2.06759046954441
23,1169,16,8.59503424657534,71,1.86153999402331
24,1240,16,8.10330912025827,62,1.97450199203187
27,1199,16,8.38313856427379,80,1.90859304988549
31,1179,15,8.52801358234295,51,1.75890901851483
32,1204,14,8.34912718204489,67,1.6768219832736
3,1182,13,8.49534292972058,69,1.5302501744244
45,1238,12,8.10670978172999,66,1.48025528520144
30,1246,8,8.06666666666667,69,0.991735537190083
39,1210,8,8.29114971050455,53,0.96488427773344
43,1222,8,8.21294021294021,88,0.974072596729158
10,1201,7,8.37583333333333,63,0.835737737538553
15,1221,7,8.23934426229508,53,0.84958217270195
37,1276,7,7.88078431372549,56,0.888236464968153
1,1251,6,8.0368,60,0.746565797332272
7,1215,6,8.28088962108732,60,0.724559832885706
14,1207,6,8.33416252072968,56,0.719928365336783
22,1250,5,8.0480384307446,73,0.621269399124552
26,1219,5,8.25451559934319,57,0.605729063059479
29,1256,5,8.00796812749004,52,0.624378109452736
40,1166,5,8.63175965665236,86,0.579256165473349
6,1273,4,7.90566037735849,60,0.505966587112172
13,1215,4,8.2833607907743,55,0.482895783611774
16,1202,4,8.3646960865945,55,0.478200278717898
19,1190,4,8.45416316232128,53,0.473139673696777
42,1236,4,8.14331983805668,60,0.491200159093169
5,1220,3,8.23707957342084,77,0.364206752315506
44,1292,3,7.78543764523625,78,0.385334792557954
46,1247,3,8.07142857142857,58,0.371681415929204
47,1215,3,8.28418451400329,64,0.36213582579298
48,1270,3,7.91646966115051,58,0.378956798725861
2,1223,2,8.22995090016367,66,0.243014815551357
17,1268,2,7.92738752959747,48,0.252289924332935
35,1244,2,8.07964601769912,51,0.247535596933187
8,1247,1,8.07383627608347,53,0.123856858846918
9,1253,1,8.0279552715655,58,0.124564719928365
12,1250,1,8.05444355484387,58,0.124155069582505
18,1197,1,8.40802675585284,69,0.118933969769292
33,1229,1,8.18811074918567,74,0.122128294380905
38,1233,1,8.16477272727273,64,0.122477383437717
4,1278,0,7.86139389193422,57,0
11,1275,0,7.88932496075353,55,0
21,1290,0,7.80294802172227,47,0
28,1252,0,8.04156674660272,53,0
36,1222,0,8.22850122850123,57,0
49,1275,0,7.8956043956044,50,0
