"number","real_frequency","simulated_mean","simulated_p05","simulated_p95","above_p95","below_p05"
1,1251,1236.9,1189.9,1284.7,FALSE,FALSE
2,1223,1234.81,1187.5,1286.4,FALSE,FALSE
3,1182,1227.07,1167.4,1287.05,FALSE,FALSE
4,1278,1231.25,1180.85,1292.25,FALSE,FALSE
5,1221,1229.56,1181.8,1281.45,FALSE,FALSE
6,1273,1231.67,1181.7,1288.1,FALSE,FALSE
7,1215,1235.18,1180.9,1284.3,FALSE,FALSE
8,1247,1232.07,1175.75,1279,FALSE,FALSE
9,1253,1233.67,1182,1289.2,FALSE,FALSE
10,1202,1225.22,1183.9,1275.35,FALSE,FALSE
11,1275,1234,1183.8,1293.1,FALSE,FALSE
12,1251,1234.03,1181.95,1300.4,FALSE,FALSE
13,1215,1233.39,1186.9,1279.05,FALSE,FALSE
14,1207,1234.57,1188,1289.1,FALSE,FALSE
15,1221,1231.17,1170.95,1294.15,FALSE,FALSE
16,1203,1229.06,1181.85,1278.1,FALSE,FALSE
17,1270,1234.79,1179.6,1279.1,FALSE,FALSE
18,1197,1233.41,1159.9,1289.1,FALSE,FALSE
19,1190,1233.49,1177.95,1288.05,FALSE,FALSE
20,1222,1230.25,1183.75,1285.05,FALSE,FALSE
21,1290,1231.71,1173.9,1291.05,FALSE,FALSE
22,1250,1232.31,1187.95,1285.35,FALSE,FALSE
23,1170,1228.77,1177.95,1273.25,FALSE,TRUE
24,1240,1229.2,1181.9,1278.15,FALSE,FALSE
25,1240,1236.79,1181.85,1277.1,FALSE,FALSE
26,1219,1232.99,1173,1280,FALSE,FALSE
27,1199,1232.7,1192.9,1279.1,FALSE,FALSE
28,1252,1238.59,1187.95,1291.45,FALSE,FALSE
29,1257,1230.59,1174,1295.15,FALSE,FALSE
30,1247,1232.41,1182.85,1274.35,FALSE,FALSE
31,1179,1228.81,1183.65,1275.2,FALSE,TRUE
32,1204,1239.63,1184.55,1287.05,FALSE,FALSE
33,1229,1236.12,1177,1299.1,FALSE,FALSE
34,1291,1234.12,1182,1286.1,TRUE,FALSE
35,1245,1231.63,1186.9,1290.2,FALSE,FALSE
36,1222,1231.17,1183.85,1280.15,FALSE,FALSE
37,1277,1228.6,1169.8,1286.2,FALSE,FALSE
38,1234,1235.78,1180.75,1295.1,FALSE,FALSE
39,1210,1231.95,1183.55,1290.2,FALSE,FALSE
40,1166,1232.44,1177.9,1286.05,FALSE,TRUE
41,1174,1232.66,1182.8,1277.15,FALSE,TRUE
42,1237,1234.86,1183.6,1278.2,FALSE,FALSE
43,1222,1232.73,1183.8,1287.05,FALSE,FALSE
44,1293,1230.33,1167.95,1281.1,TRUE,FALSE
45,1238,1229.07,1175.65,1278.05,FALSE,FALSE
46,1247,1230.2,1174.95,1294.05,FALSE,FALSE
47,1217,1231.9,1182.95,1277,FALSE,FALSE
48,1270,1234.91,1187.95,1279.7,FALSE,FALSE
49,1275,1231.47,1173.9,1282.1,FALSE,FALSE
