"pair_a","pair_b","pair","frequency"
34,44,"34-44",165
4,11,"4-11",163
6,30,"6-30",163
26,29,"26-29",162
4,6,"4-6",161
44,49,"44-49",159
6,22,"6-22",158
18,22,"18-22",157
4,44,"4-44",157
11,32,"11-32",156
4,24,"4-24",156
4,47,"4-47",156
41,49,"41-49",155
21,46,"21-46",154
30,34,"30-34",154
1,5,"1-5",153
21,36,"21-36",153
36,37,"36-37",153
37,49,"37-49",153
1,21,"1-21",152
11,35,"11-35",152
17,35,"17-35",152
21,49,"21-49",152
34,38,"34-38",152
37,44,"37-44",152
6,48,"6-48",152
8,37,"8-37",152
11,34,"11-34",151
11,46,"11-46",151
21,32,"21-32",151
14,29,"14-29",150
21,37,"21-37",150
4,25,"4-25",150
13,34,"13-34",149
15,49,"15-49",149
2,17,"2-17",149
30,42,"30-42",149
5,46,"5-46",149
6,45,"6-45",149
18,49,"18-49",148
2,24,"2-24",148
24,30,"24-30",148
29,43,"29-43",148
33,37,"33-37",148
37,47,"37-47",148
5,28,"5-28",148
21,34,"21-34",147
21,48,"21-48",147
35,37,"35-37",147
43,45,"43-45",147
6,42,"6-42",147
8,29,"8-29",147
8,44,"8-44",147
11,24,"11-24",146
12,19,"12-19",146
16,24,"16-24",146
17,25,"17-25",146
17,33,"17-33",146
24,38,"24-38",146
25,48,"25-48",146
28,45,"28-45",146
4,17,"4-17",146
9,21,"9-21",146
1,11,"1-11",145
1,30,"1-30",145
12,44,"12-44",145
2,37,"2-37",145
22,24,"22-24",145
28,43,"28-43",145
29,32,"29-32",145
36,48,"36-48",145
37,41,"37-41",145
39,44,"39-44",145
4,12,"4-12",145
4,22,"4-22",145
4,42,"4-42",145
46,49,"46-49",145
5,35,"5-35",145
7,26,"7-26",145
9,43,"9-43",145
1,9,"1-9",144
11,17,"11-17",144
11,44,"11-44",144
14,49,"14-49",144
15,33,"15-33",144
17,18,"17-18",144
19,21,"19-21",144
2,13,"2-13",144
22,29,"22-29",144
22,48,"22-48",144
25,28,"25-28",144
35,47,"35-47",144
38,44,"38-44",144
4,37,"4-37",144
