"date","draw_number","draw_sum","odd_count","even_count","low_count","high_count","spread"
"",0,158,2,4,2,4,34
"",1,178,2,4,2,4,41
"",2,126,4,2,3,3,47
"",3,134,2,4,3,3,31
"",4,131,1,5,4,2,30
"",5,144,2,4,4,2,34
"",6,163,5,1,3,3,39
"",7,209,3,3,1,5,25
"",8,188,4,2,3,3,31
"",9,111,3,3,4,2,40
"",10,104,4,2,4,2,23
"",11,144,2,4,3,3,45
"",12,152,4,2,3,3,39
"",13,140,2,4,3,3,39
"",14,157,3,3,3,3,29
"",15,122,4,2,4,2,46
"",16,142,2,4,3,3,30
"",17,147,3,3,3,3,35
"",18,139,1,5,3,3,27
"",19,116,4,2,4,2,25
"",20,107,1,5,4,2,39
"",21,148,2,4,4,2,34
"",22,155,3,3,2,4,44
"",23,152,4,2,3,3,38
"",24,131,3,3,5,1,36
"",25,172,4,2,2,4,31
"",26,202,4,2,2,4,33
"",27,145,3,3,3,3,46
"",28,179,1,5,2,4,47
"",29,197,3,3,1,5,26
"",30,139,3,3,2,4,29
"",31,127,3,3,4,2,38
"",32,142,2,4,3,3,41
"",33,124,2,4,4,2,44
"",34,150,2,4,4,2,27
"",35,138,2,4,3,3,31
"",36,191,3,3,2,4,38
"",37,100,2,4,4,2,39
"",38,136,4,2,4,2,45
"",39,106,4,2,4,2,27
"",40,130,4,2,3,3,31
"",41,137,3,3,4,2,42
"",42,191,1,5,1,5,34
"",43,155,5,1,3,3,40
"",44,181,3,3,3,3,36
"",45,151,5,1,3,3,37
"",46,157,1,5,3,3,28
"",47,140,4,2,3,3,43
"",48,174,4,2,2,4,33
"",49,153,3,3,3,3,41
"",50,188,4,2,2,4,30
"",51,115,3,3,4,2,33
"",52,159,1,5,3,3,39
"",1,168,4,2,3,3,39
"",2,175,5,1,3,3,42
"",3,141,3,3,4,2,37
"",4,115,3,3,4,2,46
"",5,141,1,5,3,3,44
"",6,148,4,2,2,4,20
"",7,141,1,5,3,3,46
"",8,95,3,3,5,1,25
"",9,224,4,2,0,6,16
"",10,106,4,2,5,1,36
"",11,167,3,3,3,3,31
"",12,162,2,4,2,4,35
"",13,199,3,3,2,4,33
"",14,155,3,3,2,4,33
"",15,94,4,2,4,2,25
"",16,165,3,3,3,3,36
"",17,133,3,3,4,2,42
"",18,154,4,2,3,3,40
"",19,149,1,5,4,2,46
"",20,212,2,4,2,4,25
"",21,164,2,4,2,4,45
"",22,184,2,4,2,4,32
"",23,173,3,3,2,4,26
"",24,98,2,4,5,1,25
"",25,120,4,2,4,2,32
"",26,146,4,2,3,3,38
"",27,149,3,3,3,3,37
"",28,136,2,4,4,2,27
"",29,156,2,4,2,4,37
"",30,192,2,4,2,4,32
"",31,153,3,3,3,3,41
"",32,205,1,5,1,5,42
"",33,176,2,4,2,4,41
"",34,170,2,4,3,3,45
"",35,201,1,5,2,4,40
"",36,200,4,2,1,5,43
"",37,116,4,2,4,2,32
"",38,119,3,3,4,2,39
"",39,172,2,4,3,3,34
"",40,94,2,4,4,2,30
"",41,132,2,4,3,3,45
"",42,169,3,3,2,4,34
"",43,141,3,3,3,3,31
"",44,172,4,2,2,4,35
"",45,150,4,2,2,4,38
"",46,172,2,4,2,4,43
"",47,138,2,4,3,3,38
"",48,90,4,2,5,1,41
"",49,107,3,3,5,1,35
"",50,153,3,3,4,2,40
"",51,191,3,3,2,4,20
"",52,218,4,2,1,5,27
"",1,146,4,2,4,2,43
"",2,171,3,3,2,4,35
"",3,157,5,1,4,2,30
"",4,104,4,2,4,2,41
"",5,169,3,3,3,3,46
"",6,64,4,2,5,1,29
"",7,163,3,3,2,4,35
"",8,105,3,3,5,1,48
"",9,192,2,4,2,4,39
"",10,162,4,2,3,3,38
"",11,94,4,2,4,2,37
"",12,163,3,3,2,4,44
"",13,127,3,3,4,2,36
"",14,179,3,3,2,4,33
"",15,191,3,3,2,4,34
"",16,155,3,3,4,2,43
"",17,111,3,3,3,3,29
"",18,123,3,3,4,2,46
"",19,178,4,2,3,3,37
"",20,80,4,2,5,1,27
"",21,147,3,3,3,3,45
"",22,175,3,3,2,4,39
"",23,114,4,2,3,3,38
"",24,143,3,3,2,4,45
"",25,151,3,3,3,3,32
"",26,205,1,5,1,5,40
"",27,107,5,1,4,2,34
"",28,130,0,6,4,2,36
"",29,151,5,1,3,3,33
"",30,126,4,2,3,3,38
"",31,136,4,2,3,3,33
"",32,139,1,5,3,3,22
"",33,124,4,2,4,2,43
"",34,170,2,4,3,3,24
"",35,188,4,2,2,4,30
"",36,153,3,3,4,2,33
"",37,93,3,3,5,1,29
"",38,79,3,3,5,1,21
"",39,132,4,2,3,3,40
"",40,154,0,6,3,3,28
"",41,204,4,2,2,4,35
"",42,167,3,3,3,3,31
"",43,189,3,3,1,5,33
"",44,114,4,2,3,3,38
"",45,158,4,2,3,3,31
"",46,139,3,3,4,2,37
"",47,169,3,3,1,5,31
"",48,93,5,1,5,1,28
"",49,194,4,2,2,4,30
"",50,126,4,2,2,4,33
"",51,134,2,4,3,3,33
"",52,107,3,3,4,2,27
"",1,174,2,4,3,3,34
"",2,106,2,4,4,2,31
"",3,183,3,3,3,3,33
"",4,146,4,2,2,4,33
"",5,201,3,3,1,5,30
"",6,132,2,4,4,2,46
"",7,205,3,3,1,5,37
"",8,155,3,3,2,4,41
"",9,159,3,3,2,4,37
"",10,190,4,2,2,4,44
"",11,165,3,3,3,3,43
"",12,122,2,4,4,2,42
"",13,168,2,4,3,3,34
"",14,167,3,3,3,3,27
"",15,113,1,5,4,2,37
"",16,179,3,3,2,4,45
"",17,166,4,2,2,4,33
"",18,151,5,1,2,4,34
"",19,160,4,2,2,4,42
"",20,157,3,3,3,3,44
"",21,165,3,3,3,3,33
"",22,200,4,2,1,5,17
"",23,177,3,3,2,4,42
"",24,207,3,3,0,6,21
"",25,211,3,3,2,4,29
"",26,103,1,5,4,2,37
"",27,129,5,1,4,2,41
"",28,134,2,4,3,3,37
"",29,143,5,1,3,3,37
"",30,146,4,2,3,3,47
"",31,186,6,0,2,4,42
"",32,151,1,5,3,3,46
"",33,165,3,3,3,3,38
"",34,194,2,4,2,4,32
"",35,163,3,3,2,4,38
"",36,128,2,4,4,2,34
"",37,146,2,4,3,3,40
"",38,114,2,4,3,3,39
"",39,120,2,4,4,2,29
"",40,170,2,4,2,4,34
"",41,128,4,2,3,3,29
"",42,170,4,2,2,4,40
"",43,175,5,1,2,4,32
"",44,105,3,3,5,1,30
"",45,146,2,4,3,3,46
"",46,160,2,4,2,4,39
"",47,126,4,2,4,2,45
"",48,79,3,3,5,1,29
"",49,107,3,3,5,1,40
"",50,121,5,1,4,2,42
"",51,80,6,0,5,1,34
"",52,217,3,3,1,5,31
"",53,94,2,4,5,1,21
"",1,201,5,1,1,5,32
"",2,174,4,2,3,3,47
"",3,136,4,2,4,2,47
"",4,149,3,3,3,3,39
"",5,172,2,4,3,3,35
"",6,140,2,4,3,3,45
"",7,191,3,3,2,4,34
"",8,125,3,3,4,2,24
"",9,134,4,2,3,3,37
"",10,85,3,3,4,2,37
"",11,116,4,2,4,2,33
"",12,93,1,5,5,1,23
"",13,96,2,4,5,1,26
"",14,178,2,4,3,3,45
"",15,146,2,4,2,4,27
"",16,191,3,3,1,5,19
"",17,137,3,3,3,3,44
"",18,211,3,3,1,5,40
"",19,146,4,2,3,3,42
"",20,143,1,5,3,3,39
"",21,172,4,2,3,3,37
"",22,130,4,2,4,2,35
"",23,89,3,3,4,2,35
"",24,140,6,0,3,3,44
"",25,174,2,4,1,5,13
"",26,176,2,4,1,5,38
"",27,116,4,2,3,3,39
"",28,113,3,3,5,1,33
"",29,180,2,4,2,4,41
"",30,105,3,3,4,2,37
"",31,159,3,3,3,3,39
"",32,112,2,4,5,1,42
"",33,167,3,3,2,4,41
"",34,167,5,1,3,3,34
"",35,143,1,5,3,3,47
"",36,156,4,2,2,4,28
"",37,145,3,3,2,4,26
"",38,150,0,6,3,3,38
"",39,156,2,4,4,2,44
"",40,99,3,3,5,1,25
