draw_key,draw_year,draw_number,draw_date,n1,n2,n3,n4,n5,n6,numbers_text,jackpot_eur,winners_6,prize_6_eur,total_6_eur,winners_5,prize_5_eur,total_5_eur,winners_4,prize_4_eur,total_4_eur,winners_3,prize_3_eur,total_3_eur,source_url,imported_at_utc,note
2023-10,2023,10,2023-02-05,1,5,6,49,1,6,"1, 5, 6, 49, 1, 6",7680493.64,0,0.0,0.0,29,748.63,21710.37,805,29.81,23995.69,14783,2.61,38547.98,https://toto.virtbg.com/sportToto-y2023-t10.html,2026-06-27T05:15:20+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
2023-9,2023,9,2023-02-02,1,4,6,49,1,6,"1, 4, 6, 49, 1, 6",7597078.44,0,0.0,0.0,5,3795.98,18979.92,600,34.97,20983.42,10045,3.37,33897.12,https://toto.virtbg.com/sportToto-y2023-t9.html,2026-06-27T05:15:18+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
2023-8,2023,8,2023-01-29,1,4,6,6,49,1,"1, 4, 6, 6, 49, 1",7524156.02,0,0.0,0.0,15,1434.99,21524.88,516,46.12,23797.16,9657,3.99,38512.86,https://toto.virtbg.com/sportToto-y2023-t8.html,2026-06-27T05:15:17+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
2023-7,2023,7,2023-01-26,1,4,17,6,49,1,"1, 4, 17, 6, 49, 1",7441456.14,0,0.0,0.0,9,2043.79,18394.08,778,26.13,20326.82,12266,2.71,33238.98,https://toto.virtbg.com/sportToto-y2023-t7.html,2026-06-27T05:15:16+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
2023-6,2023,6,2023-01-22,1,4,14,6,49,1,"1, 4, 14, 6, 49, 1",7370785.36,0,0.0,0.0,21,1042.12,21884.42,775,31.19,24171.32,14534,2.71,39384.92,https://toto.virtbg.com/sportToto-y2023-t6.html,2026-06-27T05:15:15+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
2023-5,2023,5,2023-01-19,1,4,11,6,49,1,"1, 4, 11, 6, 49, 1",7286704.93,0,0.0,0.0,4,4729.71,18918.82,330123,0.46,20905.19,8604,3.94,33873.5,https://toto.virtbg.com/sportToto-y2023-t5.html,2026-06-27T05:15:14+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
2023-4,2023,4,2023-01-15,1,4,33,6,49,1,"1, 4, 33, 6, 49, 1",7214017.24,0,0.0,0.0,22,1010.67,22234.75,662,37.12,24573.3,12090,3.27,39561.72,https://toto.virtbg.com/sportToto-y2023-t4.html,2026-06-27T05:15:13+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
2023-3,2023,3,2023-01-12,1,3,31,6,49,1,"1, 3, 31, 6, 49, 1",7128588.02,0,0.0,0.0,3,6199.52,18598.55,317126,0.41,20551.68,7179,4.65,33402.14,https://toto.virtbg.com/sportToto-y2023-t3.html,2026-06-27T05:15:12+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
2023-2,2023,2,2023-01-08,1,3,6,49,1,6,"1, 3, 6, 49, 1, 6",7057130.59,0,0.0,0.0,20,1229.55,24591.09,695,39.11,27184.11,12774,3.43,43759.32,https://toto.virtbg.com/sportToto-y2023-t2.html,2026-06-27T05:15:11+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
2023-1,2023,1,2023-01-05,1,3,30,6,49,1,"1, 3, 30, 6, 49, 1",6962648.24,0,0.0,0.0,4,4598.92,18395.67,506,40.19,20334.9,9916,3.32,32954.81,https://toto.virtbg.com/sportToto-y2023-t1.html,2026-06-27T05:15:10+00:00,Импортирано от неофициален исторически архив VirtBG. Паричните суми са в BGN в източника и са конвертирани към EUR по фиксиран курс 1 EUR = 1.95583 BGN. Проверка по числа: не.
