ticket_id,Фиш,Ред,Комбинация,Тираж,Дата,Печеливши числа,Попадения,Категория,Съвпаднали числа,Печалба от реда,Статус,Произход
1,Фиш 1,1,"2, 21, 25, 34, 43, 45",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,основна комбинация
1,Фиш 1,2,"2, 21, 30, 40, 42, 45",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,основна комбинация
1,Фиш 1,3,"7, 21, 27, 28, 34, 45",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,основна комбинация
1,Фиш 1,4,"2, 11, 25, 27, 38, 45",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,резервна комбинация
2,Фиш 2,1,"2, 13, 19, 25, 30, 44",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,резервна комбинация
2,Фиш 2,2,"2, 21, 29, 41, 42, 44",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,резервна комбинация
2,Фиш 2,3,"11, 20, 21, 27, 34, 44",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,само наблюдение
2,Фиш 2,4,"3, 13, 25, 30, 38, 44",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,само наблюдение
3,Фиш 3,1,"7, 12, 25, 26, 34, 42",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,активен план
3,Фиш 3,2,"4, 22, 24, 29, 37, 44",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,активен план
3,Фиш 3,3,"2, 21, 28, 33, 45, 48",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,активен план
3,Фиш 3,4,"11, 20, 23, 27, 38, 41",чака данни,2026-06-28,—,0,няма попадение,—,0.0,чака данни за печалбите,активен план
