ticket_no,ticket_title_bg,line_no,numbers_text,role_bg,strategy_bg,source_note_bg,price_eur
1,Фиш 1 — Финален план · основни редове,1,"2, 21, 25, 34, 43, 45",основна комбинация,финален план,"Този фиш е съставен само от редове, които се виждат във Финален план.",0.9
1,Фиш 1 — Финален план · основни редове,2,"2, 21, 30, 40, 42, 45",основна комбинация,финален план,"Този фиш е съставен само от редове, които се виждат във Финален план.",0.9
1,Фиш 1 — Финален план · основни редове,3,"7, 21, 27, 28, 34, 45",основна комбинация,финален план,"Този фиш е съставен само от редове, които се виждат във Финален план.",0.9
1,Фиш 1 — Финален план · основни редове,4,"2, 11, 25, 27, 38, 45",резервна комбинация,финален план,"Този фиш е съставен само от редове, които се виждат във Финален план.",0.9
2,Фиш 2 — Финален план · резервни редове,1,"2, 13, 19, 25, 30, 44",резервна комбинация,финален план,Този фиш също е само от видимия финален план.,0.9
2,Фиш 2 — Финален план · резервни редове,2,"2, 21, 29, 41, 42, 44",резервна комбинация,финален план,Този фиш също е само от видимия финален план.,0.9
2,Фиш 2 — Финален план · резервни редове,3,"11, 20, 21, 27, 34, 44",само наблюдение,финален план,Този фиш също е само от видимия финален план.,0.9
2,Фиш 2 — Финален план · резервни редове,4,"3, 13, 25, 30, 38, 44",само наблюдение,финален план,Този фиш също е само от видимия финален план.,0.9
3,Фиш 3 — Допълващ модел извън финалната таблица,1,"7, 12, 25, 26, 34, 42",допълващ модел,допълващ модел,"Този фиш е допълващ: използва редове от активния модел извън видимата финална таблица, когато са налични.",0.9
3,Фиш 3 — Допълващ модел извън финалната таблица,2,"4, 22, 24, 29, 37, 44",допълващ модел,допълващ модел,"Този фиш е допълващ: използва редове от активния модел извън видимата финална таблица, когато са налични.",0.9
3,Фиш 3 — Допълващ модел извън финалната таблица,3,"2, 21, 28, 33, 45, 48",допълващ модел,допълващ модел,"Този фиш е допълващ: използва редове от активния модел извън видимата финална таблица, когато са налични.",0.9
3,Фиш 3 — Допълващ модел извън финалната таблица,4,"11, 20, 23, 27, 38, 41",допълващ модел,допълващ модел,"Този фиш е допълващ: използва редове от активния модел извън видимата финална таблица, когато са налични.",0.9
