number,r_blended_score,r_frequency_score,r_gap_score,r_monte_carlo_score,latest_draw_repeat_flag,latest_draw_neighbor_flag,r_frequency_count,r_current_gap,r_monte_carlo_observed,r_monte_carlo_expected,r_monte_carlo_deviation,feature_source
34,0.743932,0.992063,1.0,0.136328,0,1,1291.0,33.0,1291.0,1233.73,57.27,R statistical reports
25,0.67786,0.587302,0.848485,0.968087,0,0,1240.0,28.0,1240.0,1236.42,3.58,R statistical reports
24,0.552742,0.587302,0.484848,0.851588,0,0,1240.0,16.0,1240.0,1228.9,11.1,R statistical reports
20,0.544958,0.436508,0.515152,0.886909,0,1,1221.0,17.0,1221.0,1229.82,-8.82,R statistical reports
37,0.522637,0.873016,0.212121,0.282881,0,1,1276.0,7.0,1276.0,1228.19,47.81,R statistical reports
45,0.517682,0.571429,0.363636,0.879318,0,0,1238.0,12.0,1238.0,1228.69,9.31,R statistical reports
30,0.515816,0.634921,0.242424,0.806352,0,1,1246.0,8.0,1246.0,1231.98,14.02,R statistical reports
22,0.511797,0.666667,0.151515,0.746863,0,1,1250.0,5.0,1250.0,1232.14,17.86,R statistical reports
29,0.507568,0.714286,0.151515,0.625716,0,1,1256.0,5.0,1256.0,1230.32,25.68,R statistical reports
48,0.506808,0.825397,0.090909,0.473431,0,1,1270.0,3.0,1270.0,1234.49,35.51,R statistical reports
1,0.493964,0.674603,0.181818,0.798606,0,0,1251.0,6.0,1251.0,1236.48,14.52,R statistical reports
6,0.485618,0.849206,0.121212,0.375058,0,1,1273.0,4.0,1273.0,1231.14,41.86,R statistical reports
12,0.482691,0.666667,0.030303,0.77103,0,1,1250.0,1.0,1250.0,1233.7,16.3,R statistical reports
35,0.482144,0.619048,0.060606,0.825871,0,1,1244.0,2.0,1244.0,1231.24,12.76,R statistical reports
42,0.467273,0.555556,0.121212,1.0,0,0,1236.0,4.0,1236.0,1234.48,1.52,R statistical reports
9,0.462311,0.690476,0.030303,0.719132,0,1,1253.0,1.0,1253.0,1233.35,19.65,R statistical reports
17,0.45807,0.809524,0.060606,0.5055,0,0,1268.0,2.0,1268.0,1234.56,33.44,R statistical reports
44,0.457879,1.0,0.090909,0.062122,0,0,1292.0,3.0,1292.0,1229.94,62.06,R statistical reports
38,0.448999,0.531746,0.030303,0.985902,0,1,1233.0,1.0,1233.0,1235.43,-2.43,R statistical reports
46,0.447151,0.642857,0.090909,0.758482,0,0,1247.0,3.0,1247.0,1229.89,17.11,R statistical reports
8,0.435665,0.642857,0.030303,0.785902,0,0,1247.0,1.0,1247.0,1231.66,15.34,R statistical reports
43,0.42697,0.444444,0.242424,0.862122,0,0,1222.0,8.0,1222.0,1232.42,-10.42,R statistical reports
