pack_no,line_no,n1,n2,n3,n4,n5,n6,numbers_text,r_ticket_score,sum,odd_count,low_count,source
1,1,4,24,25,30,34,49,"4, 24, 25, 30, 34, 49",0.589089,166,2,2,Step 121 R statistical features
1,2,5,24,26,37,38,45,"5, 24, 26, 37, 38, 45",0.531368,175,3,2,Step 121 R statistical features
1,3,7,22,32,37,40,45,"7, 22, 32, 37, 40, 45",0.474527,183,3,2,Step 121 R statistical features
1,4,14,22,29,31,45,47,"14, 22, 29, 31, 45, 47",0.471115,188,4,2,Step 121 R statistical features
2,1,16,17,22,23,29,42,"16, 17, 22, 23, 29, 42",0.493343,149,3,4,Step 121 R statistical features
2,2,4,18,20,29,42,49,"4, 18, 20, 29, 42, 49",0.530831,162,2,3,Step 121 R statistical features
2,3,1,13,20,39,41,42,"1, 13, 20, 39, 41, 42",0.49005,156,4,3,Step 121 R statistical features
2,4,1,7,11,28,30,32,"1, 7, 11, 28, 30, 32",0.517812,109,3,3,Step 121 R statistical features
3,1,11,14,19,28,47,48,"11, 14, 19, 28, 47, 48",0.508991,167,3,3,Step 121 R statistical features
3,2,6,13,21,31,39,44,"6, 13, 21, 31, 39, 44",0.51937,154,4,3,Step 121 R statistical features
3,3,5,21,23,26,44,46,"5, 21, 23, 26, 44, 46",0.502808,165,3,3,Step 121 R statistical features
3,4,7,18,21,32,43,46,"7, 18, 21, 32, 43, 46",0.515315,167,3,3,Step 121 R statistical features
