number,r_frequency_count,r_frequency_score,r_current_gap,r_gap_score,r_monte_carlo_observed,r_monte_carlo_expected,r_monte_carlo_deviation,r_monte_carlo_score,latest_draw_repeat_flag,latest_draw_neighbor_flag,r_blended_score,feature_source
1,1251.0,0.669291,9.0,0.25,1251.0,1236.9,14.1,0.809465,0,0,0.512995,R statistical reports
2,1223.0,0.448819,5.0,0.138889,1223.0,1234.81,-11.81,0.844881,0,0,0.396369,R statistical reports
3,1182.0,0.125984,16.0,0.444444,1182.0,1227.07,-45.07,0.330498,0,1,0.263457,R statistical reports
4,1278.0,0.88189,3.0,0.083333,1278.0,1231.25,46.75,0.304516,0,1,0.49463,R statistical reports
5,1221.0,0.433071,0.0,0.0,1221.0,1229.56,-8.56,0.895144,1,0,0.240919,R statistical reports
6,1273.0,0.84252,7.0,0.194444,1273.0,1231.67,41.33,0.388339,0,1,0.525971,R statistical reports
7,1215.0,0.385827,9.0,0.25,1215.0,1235.18,-20.18,0.715435,0,1,0.395134,R statistical reports
8,1247.0,0.637795,4.0,0.111111,1247.0,1232.07,14.93,0.796629,0,1,0.478311,R statistical reports
9,1253.0,0.685039,4.0,0.111111,1253.0,1233.67,19.33,0.72858,0,1,0.504544,R statistical reports
10,1202.0,0.283465,0.0,0.0,1202.0,1225.22,-23.22,0.668419,1,0,0.132739,R statistical reports
11,1275.0,0.858268,3.0,0.083333,1275.0,1234.0,41.0,0.393443,0,1,0.502494,R statistical reports
12,1251.0,0.669291,2.0,0.055556,1251.0,1234.03,16.97,0.765079,0,1,0.469674,R statistical reports
13,1215.0,0.385827,7.0,0.194444,1215.0,1233.39,-18.39,0.743118,0,0,0.365115,R statistical reports
14,1207.0,0.322835,9.0,0.25,1207.0,1234.57,-27.57,0.601144,0,0,0.325819,R statistical reports
15,1221.0,0.433071,10.0,0.277778,1221.0,1231.17,-10.17,0.870244,0,1,0.453716,R statistical reports
16,1203.0,0.291339,1.0,0.027778,1203.0,1229.06,-26.06,0.624497,0,1,0.295039,R statistical reports
17,1270.0,0.818898,0.0,0.0,1270.0,1234.79,35.21,0.482988,1,0,0.320535,R statistical reports
18,1197.0,0.244094,4.0,0.111111,1197.0,1233.41,-36.41,0.464429,0,1,0.266517,R statistical reports
19,1190.0,0.188976,7.0,0.194444,1190.0,1233.49,-43.49,0.354933,0,1,0.244801,R statistical reports
20,1222.0,0.440945,0.0,0.0,1222.0,1230.25,-8.25,0.899938,1,0,0.245184,R statistical reports
21,1290.0,0.976378,3.0,0.083333,1290.0,1231.71,58.29,0.126044,0,1,0.498621,R statistical reports
22,1250.0,0.661417,8.0,0.222222,1250.0,1232.31,17.69,0.753944,0,1,0.510806,R statistical reports
23,1170.0,0.031496,2.0,0.055556,1170.0,1228.77,-58.77,0.11862,0,0,0.052508,R statistical reports
24,1240.0,0.582677,19.0,0.527778,1240.0,1229.2,10.8,0.860501,0,0,0.564602,R statistical reports
25,1240.0,0.582677,31.0,0.861111,1240.0,1236.79,3.21,0.977884,0,0,0.681412,R statistical reports
26,1219.0,0.417323,8.0,0.222222,1219.0,1232.99,-13.99,0.811166,0,0,0.399731,R statistical reports
27,1199.0,0.259843,19.0,0.527778,1199.0,1232.7,-33.7,0.506341,0,0,0.35818,R statistical reports
28,1252.0,0.677165,3.0,0.083333,1252.0,1238.59,13.41,0.820136,0,0,0.47177,R statistical reports
29,1257.0,0.716535,1.0,0.027778,1257.0,1230.59,26.41,0.619084,0,0,0.43254,R statistical reports
30,1247.0,0.637795,2.0,0.055556,1247.0,1232.41,14.59,0.801887,0,0,0.443807,R statistical reports
31,1179.0,0.102362,18.0,0.5,1179.0,1228.81,-49.81,0.257191,0,0,0.23443,R statistical reports
32,1204.0,0.299213,17.0,0.472222,1204.0,1239.63,-35.63,0.476492,0,0,0.35319,R statistical reports
33,1229.0,0.496063,4.0,0.111111,1229.0,1236.12,-7.12,0.917414,0,0,0.42294,R statistical reports
34,1291.0,0.984252,36.0,1.0,1291.0,1234.12,56.88,0.14785,0,0,0.722956,R statistical reports
35,1245.0,0.622047,1.0,0.027778,1245.0,1231.63,13.37,0.820755,0,0,0.433189,R statistical reports
