number_a,number_b,r_pair_count,r_pair_score
34,44,165.0,1.0
4,11,163.0,0.9726027397260274
6,30,163.0,0.9726027397260274
26,29,162.0,0.958904109589041
4,6,161.0,0.9452054794520548
44,49,159.0,0.9178082191780822
6,22,158.0,0.9041095890410958
18,22,157.0,0.8904109589041096
4,44,157.0,0.8904109589041096
11,32,156.0,0.8767123287671232
4,24,156.0,0.8767123287671232
4,47,156.0,0.8767123287671232
41,49,155.0,0.863013698630137
21,46,154.0,0.8493150684931506
30,34,154.0,0.8493150684931506
1,5,153.0,0.8356164383561644
21,36,153.0,0.8356164383561644
36,37,153.0,0.8356164383561644
37,49,153.0,0.8356164383561644
1,21,152.0,0.821917808219178
11,35,152.0,0.821917808219178
17,35,152.0,0.821917808219178
21,49,152.0,0.821917808219178
34,38,152.0,0.821917808219178
37,44,152.0,0.821917808219178
6,48,152.0,0.821917808219178
8,37,152.0,0.821917808219178
11,34,151.0,0.8082191780821918
11,46,151.0,0.8082191780821918
21,32,151.0,0.8082191780821918
14,29,150.0,0.7945205479452054
21,37,150.0,0.7945205479452054
4,25,150.0,0.7945205479452054
13,34,149.0,0.7808219178082192
15,49,149.0,0.7808219178082192
2,17,149.0,0.7808219178082192
30,42,149.0,0.7808219178082192
5,46,149.0,0.7808219178082192
6,45,149.0,0.7808219178082192
18,49,148.0,0.7671232876712328
2,24,148.0,0.7671232876712328
24,30,148.0,0.7671232876712328
29,43,148.0,0.7671232876712328
33,37,148.0,0.7671232876712328
37,47,148.0,0.7671232876712328
5,28,148.0,0.7671232876712328
21,34,147.0,0.7534246575342466
21,48,147.0,0.7534246575342466
35,37,147.0,0.7534246575342466
43,45,147.0,0.7534246575342466
6,42,147.0,0.7534246575342466
8,29,147.0,0.7534246575342466
8,44,147.0,0.7534246575342466
11,24,146.0,0.7397260273972602
12,19,146.0,0.7397260273972602
16,24,146.0,0.7397260273972602
17,25,146.0,0.7397260273972602
17,33,146.0,0.7397260273972602
24,38,146.0,0.7397260273972602
25,48,146.0,0.7397260273972602
28,45,146.0,0.7397260273972602
4,17,146.0,0.7397260273972602
9,21,146.0,0.7397260273972602
1,11,145.0,0.726027397260274
1,30,145.0,0.726027397260274
12,44,145.0,0.726027397260274
2,37,145.0,0.726027397260274
22,24,145.0,0.726027397260274
28,43,145.0,0.726027397260274
29,32,145.0,0.726027397260274
36,48,145.0,0.726027397260274
37,41,145.0,0.726027397260274
39,44,145.0,0.726027397260274
4,12,145.0,0.726027397260274
