strategy,trial,draws_tested,average_best_hits,average_total_hits,max_best_hits,at_least_2_percent,at_least_3_percent,at_least_4_percent,at_least_5_percent,exact_6_count
frequency_walk_forward,0,240,1.558333333,8.266666667,3,54.166666667,12.083333333,0.0,0.0,0
uniform_random,1,240,2.05,8.904166667,4,87.083333333,17.5,0.416666667,0.0,0
uniform_random,2,240,2.120833333,8.979166667,4,89.166666667,22.083333333,0.833333333,0.0,0
uniform_random,3,240,2.0125,8.570833333,4,85.0,15.0,1.25,0.0,0
uniform_random,4,240,2.066666667,8.925,4,86.666666667,19.583333333,0.416666667,0.0,0
uniform_random,5,240,2.116666667,9.020833333,4,86.25,24.166666667,1.25,0.0,0
uniform_random,6,240,2.1,8.816666667,4,86.25,22.5,1.25,0.0,0
uniform_random,7,240,2.0375,8.820833333,4,85.833333333,17.5,0.416666667,0.0,0
uniform_random,8,240,2.083333333,8.754166667,4,86.25,21.666666667,0.416666667,0.0,0
uniform_random,9,240,2.075,8.85,4,84.166666667,21.666666667,1.666666667,0.0,0
uniform_random,10,240,2.066666667,8.354166667,4,85.416666667,19.583333333,1.666666667,0.0,0
uniform_random,11,240,2.0375,8.808333333,4,87.5,15.416666667,0.833333333,0.0,0
uniform_random,12,240,2.054166667,8.6125,4,85.416666667,18.333333333,1.666666667,0.0,0
uniform_random,13,240,2.1,8.916666667,4,85.416666667,23.75,0.833333333,0.0,0
uniform_random,14,240,1.975,8.7125,4,82.5,14.166666667,0.833333333,0.0,0
uniform_random,15,240,2.1125,9.029166667,4,90.0,20.416666667,0.833333333,0.0,0
uniform_random,16,240,2.120833333,9.029166667,5,87.916666667,22.083333333,1.666666667,0.416666667,0
uniform_random,17,240,2.05,8.566666667,4,84.166666667,17.916666667,2.916666667,0.0,0
uniform_random,18,240,2.066666667,8.85,4,84.166666667,21.25,1.25,0.0,0
uniform_random,19,240,2.025,9.070833333,4,85.0,16.666666667,0.833333333,0.0,0
uniform_random,20,240,2.025,8.441666667,4,78.75,22.5,1.25,0.0,0
uniform_random,21,240,2.095833333,8.758333333,4,87.916666667,20.0,1.666666667,0.0,0
uniform_random,22,240,2.070833333,8.779166667,4,87.083333333,18.75,1.25,0.0,0
uniform_random,23,240,2.104166667,8.9,4,87.083333333,21.25,2.083333333,0.0,0
uniform_random,24,240,2.029166667,8.791666667,4,85.0,16.666666667,1.25,0.0,0
uniform_random,25,240,2.020833333,8.895833333,3,85.0,17.083333333,0.0,0.0,0
uniform_random,26,240,2.058333333,8.804166667,4,84.583333333,20.833333333,0.416666667,0.0,0
uniform_random,27,240,2.120833333,8.791666667,4,89.583333333,20.833333333,2.083333333,0.0,0
uniform_random,28,240,2.075,8.8625,4,85.416666667,21.25,0.833333333,0.0,0
uniform_random,29,240,2.0,8.6375,4,85.0,14.166666667,0.833333333,0.0,0
uniform_random,30,240,2.125,9.1375,4,87.5,23.75,1.25,0.0,0
uniform_random,31,240,2.079166667,8.604166667,4,87.083333333,20.0,0.833333333,0.0,0
uniform_random,32,240,2.104166667,8.833333333,4,89.166666667,20.416666667,0.833333333,0.0,0
uniform_random,33,240,2.079166667,8.6875,5,84.583333333,21.25,1.666666667,0.416666667,0
uniform_random,34,240,2.075,8.754166667,4,86.666666667,20.416666667,0.416666667,0.0,0
uniform_random,35,240,2.125,8.6875,4,90.0,21.666666667,0.833333333,0.0,0
uniform_random,36,240,2.075,8.8,4,86.25,19.583333333,1.666666667,0.0,0
uniform_random,37,240,2.008333333,8.716666667,4,84.166666667,15.833333333,0.833333333,0.0,0
uniform_random,38,240,2.104166667,8.8375,4,84.583333333,23.333333333,2.5,0.0,0
uniform_random,39,240,2.016666667,8.65,5,82.916666667,16.25,2.083333333,0.416666667,0
uniform_random,40,240,2.05,8.816666667,4,83.333333333,21.25,0.416666667,0.0,0
uniform_random,41,240,2.066666667,8.695833333,4,87.083333333,18.75,0.833333333,0.0,0
uniform_random,42,240,2.15,8.975,4,89.166666667,23.75,2.083333333,0.0,0
uniform_random,43,240,2.1,9.033333333,4,85.0,23.75,1.25,0.0,0
uniform_random,44,240,2.1125,8.95,4,87.5,23.333333333,0.416666667,0.0,0
uniform_random,45,240,2.045833333,8.825,4,83.75,17.5,3.333333333,0.0,0
uniform_random,46,240,2.029166667,8.4625,4,84.166666667,16.666666667,2.083333333,0.0,0
uniform_random,47,240,2.091666667,8.825,4,88.75,20.0,0.416666667,0.0,0
uniform_random,48,240,2.070833333,8.5875,4,87.083333333,19.166666667,0.833333333,0.0,0
uniform_random,49,240,2.108333333,8.633333333,4,90.0,19.166666667,1.666666667,0.0,0
uniform_random,50,240,2.125,9.054166667,4,85.416666667,25.416666667,1.666666667,0.0,0
