draw_event_id,draw_key,date,neural_best_hits,frequency_best_hits,recency_best_hits,uniform_random_mean_best_hits,neural_minus_frequency,neural_minus_recency
2024-24-1,2024-24,,2,2,1,2.22,0,1
2024-25-1,2024-25,,1,2,3,2.12,-1,-2
2024-26-1,2024-26,,2,1,2,2.2,1,0
2024-27-1,2024-27,,2,2,2,1.88,0,0
2024-28-1,2024-28,,1,2,2,2.16,-1,-1
2024-29-1,2024-29,,2,1,3,2.02,1,-1
2024-30-1,2024-30,,2,3,2,2.06,-1,0
2024-31-1,2024-31,,1,3,1,2.28,-2,0
2024-32-1,2024-32,,1,2,2,2.12,-1,-1
2024-33-1,2024-33,,2,1,2,2.18,1,0
2024-34-1,2024-34,,2,3,1,2.16,-1,1
2024-35-1,2024-35,,1,2,2,2.04,-1,-1
2024-36-1,2024-36,,2,2,2,2.08,0,0
2024-37-1,2024-37,,1,2,3,2.14,-1,-2
2024-38-1,2024-38,,2,3,3,2.2,-1,-1
2024-39-1,2024-39,,2,2,2,2.2,0,0
2024-40-1,2024-40,,2,3,2,2.16,-1,0
2024-41-1,2024-41,,1,2,1,2.06,-1,0
2024-42-1,2024-42,,2,2,2,2.06,0,0
2024-43-1,2024-43,,1,3,3,1.96,-2,-2
2024-44-1,2024-44,,2,2,2,2.12,0,0
2024-45-1,2024-45,,1,3,2,2.08,-2,-1
2024-46-1,2024-46,,2,2,2,1.98,0,0
2024-47-1,2024-47,,1,3,2,2.18,-2,-1
2024-48-1,2024-48,,2,2,1,1.94,0,1
2024-49-1,2024-49,,2,3,3,2.02,-1,-1
2024-50-1,2024-50,,2,1,2,2.08,1,0
2024-51-1,2024-51,,2,1,2,2.0,1,0
2024-52-1,2024-52,,2,2,1,2.0,0,1
2024-53-1,2024-53,,2,1,2,2.1,1,0
2024-54-1,2024-54,,1,2,2,1.98,-1,-1
2024-55-1,2024-55,,2,2,2,2.04,0,0
2024-56-1,2024-56,,2,2,2,2.3,0,0
2024-57-1,2024-57,,2,2,2,2.0,0,0
2024-58-1,2024-58,,2,3,2,1.88,-1,0
2024-59-1,2024-59,,2,2,2,2.08,0,0
2024-60-1,2024-60,,2,1,3,2.06,1,-1
2024-61-1,2024-61,,2,1,2,2.02,1,0
2024-62-1,2024-62,,2,2,1,1.98,0,1
2024-63-1,2024-63,,1,2,2,2.02,-1,-1
2024-64-1,2024-64,,1,2,2,1.98,-1,-1
2024-65-1,2024-65,,3,3,2,2.12,0,1
2024-66-1,2024-66,,2,2,1,2.02,0,1
2024-67-1,2024-67,,2,1,2,2.04,1,0
2024-68-1,2024-68,,2,2,2,1.98,0,0
2024-69-1,2024-69,,2,3,2,2.0,-1,0
2024-70-1,2024-70,,2,2,2,1.98,0,0
2024-71-1,2024-71,,2,2,2,1.94,0,0
2024-72-1,2024-72,,3,2,2,2.06,1,1
2024-73-1,2024-73,,3,2,1,2.1,1,2
2024-74-1,2024-74,,1,2,2,2.14,-1,-1
2024-75-1,2024-75,,2,3,3,2.02,-1,-1
2024-76-1,2024-76,,2,1,2,2.0,1,0
2024-77-1,2024-77,,2,2,2,2.04,0,0
2024-78-1,2024-78,,3,1,2,2.2,2,1
2024-79-1,2024-79,,2,1,2,2.0,1,0
2024-80-1,2024-80,,2,2,2,2.22,0,0
2024-81-1,2024-81,,2,2,2,2.04,0,0
2024-82-1,2024-82,,1,1,2,2.1,0,-1
2024-83-1,2024-83,,2,2,2,2.04,0,0
2024-84-1,2024-84,,2,2,3,2.2,0,-1
2024-85-1,2024-85,,2,2,3,2.1,0,-1
2024-86-1,2024-86,,1,1,4,2.04,0,-3
2024-87-1,2024-87,,2,1,2,1.94,1,0
2024-88-1,2024-88,,3,3,2,2.0,0,1
2024-89-1,2024-89,,2,3,2,2.1,-1,0
2024-90-1,2024-90,,1,1,2,1.98,0,-1
2024-91-1,2024-91,,3,2,3,2.04,1,0
2024-92-1,2024-92,,2,2,2,1.98,0,0
2024-93-1,2024-93,,2,2,2,2.1,0,0
2024-94-1,2024-94,,2,2,1,2.04,0,1
2024-95-1,2024-95,,2,2,2,2.18,0,0
2024-96-1,2024-96,,1,3,3,2.04,-2,-2
2024-97-1,2024-97,,2,2,1,2.08,0,1
2024-98-1,2024-98,,1,2,3,2.12,-1,-2
2024-99-1,2024-99,,2,2,2,2.08,0,0
2024-100-1,2024-100,,1,2,3,2.04,-1,-2
2024-101-1,2024-101,,2,2,2,2.06,0,0
2024-102-1,2024-102,,2,2,2,2.08,0,0
2024-103-1,2024-103,,2,1,2,2.08,1,0
2024-104-1,2024-104,,1,2,2,1.9,-1,-1
2025-1-1,2025-1,,3,2,3,2.24,1,0
2025-2-1,2025-2,,1,2,1,2.16,-1,0
2025-3-1,2025-3,,2,2,1,2.02,0,1
2025-4-1,2025-4,,3,2,2,2.1,1,1
2025-5-1,2025-5,,1,2,2,2.02,-1,-1
2025-6-1,2025-6,,3,2,2,2.2,1,1
2025-7-1,2025-7,,2,1,4,2.14,1,-2
2025-8-1,2025-8,,2,2,4,2.1,0,-2
2025-9-1,2025-9,,2,2,2,2.04,0,0
