strategy,trial,draws_tested,average_best_hits,average_total_hits,max_best_hits,at_least_2_percent,at_least_3_percent,at_least_4_percent,at_least_5_percent,exact_6_count
neural_dynamics_reservoir,0,240,1.9875,8.608333333,4,80.833333333,17.083333333,0.833333333,0.0,0
frequency_walk_forward,0,240,2.075,9.0625,4,83.333333333,22.916666667,1.25,0.0,0
recency_weighted_walk_forward,0,240,2.054166667,8.983333333,4,82.916666667,20.833333333,1.666666667,0.0,0
uniform_random,1,240,2.0625,8.520833333,4,83.75,20.833333333,1.666666667,0.0,0
uniform_random,2,240,2.095833333,8.875,4,88.75,20.416666667,0.416666667,0.0,0
uniform_random,3,240,2.041666667,8.891666667,4,84.583333333,18.75,0.833333333,0.0,0
uniform_random,4,240,2.1625,9.108333333,4,93.75,20.833333333,1.666666667,0.0,0
uniform_random,5,240,2.104166667,8.916666667,4,86.666666667,22.083333333,1.666666667,0.0,0
uniform_random,6,240,2.091666667,8.691666667,4,85.0,23.333333333,0.833333333,0.0,0
uniform_random,7,240,2.1,8.770833333,5,85.833333333,22.5,1.25,0.416666667,0
uniform_random,8,240,2.066666667,8.904166667,4,86.25,19.583333333,0.833333333,0.0,0
uniform_random,9,240,2.070833333,8.7625,3,85.416666667,21.666666667,0.0,0.0,0
uniform_random,10,240,2.116666667,8.870833333,4,86.666666667,23.333333333,1.666666667,0.0,0
uniform_random,11,240,2.075,9.016666667,4,87.083333333,19.583333333,0.833333333,0.0,0
uniform_random,12,240,2.141666667,9.058333333,4,89.166666667,24.166666667,0.833333333,0.0,0
uniform_random,13,240,2.083333333,8.925,4,85.416666667,20.833333333,2.083333333,0.0,0
uniform_random,14,240,2.0375,8.8625,4,86.666666667,16.666666667,0.416666667,0.0,0
uniform_random,15,240,2.095833333,8.654166667,4,84.583333333,22.5,2.5,0.0,0
uniform_random,16,240,2.1125,8.875,4,91.25,17.5,2.5,0.0,0
uniform_random,17,240,2.066666667,8.979166667,4,84.583333333,20.0,2.083333333,0.0,0
uniform_random,18,240,2.041666667,8.858333333,4,83.75,19.166666667,1.25,0.0,0
uniform_random,19,240,2.079166667,8.8125,4,87.083333333,20.0,0.833333333,0.0,0
uniform_random,20,240,2.091666667,8.6625,4,86.666666667,20.416666667,2.083333333,0.0,0
uniform_random,21,240,2.041666667,9.208333333,3,87.5,16.666666667,0.0,0.0,0
uniform_random,22,240,2.108333333,9.079166667,4,87.083333333,22.083333333,1.666666667,0.0,0
uniform_random,23,240,2.079166667,8.895833333,4,90.0,17.5,0.416666667,0.0,0
uniform_random,24,240,2.1,8.983333333,4,86.666666667,22.916666667,0.416666667,0.0,0
uniform_random,25,240,2.05,8.666666667,4,86.25,17.5,1.25,0.0,0
uniform_random,26,240,2.0375,8.775,4,83.333333333,19.583333333,0.833333333,0.0,0
uniform_random,27,240,2.0125,8.704166667,3,85.0,16.25,0.0,0.0,0
uniform_random,28,240,2.091666667,9.054166667,4,88.75,19.583333333,0.833333333,0.0,0
uniform_random,29,240,2.1125,8.5875,4,85.833333333,22.083333333,3.333333333,0.0,0
uniform_random,30,240,2.0375,8.583333333,4,82.5,19.166666667,2.083333333,0.0,0
uniform_random,31,240,2.091666667,8.891666667,4,84.583333333,23.75,0.833333333,0.0,0
uniform_random,32,240,2.079166667,8.795833333,4,85.0,22.083333333,0.833333333,0.0,0
uniform_random,33,240,2.1,8.8875,4,87.5,22.083333333,0.416666667,0.0,0
uniform_random,34,240,2.145833333,9.016666667,3,89.583333333,25.0,0.0,0.0,0
uniform_random,35,240,2.070833333,8.891666667,4,85.833333333,20.0,1.25,0.0,0
uniform_random,36,240,2.025,8.833333333,4,85.0,16.666666667,0.833333333,0.0,0
uniform_random,37,240,2.145833333,9.045833333,4,89.166666667,24.583333333,0.833333333,0.0,0
uniform_random,38,240,2.054166667,8.516666667,4,87.083333333,17.5,0.833333333,0.0,0
uniform_random,39,240,2.075,8.745833333,4,85.416666667,20.416666667,1.666666667,0.0,0
uniform_random,40,240,2.070833333,8.704166667,4,87.083333333,19.166666667,0.833333333,0.0,0
uniform_random,41,240,2.054166667,8.475,4,82.916666667,20.833333333,1.666666667,0.0,0
uniform_random,42,240,2.120833333,8.895833333,4,89.583333333,21.25,1.25,0.0,0
uniform_random,43,240,2.058333333,8.695833333,4,84.583333333,20.416666667,0.833333333,0.0,0
uniform_random,44,240,2.066666667,8.925,4,86.666666667,19.583333333,0.416666667,0.0,0
uniform_random,45,240,2.054166667,8.7875,4,87.5,17.5,0.416666667,0.0,0
uniform_random,46,240,2.05,8.8375,4,84.166666667,20.416666667,0.416666667,0.0,0
uniform_random,47,240,2.0625,9.166666667,4,87.083333333,17.5,1.666666667,0.0,0
uniform_random,48,240,2.095833333,8.591666667,4,87.083333333,21.666666667,0.833333333,0.0,0
uniform_random,49,240,2.070833333,8.958333333,3,88.333333333,18.75,0.0,0.0,0
uniform_random,50,240,2.116666667,8.804166667,4,87.916666667,22.916666667,0.833333333,0.0,0
