seed,fold,training_draws_initial,holdout_draws,holdout_first_draw,holdout_last_draw,neural_dynamics_reservoir,frequency_walk_forward,recency_weighted_walk_forward,recent_window_frequency,frequency_recency_blend,uniform_random_mean,neural_minus_frequency_walk_forward,neural_minus_recency_weighted_walk_forward,neural_minus_recent_window_frequency,neural_minus_frequency_recency_blend,neural_minus_uniform_random_mean
1462026,1,9703,120,2023-8,2024-23,2.025,2.008333333,2.008333333,1.925,2.075,2.1075,0.016666667,0.016666667,0.1,-0.05,-0.0825
1462027,1,9703,120,2023-8,2024-23,2.025,1.891666667,2.041666667,2.041666667,2.05,2.0675,0.133333333,-0.016666667,-0.016666667,-0.025,-0.0425
1462028,1,9703,120,2023-8,2024-23,2.0,2.091666667,1.966666667,2.091666667,1.983333333,2.075,-0.091666667,0.033333333,-0.091666667,0.016666667,-0.075
1462029,1,9703,120,2023-8,2024-23,1.958333333,2.008333333,2.05,2.0,2.066666667,2.0625000001,-0.05,-0.091666667,-0.041666667,-0.108333334,-0.104166667
1462030,1,9703,120,2023-8,2024-23,1.966666667,2.033333333,2.125,1.941666667,2.116666667,2.0183333332,-0.066666666,-0.158333333,0.025,-0.15,-0.051666666
1462026,2,9823,120,2024-24,2025-39,2.0,2.008333333,2.125,2.016666667,2.075,2.0958333332000003,-0.008333333,-0.125,-0.016666667,-0.075,-0.095833333
1462027,2,9823,120,2024-24,2025-39,1.95,2.083333333,2.041666667,2.05,1.966666667,2.0891666665999997,-0.133333333,-0.091666667,-0.1,-0.016666667,-0.139166667
1462028,2,9823,120,2024-24,2025-39,2.083333333,2.008333333,2.05,2.108333333,2.066666667,2.0958333334000003,0.075,0.033333333,-0.025,0.016666666,-0.0125
1462029,2,9823,120,2024-24,2025-39,2.066666667,1.95,2.008333333,1.983333333,2.05,2.0766666668,0.116666667,0.058333334,0.083333334,0.016666667,-0.01
1462030,2,9823,120,2024-24,2025-39,2.0,2.083333333,2.0,2.008333333,2.016666667,2.0683333333,-0.083333333,0.0,-0.008333333,-0.016666667,-0.068333333
1462026,3,9943,120,2025-40,2026-53,1.966666667,1.983333333,1.983333333,2.033333333,2.066666667,2.0891666667999997,-0.016666666,-0.016666666,-0.066666666,-0.1,-0.1225
1462027,3,9943,120,2025-40,2026-53,2.15,1.95,2.066666667,2.075,1.983333333,2.0716666666,0.2,0.083333333,0.075,0.166666667,0.078333333
1462028,3,9943,120,2025-40,2026-53,1.975,2.05,2.008333333,1.958333333,1.983333333,2.0491666667,-0.075,-0.033333333,0.016666667,-0.008333333,-0.074166667
1462029,3,9943,120,2025-40,2026-53,1.983333333,1.975,2.025,2.033333333,2.075,2.0624999999,0.008333333,-0.041666667,-0.05,-0.091666667,-0.079166667
1462030,3,9943,120,2025-40,2026-53,2.033333333,2.0,2.025,1.991666667,1.958333333,2.075,0.033333333,0.008333333,0.041666666,0.075,-0.041666667
