source_file,field,source_value,bulgarian_display,technical_only,unexpected_ascii_words,forbidden_tokens,user_mode_pass
models/bst_official_sync_status.json,note,BST official sync,BST официален синхронизация,False,,,True
models/lottery_advanced_ensemble_model.json,interpretation,No strong evidence against fair-looking number frequencies.,Не са открити убедителни доказателства срещу привидно равномерното разпределение на честотите на числата.,False,,,True
models/lottery_cold_model.json,method,"Ranks numbers that are historically below expected frequency, have larger recency gaps, and are cold in the recent window.","Класира числа, които исторически са под очакваната честота, имат по-големи интервали от последната поява и са неактивни в скорошния прозорец.",False,,,True
models/lottery_cold_model.json,warning,"This is a training baseline, not a guarantee. Lottery draws should still be treated as random unless historical backtesting demonstrates a stable signal.","Това е базов модел за обучение, а не гаранция. Лотарийните тиражи трябва да се приемат за случайни, освен ако историческата проверка не покаже устойчив сигнал.",False,,,True
models/lottery_frequency_model.json,status,NORMAL,Нормално,False,,,True
models/lottery_gap_model.json,method,"Ranks numbers by recurrence intervals. For each number, the model compares the current gap since its last appearance with its average historical interval, estimates an interval hazard probability, and combines it with the fair 6/49 baseline and empirical frequency.",Подрежда числата според интервалите между появяванията им. За всяко число моделът сравнява текущия интервал със средния исторически интервал и комбинира резултата с базовата вероятност за 6/49 и наблюдаваната честота.,False,,,True
models/lottery_gap_model.json,warning,"The fair mathematical chance for any single number to appear in the next 6/49 draw is still 6/49. This model is a statistical training estimate based on historical intervals, not a guarantee.","Математическата вероятност отделно число да се появи в следващ тираж 6/49 остава 6/49. Моделът дава статистическа оценка според историческите интервали, а не гаранция.",False,,,True
models/lottery_middle_model.json,method,"Ranks numbers whose historical frequency, recent frequency, and recency gap are closest to the expected fair 6/49 behavior.","Подрежда числата, чиито историческа честота, скорошна честота и интервал от последната поява са най-близо до очакваното поведение при 6/49.",False,,,True
models/lottery_middle_model.json,warning,"This is a statistical training baseline. It identifies numbers near the historical middle, but it does not guarantee future lottery results.","Това е статистически базов модел за обучение. Той определя числа близо до историческата среда, но не гарантира бъдещи лотарийни резултати.",False,,,True
models/lottery_ml_extensions_model.json,type,nearest_centroid_classifier,Класификатор по най-близък центроид,False,,,True
models/lottery_ml_extensions_model.json,label,смесени статистически комбинации,смесени статистически комбинации,False,,,True
models/lottery_ml_extensions_model.json,label,балансирани комбинации,балансирани комбинации,False,,,True
models/lottery_ml_extensions_model.json,label,честотни комбинации,честотни комбинации,False,,,True
models/lottery_ml_extensions_model.json,type,kmeans_from_scratch,K-means реализация от основата,False,,,True
models/lottery_ml_extensions_model.json,type,pca_from_scratch,PCA реализация от основата,False,,,True
models/model_registry.json,description,Dataset вход,данните вход,False,,,True
models/model_registry.json,type,dataset,Данни,False,,,True
models/model_registry.json,description,Изходът помага на следващ слой,Изходът помага на следващ слой,False,,,True
models/model_registry.json,type,feeds,Източници,False,,,True
models/model_registry.json,description,Входен model/report artifact,Входен модел/отчет артефакт,False,,,True
models/model_registry.json,type,artifact,Артефакт,False,,,True
models/model_registry.json,category,Базов модел,Базов модел,False,,,True
models/model_registry.json,label,Правилово-съзнати модели,Правилово-съзнати модели,False,,,True
models/model_registry.json,role,Дава правила-свързани прогнозни сигнали върху основните числа.,Дава правила-свързани прогнозни сигнали върху основните числа.,False,,,True
models/model_registry.json,category,Комбиниран анализ,Комбиниран анализ,False,,,True
models/model_registry.json,label,Комбиниран позитивен/негативен анализ,Комбиниран позитивен/негативен анализ,False,,,True
