source_file,source_key,bulgarian_label,technical_hidden_by_default,unexpected_ascii_words,forbidden_tokens,pass
configs/ml_extensions_config.json,random_seed,Случаен начална стойност,False,,,True
configs/ml_extensions_config.json,candidate_count,Кандидат брой,False,,,True
configs/ml_extensions_config.json,portfolio_size,Портфейл размер,False,,,True
configs/ml_extensions_config.json,cluster_count,Брой,False,,,True
configs/ml_extensions_config.json,backtest_draws,Историческа проверка тиражи,False,,,True
configs/ml_extensions_config.json,backtest_candidate_count,Историческа проверка кандидат брой,False,,,True
configs/ml_extensions_config.json,recent_window,Последни прозорец,False,,,True
configs/ml_extensions_config.json,score_weights,Оценка,False,,,True
configs/ml_extensions_config.json,frequency,Честотен,False,,,True
configs/ml_extensions_config.json,cold_gap,Неактивни интервал,False,,,True
configs/ml_extensions_config.json,middle_balance,Показател,False,,,True
configs/ml_extensions_config.json,pair_support,Двойка подкрепа,False,,,True
configs/ml_extensions_config.json,triple_support,Тройка подкрепа,False,,,True
configs/ml_extensions_config.json,structure,Структура,False,,,True
configs/ml_extensions_config.json,human_pattern,Показател,False,,,True
configs/ml_extensions_config.json,time_decay,Дата и час,False,,,True
models/bst_official_sync_status.json,inserted,Показател,False,,,True
models/bst_official_sync_status.json,draw_key,Тираж,True,,,True
models/bst_official_sync_status.json,draw_year,Година на тиража,True,,,True
models/bst_official_sync_status.json,draw_number,Номер на тиража,True,,,True
models/bst_official_sync_status.json,draw_date,Дата на тиража,True,,,True
models/bst_official_sync_status.json,n1,Число 1,False,,,True
models/bst_official_sync_status.json,n2,Число 2,False,,,True
models/bst_official_sync_status.json,n3,Число 3,False,,,True
models/bst_official_sync_status.json,n4,Число 4,False,,,True
models/bst_official_sync_status.json,n5,Число 5,False,,,True
models/bst_official_sync_status.json,n6,Число 6,False,,,True
models/bst_official_sync_status.json,numbers_text,Изтеглени числа,False,,,True
models/bst_official_sync_status.json,jackpot_eur,Джакпот (EUR),False,,,True
models/bst_official_sync_status.json,winners_6,Печеливши с 6 числа,False,,,True
models/bst_official_sync_status.json,prize_6_eur,Печалба за 6 числа (EUR),False,,,True
models/bst_official_sync_status.json,total_6_eur,Общо за 6 числа (EUR),False,,,True
models/bst_official_sync_status.json,winners_5,Печеливши с 5 числа,False,,,True
models/bst_official_sync_status.json,prize_5_eur,Печалба за 5 числа (EUR),False,,,True
models/bst_official_sync_status.json,total_5_eur,Общо за 5 числа (EUR),False,,,True
models/bst_official_sync_status.json,winners_4,Печеливши с 4 числа,False,,,True
models/bst_official_sync_status.json,prize_4_eur,Печалба за 4 числа (EUR),False,,,True
models/bst_official_sync_status.json,total_4_eur,Общо за 4 числа (EUR),False,,,True
models/bst_official_sync_status.json,winners_3,Печеливши с 3 числа,False,,,True
models/bst_official_sync_status.json,prize_3_eur,Печалба за 3 числа (EUR),False,,,True
models/bst_official_sync_status.json,total_3_eur,Общо за 3 числа (EUR),False,,,True
models/bst_official_sync_status.json,source_url,Адрес на източника,False,,,True
models/bst_official_sync_status.json,imported_at_utc,Импортирано на,False,,,True
models/bst_official_sync_status.json,note,Бележка,False,,,True
models/bst_official_sync_status.json,validation_errors,Грешки при проверката,False,,,True
models/bst_official_sync_status.json,updated,Обновено,False,,,True
models/bst_official_sync_status.json,skipped,Показател,False,,,True
models/bst_official_sync_status.json,final_count,Краен брой,False,,,True
models/bst_official_sync_status.json,data_path,Данни път,False,,,True
models/bst_official_sync_status.json,export_path,Износ път,False,,,True
models/bst_official_sync_status.json,checked_at_utc,Дата и час,False,,,True
models/bst_official_sync_status.json,official_base_url,Официален базова url,False,,,True
models/bst_official_sync_status.json,latest_candidates,Последен кандидати,False,,,True
models/bst_official_sync_status.json,exists_local,Показател,False,,,True
models/bst_official_sync_status.json,parse_errors,Прочитане грешки,False,,,True
models/lottery_advanced_backtest.json,tested_draws,Проверени тиражи,False,,,True
models/lottery_advanced_backtest.json,min_train_size,Минимален обучение размер,False,,,True
models/lottery_advanced_backtest.json,candidate_limit,Модел или метод,False,,,True
models/lottery_advanced_backtest.json,averages,Показател,False,,,True
models/lottery_advanced_backtest.json,advanced,Показател,False,,,True
models/lottery_advanced_backtest.json,bayesian,Показател,False,,,True
models/lottery_advanced_backtest.json,gap,Интервал,False,,,True
models/lottery_advanced_backtest.json,frequency_stability,Честотен устойчивост,False,,,True
models/lottery_advanced_backtest.json,random,Случаен,False,,,True
models/lottery_advanced_backtest.json,hit_rates,Показател,False,,,True
models/lottery_advanced_backtest.json,at_least_3,На поне 3,False,,,True
models/lottery_advanced_backtest.json,at_least_4,На поне 4,False,,,True
models/lottery_advanced_backtest.json,distributions,Показател,False,,,True
models/lottery_advanced_backtest.json,0,0,False,,,True
models/lottery_advanced_backtest.json,1,1,False,,,True
models/lottery_advanced_backtest.json,2,2,False,,,True
models/lottery_advanced_backtest.json,3,3,False,,,True
models/lottery_advanced_backtest.json,4,4,False,,,True
models/lottery_advanced_backtest.json,5,5,False,,,True
models/lottery_advanced_backtest.json,6,6,False,,,True
models/lottery_advanced_backtest.json,best_strategy,Най-добър стратегия,False,,,True
models/lottery_advanced_backtest.json,conclusion,Показател,False,,,True
models/lottery_advanced_backtest.json,details,Подробности,False,,,True
models/lottery_advanced_backtest.json,draw_id,Тираж идентификатор,True,,,True
models/lottery_advanced_backtest.json,date,Дата,False,,,True
models/lottery_advanced_backtest.json,actual_numbers,Действително изтеглени числа,False,,,True
models/lottery_advanced_backtest.json,tickets,Фишове,False,,,True
models/lottery_advanced_backtest.json,numbers,Числа,False,,,True
models/lottery_advanced_backtest.json,matches,Съвпадения,False,,,True
models/lottery_advanced_ensemble_model.json,model_name,Модел,False,,,True
