file,line,widget,source_text,bulgarian_display,technical_only,unexpected_ascii_words,forbidden_tokens,pass
streamlit_app.py,1024,toggle,Технически подробности,Технически подробности,False,,,True
streamlit_app.py,629,metric,Тествани тиражи,Тествани тиражи,False,,,True
streamlit_app.py,630,metric,Най-добра стратегия,Най-добра стратегия,False,,,True
streamlit_app.py,631,metric,Важно,Важно,False,,,True
streamlit_app.py,675,download_button,Свали оригиналния отчет,Свали оригиналния отчет,False,,,True
streamlit_app.py,4190,selectbox,Главен раздел,Главен раздел,False,,,True
streamlit_app.py,4204,radio,Страница,Страница,False,,,True
streamlit_app.py,4210,button,➕ Добави нов тираж,➕ Добави нов тираж,False,,,True
streamlit_app.py,2948,markdown,"\n            **Горещо** — число с по-силен честотен сигнал в историята.  \n            **Студено** — число под очакваната честота или с по-слаб честотен сигнал.  \n            **Интервал** — колко тиража са минали от последното излизане.  \n            **Отдавна не е излизало** — текущият gap е по-голям от обичайния интервал.  \n            **Балансирано** — близо до очакваната честота.  \n            **Моделна оценка** — моделна оценка за ранкинг, не процент шанс за джакпот.\n            ","\n **Горещо** — число с по-силен честотен сигнал в историята. \n **Студено** — число под очакваната честота или с по-слаб честотен сигнал. \n **Интервал** — колко тиража са минали от последното излизане. \n **Отдавна не е излизало** — текущият интервал е по-голям от обичайния интервал. \n **Балансирано** — близо до очакваната честота. \n **Моделна оценка** — моделна оценка за ранкинг, не процент шанс за джакпот.\n ",False,,,True
streamlit_app.py,661,expander,Виж последните тиражи визуално,Виж последните тиражи визуално,False,,,True
streamlit_app.py,898,error,Грешка при зареждане на симулацията.,Грешка при зареждане на симулацията.,False,,,True
streamlit_app.py,666,caption,Реални числа,Реални числа,False,,,True
src/add_draws_section.py,183,metric,Фишове,Фишове,False,,,True
src/add_draws_section.py,184,metric,Комбинации,Комбинации,False,,,True
src/add_draws_section.py,185,metric,Цена,Цена,False,,,True
src/add_draws_section.py,186,metric,Последни числа,Последни числа,False,,,True
src/add_draws_section.py,196,button,Отвори готовия фиш пакет,Отвори готовия фиш пакет,False,,,True
src/add_draws_section.py,521,caption,"Въведи 6 основни числа в отделни клетки. Така се избягват грешки със запетаи, интервали и разместване.","Въведи 6 основни числа в отделни клетки. Така се избягват грешки със запетаи, интервали и разместване.",False,,,True
src/add_draws_section.py,595,title,Добавяне на тираж,Добавяне на тираж,False,,,True
src/add_draws_section.py,596,caption,Записва един тираж с едно или две тегления. Всяко теглене има 6 основни числа и отделно допълнително число.,Записва един тираж с едно или две тегления. Всяко теглене има 6 основни числа и отделно допълнително число.,False,,,True
src/add_draws_section.py,598,checkbox,Автоматично обнови анализите след запис,Автоматично обнови анализите след запис,False,,,True
src/add_draws_section.py,647,checkbox,Синхронизирай новите данни и модели в GitHub,Синхронизирай новите данни и модели в GitHub,False,,,True
src/add_draws_section.py,664,markdown,#### Контролиран ред при добавяне на тираж,#### Контролиран ред при добавяне на тираж,False,,,True
src/add_draws_section.py,681,markdown,#### Реален цикъл на нов тираж,#### Реален цикъл на нов тираж,False,,,True
src/add_draws_section.py,684,metric,Състояние,Състояние,False,,,True
src/add_draws_section.py,685,metric,Редове в данните,Редове в данните,False,,,True
src/add_draws_section.py,686,metric,Преди запис,Преди запис,False,,,True
src/add_draws_section.py,687,metric,План,План,False,,,True
src/add_draws_section.py,710,checkbox,Оцени текущия пакет преди запис на тиража,Оцени текущия пакет преди запис на тиража,False,,,True
src/add_draws_section.py,720,checkbox,Провери активния бюджетен план преди запис на тиража,Провери активния бюджетен план преди запис на тиража,False,,,True
src/add_draws_section.py,730,checkbox,"Замени съществуващо теглене, ако вече го има","Замени съществуващо теглене, ако вече го има",False,,,True
src/add_draws_section.py,736,markdown,---,---,False,,,True
src/add_draws_section.py,738,file_uploader,Качи файл,Качи файл,False,,,True
src/add_draws_section.py,758,markdown,---,---,False,,,True
src/add_draws_section.py,789,checkbox,Добави второ теглене към същия тираж,Добави второ теглене към същия тираж,False,,,True
src/add_draws_section.py,802,text_input,Източник / бележка,Източник / бележка,False,,,True
src/add_draws_section.py,808,button,Запази тиража,Запази тиража,False,,,True
src/add_draws_section.py,172,warning,"Тиражът е записан, но готовият фиш пакет още не е намерен. Отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.","Тиражът е записан, но готовият фиш пакет още не е намерен. Отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.",False,,,True
src/add_draws_section.py,609,selectbox,Режим на обновяване след запис,Режим на обновяване след запис,False,,,True
src/add_draws_section.py,706,warning,"Няма активен бюджетен план. Проверката на активния план ще бъде пропусната, докато не се запази план от Бюджетния съветник.","Няма активен бюджетен план. Проверката на активния план ще бъде пропусната, докато не се запази план от Бюджетния съветник.",False,,,True
src/add_draws_section.py,745,info,Файловият импорт очаква колони date/year/draw_no/draw_position/n1..n6/bonus_number.,Файловият импорт очаква колоните `date/year/draw_no/draw_position/n1..n6/bonus_number`.,False,,,True
src/add_draws_section.py,746,button,Импортирай файла,Импортирай файла,False,,,True
src/add_draws_section.py,763,date_input,Дата,Дата,False,,,True
src/add_draws_section.py,190,expander,Покажи първия готов фиш,Покажи първия готов фиш,False,,,True
src/add_draws_section.py,624,number_input,Максимално време за един скрипт,Максимално време за един скрипт,False,,,True
src/add_draws_section.py,634,caption,"Бързият режим пропуска v67 и v75, защото са тежки лабораторни процеси. Те остават налични за ръчно пускане от съответните контролни страници.","Бързият режим пропуска v67 и v75, защото са тежки лабораторни процеси. Те остават налични за ръчно пускане от съответните контролни страници.",False,,,True
src/add_draws_section.py,639,warning,"Избран е тежък refresh режим. Използвай го ръчно, когато искаш пълно преизчисляване, а не като стандартен поток след всеки нов тираж.","Избран е тежък обновяване режим. Използвай го ръчно, когато искаш пълно преизчисляване, а не като стандартен поток след всеки нов тираж.",False,,,True
src/add_draws_section.py,767,number_input,Година,Година,False,,,True
src/add_draws_section.py,779,number_input,Номер на тираж,Номер на тираж,False,,,True
src/add_draws_section.py,810,error,"Step 143.2 блокира автоматичната GitHub синхронизация преди запис. Изчисти посочения Git проблем или изключи GitHub отметката, за да запишеш само локално.","Етап 143.2 блокира автоматичната GitHub синхронизация преди запис. Изчисти посочения Git проблем или изключи GitHub отметката, за да запишеш само локално.",True,,,True
src/add_draws_section.py,831,info,Оценявам текущия пакет преди запис в данните.,Оценявам текущия пакет преди запис в данните.,False,,,True
src/add_draws_section.py,858,info,Проверявам активния план срещу въведените числа преди запис в данните.,Проверявам активния план срещу въведените числа преди запис в данните.,False,,,True
src/add_draws_section.py,931,warning,"Тиражът е записан, но автоматичното обновяване е изключено. Пусни обновяване или отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.","Тиражът е записан, но автоматичното обновяване е изключено. Пусни обновяване или отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.",False,,,True
src/add_draws_section.py,576,warning,Има повторено основно число. Провери клетките преди запис.,Има повторено основно число. Провери клетките преди запис.,False,,,True
src/add_draws_section.py,756,warning,Не бяха намерени валидни редове за импорт.,Не бяха намерени валидни редове за импорт.,False,,,True
src/add_draws_section.py,914,spinner,Обновяване на анализите в избрания режим...,Обновяване на анализите в избрания режим...,False,,,True
src/add_draws_section.py,934,spinner,"Git запис, качване и потвърждение в GitHub по Step 143.2...","Git запис, качване и потвърждение в GitHub по Етап 143.2...",True,,,True
src/add_draws_section.py,581,success,Основните числа са попълнени коректно.,Основните числа са попълнени коректно.,False,,,True
src/bst_official_sync_section.py,26,title,БСТ официална синхронизация,БСТ официална синхронизация,False,,,True
src/bst_official_sync_section.py,27,caption,Синхронизация на официалните резултати за Тото 2 — 6 от 49 към `data/prize_winner_history.csv` и journal export CSV.,Синхронизация на официалните резултати за Тото 2 — 6 от 49 към `data/prize_winner_history.csv` и дневник износ CSV.,True,,,True
src/bst_official_sync_section.py,32,info,"Тази страница не предсказва тиражи. Тя само чете официално публикувани БСТ резултати, прави проверка и записва липсващите БСТ записи.","Тази страница не предсказва тиражи. Тя само чете официално публикувани БСТ резултати, прави проверка и записва липсващите БСТ записи.",False,,,True
src/bst_official_sync_section.py,37,markdown,### Локално състояние,### Локално състояние,False,,,True
src/bst_official_sync_section.py,51,markdown,### Официален източник,### Официален източник,False,,,True
src/bst_official_sync_section.py,54,slider,Колко последни официални тиража да провери,Колко последни официални тиража да провери,False,,,True
src/bst_official_sync_section.py,55,checkbox,Обнови и вече съществуващи записи,Обнови и вече съществуващи записи,False,,,True
src/bst_official_sync_section.py,101,markdown,"### Файлове, които се обновяват","### Файлове, които се обновяват",False,,,True
src/bst_official_sync_section.py,40,warning,Няма локални записи в `data/prize_winner_history.csv`.,Няма локални записи в `data/prize_winner_history.csv`.,True,,,True
src/bst_official_sync_section.py,64,button,Провери БСТ без запис,Провери БСТ без запис,False,,,True
src/bst_official_sync_section.py,74,button,Синхронизирай и запиши,Синхронизирай и запиши,False,,,True
src/bst_official_sync_section.py,114,expander,Последен sync summary,Последно обобщение на синхронизацията,False,,,True
src/bst_official_sync_section.py,118,expander,Последен sync checklist,Последен контролен списък за синхронизация,False,,,True
src/bst_official_sync_section.py,65,spinner,Чета официалната БСТ страница...,Чета официалната БСТ страница...,False,,,True
src/bst_official_sync_section.py,75,spinner,"Чета БСТ, валидирам и записвам липсващите записи...","Чета БСТ, валидирам и записвам липсващите записи...",False,,,True
src/bst_official_sync_section.py,68,success,Проверката завърши.,Проверката завърши.,False,,,True
src/bst_official_sync_section.py,122,warning,Checklist CSV не може да бъде прочетен.,Контролният CSV файл не може да бъде прочетен.,False,,,True
src/bst_official_sync_section.py,87,markdown,#### Добавени записи,#### Добавени записи,False,,,True
src/bst_official_sync_section.py,91,markdown,#### Обновени записи,#### Обновени записи,False,,,True
src/bst_official_sync_section.py,95,markdown,#### Грешки при четене,#### Грешки при четене,False,,,True
