path,pointer,original,normal_mode_text,version_label_remaining,technical_mode_preserves_original
models/lottery_prediction_model.json,$.model_name,Прогнозен статистически модул v36,Прогнозен статистически модул,False,True
models/v100/v100_final_release_lock_model.json,$.title_bg,Финално заключване v1,Финално заключване,False,True
models/v100/v100_final_release_lock_model.json,$.checklist[15].details_bg,"v97, v98, v99, v100",",,,",False,True
models/v100/v100_final_release_lock_model.json,$.safe_note_bg,"Step 100 е финално заключване на v1 workflow. Той проверява готовността на проекта, реалния цикъл на тиража, активния план, историята и потребителските действия. Не добавя прогноза, не променя математиката и не гарантира печалба.","Step 100 е финално заключване на работният процес. Той проверява готовността на проекта, реалния цикъл на тиража, активния план, историята и потребителските действия. Не добавя прогноза, не променя математиката и не гарантира печалба.",False,True
models/v101/v101_real_use_protocol_model.json,$.protocol_steps[0].action_bg,"Запази Step 100 като заключен V1 checkpoint и не променяй модели, тегла или генератори преди реалната проверка.","Запази Step 100 като заключен заключената контролна точка и не променяй модели, тегла или генератори преди реалната проверка.",False,True
models/v101/v101_real_use_protocol_model.json,$.checklist[0].check_bg,V1 lock е активен,Финалното заключване е активно,False,True
models/v102/v102_runtime_hardening_model.json,$.what_changed_bg[1],Тежките процеси v67 и v75 не блокират стандартния поток след запис на тираж.,Тежките лабораторни процеси не блокират стандартния поток след запис на тираж.,False,True
models/v102/v102_runtime_hardening_model.json,$.checks[2].details_bg,"v67 и v75 остават налични, но не са default fast refresh блокер.","и остават налични, но не са default fast refresh блокер.",False,True
models/v106/v106_post_draw_status_sync_model.json,$.checklist[1].details_bg,v97=READY,=READY,False,True
models/v106/v106_post_draw_status_sync_model.json,$.checklist[2].details_bg,v98=HAS_HISTORY,=HAS_HISTORY,False,True
models/v106/v106_post_draw_status_sync_model.json,$.checklist[3].details_bg,v99=READY_WAITING_NEXT_DRAW,=READY_WAITING_NEXT_DRAW,False,True
models/v106/v106_post_draw_status_sync_model.json,$.checklist[4].details_bg,v100=V1_LOCKED_WAITING_NEXT_DRAW,=V1_LOCKED_WAITING_NEXT_DRAW,False,True
models/v106/v106_post_draw_status_sync_model.json,$.checklist[5].details_bg,v101=WAITING_NEXT_REAL_DRAW,=WAITING_NEXT_REAL_DRAW,False,True
models/v106_1/v106_1_post_draw_dataset_sync_model.json,$.safe_note_bg,"Step 106.1 поправя post-draw dataset синхрона след реален тираж: historical, v40 normalized и v41 canonical трябва да имат еднакъв брой редове и един и същ последен тираж. Това не променя прогнозната математика, а обновява производните dataset-и и отчетите след запис.","Step 106.1 поправя post-draw dataset синхрона след реален тираж: historical, normalized и canonical трябва да имат еднакъв брой редове и един и същ последен тираж. Това не променя прогнозната математика, а обновява производните dataset-и и отчетите след запис.",False,True
models/v106_1/v106_1_post_draw_dataset_sync_model.json,$.checklist[3].details_bg,"v106=CHECK_REQUIRED, blocking=2","=CHECK_REQUIRED, blocking=2",False,True
models/v106_1/v106_1_post_draw_dataset_sync_model.json,$.checklist[4].details_bg,"v99=READY_WAITING_NEXT_DRAW, v100=CHECK_REQUIRED, v101=CHECK_REQUIRED","=READY_WAITING_NEXT_DRAW, =CHECK_REQUIRED, =CHECK_REQUIRED",False,True
models/v107/v107_model_training_policy_refresh_control_model.json,$.policy_table[3].scripts_bg,"v77, v78, v94, v95, v98, v99, v100, v101",",,,,,,,",False,True
models/v116_1/real_ticket_pack_ui_polish_status.json,$.version,v116.1,Вътрешна версия,False,True
models/v117_1/add_draw_ticket_pack_price_sync_status.json,$.checks[0].details,v117 total_lines=12,total_lines=12,False,True
models/v117_1/add_draw_ticket_pack_price_sync_status.json,$.checks[1].details,v117 total_price_eur=10.8,total_price_eur=10.8,False,True
models/v117_1/add_draw_ticket_pack_price_sync_status.json,$.checks[2].details,v96 active_plan_combinations=12,active_plan_combinations=12,False,True
models/v117_1/add_draw_ticket_pack_price_sync_status.json,$.checks[3].details,v96 active_plan_cost_eur=10.8,active_plan_cost_eur=10.8,False,True
models/v117_1/add_draw_ticket_pack_price_sync_status.json,$.checks[4].details,v97 combination_count=12,combination_count=12,False,True
models/v117_1/add_draw_ticket_pack_price_sync_status.json,$.checks[5].details,v97 cost_eur=10.8,cost_eur=10.8,False,True
models/v42/v42_positive_negative_number_scores.json,$.score_explanation.positive_signal_score,"Frequency, recency, recent-window activity, and v41 vote support.","Frequency, recency, recent-window activity, and vote support.",False,True
models/v43_1/v43_1_interval_rhythm_refined_prediction.json,$.internal_version,v43.1,Вътрешна версия,False,True
models/v43_1/v43_1_interval_rhythm_refined_scores.json,$.internal_version,v43.1,Вътрешна версия,False,True
models/v44_1/v44_1_final_ensemble_number_scores.json,$.internal_version,v44.1,Вътрешна версия,False,True
models/v44_1/v44_1_final_ensemble_ticket_prediction.json,$.internal_version,v44.1,Вътрешна версия,False,True
models/v63/v63_model_reliability_dashboard_model.json,$.summary.best_model_label,v44.1 — финална обединена комбинация,— финална обединена комбинация,False,True
models/v63/v63_model_reliability_dashboard_model.json,$.ranked_models[0].model_label,v44.1 — финална обединена комбинация,— финална обединена комбинация,False,True
models/v63/v63_model_reliability_dashboard_model.json,$.ranked_models[1].model_label,v41 — последни прогнозни сигнали,— последни прогнозни сигнали,False,True
models/v63/v63_model_reliability_dashboard_model.json,$.ranked_models[3].model_label,v45 — Prediction Dashboard Pro,— Prediction Dashboard Pro,False,True
models/v63/v63_model_reliability_dashboard_model.json,$.ranked_models[4].model_label,v50 — двойки и групи,— двойки и групи,False,True
models/v63/v63_model_reliability_dashboard_model.json,$.ranked_models[5].model_label,v51 — пакет от комбинации,— пакет от комбинации,False,True
models/v63/v63_model_reliability_dashboard_model.json,$.ranked_models[6].model_label,"v57 — горещи, студени и стабилни","— горещи, студени и стабилни",False,True
models/v63/v63_model_reliability_dashboard_model.json,$.ranked_models[7].model_label,v58 — обединена оценка,— обединена оценка,False,True
models/v63/v63_model_reliability_dashboard_model.json,$.ranked_models[8].model_label,v59 — интелигентен генератор 2,— интелигентен генератор 2,False,True
models/v63/v63_model_reliability_dashboard_model.json,$.ranked_models[9].model_label,v61 — сигнали към последния тираж,— сигнали към последния тираж,False,True
models/v65/v65_model_weighting_center_model.json,$.summary.top_model_label,v44.1 — финална обединена комбинация,— финална обединена комбинация,False,True
