file,line,widget,source_text,bulgarian_display,english_display,forbidden_bg_tokens,unexpected_ascii_words,bg_pass
streamlit_app.py,629,metric,Тествани тиражи,Тествани тиражи,Тествани draws,,,True
streamlit_app.py,630,metric,Най-добра стратегия,Най-добра стратегия,Най-добра стратегия,,,True
streamlit_app.py,631,metric,Важно,Важно,Важно,,,True
streamlit_app.py,675,download_button,Свали оригиналния отчет,Свали оригиналния отчет,Свали оригиналния report,,,True
streamlit_app.py,1082,markdown,"\n        <div class=""model-card"">\n          <div class=""model-title""></div>\n          <div class=""model-meta""></div>\n          \n          <div><span class=""score-badge"">: </span></div>\n          <div class=""small-muted"" style=""margin-top:10px;""></div>\n        </div>\n        ","\n <div class=""model-card"">\n <div class=""model-title""></div>\n <div class=""model-meta""></div>\n \n <div><span class=""score-badge"">: </span></div>\n <div class=""small-muted"" style=""margin-top:10px;""></div>\n </div>\n ","\n        <div class=""model-card"">\n          <div class=""model-title""></div>\n          <div class=""model-meta""></div>\n          \n          <div><span class=""score-badge"">: </span></div>\n          <div class=""small-muted"" style=""margin-top:10px;""></div>\n        </div>\n        ",,,True
streamlit_app.py,1095,markdown,### ,### ,### ,,,True
streamlit_app.py,1253,markdown,"\n        <div class=""hero-box"">\n          <div class=""hero-title"">🎯 </div>\n          <div class=""hero-subtitle""></div>\n        </div>\n        ","\n <div class=""hero-box"">\n <div class=""hero-title"">🎯 </div>\n <div class=""hero-subtitle""></div>\n </div>\n ","\n        <div class=""hero-box"">\n          <div class=""hero-title"">🎯 </div>\n          <div class=""hero-subtitle""></div>\n        </div>\n        ",,,True
streamlit_app.py,1297,markdown,"<div class=""warning-soft""> : <b></b>.</div>","<div class=""warning-soft""> : <b></b>.</div>","<div class=""warning-soft""> : <b></b>.</div>",,,True
streamlit_app.py,1317,markdown,"<div class=""warning-soft""> : <b></b>.</div>","<div class=""warning-soft""> : <b></b>.</div>","<div class=""warning-soft""> : <b></b>.</div>",,,True
streamlit_app.py,1518,markdown,**:** ``,**:** ``,**:** ``,,,True
streamlit_app.py,1668,markdown,"\n        <div class=""model-card"">\n          <div class=""model-title""></div>\n          \n          <div><span class=""score-badge"">Реален шанс: </span></div>\n          <div class=""small-muted"" style=""margin-top:10px;"">Клас:  · Клъстер: </div>\n          \n        </div>\n        ","\n <div class=""model-card"">\n <div class=""model-title""></div>\n \n <div><span class=""score-badge"">Реален шанс: </span></div>\n <div class=""small-muted"" style=""margin-top:10px;"">Клас: · Клъстер: </div>\n \n </div>\n ","\n        <div class=""model-card"">\n          <div class=""model-title""></div>\n          \n          <div><span class=""score-badge"">Реален шанс: </span></div>\n          <div class=""small-muted"" style=""margin-top:10px;"">Клас:  · Клъстер: </div>\n          \n        </div>\n        ",,,True
streamlit_app.py,1995,markdown,**:** ``,**:** ``,**:** ``,,,True
streamlit_app.py,2009,markdown,**:** ``,**:** ``,**:** ``,,,True
streamlit_app.py,2363,markdown,### ,### ,### ,,,True
