year,url
1958,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
1959,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
1960,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
1961,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
1962,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
1963,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
1964,https://info.toto.bg/content/files/stats-tiraji/649_64.txt
1965,https://info.toto.bg/content/files/stats-tiraji/649_65.txt
1966,https://info.toto.bg/content/files/stats-tiraji/649_66.txt
1967,https://info.toto.bg/content/files/stats-tiraji/649_67.txt
1968,https://info.toto.bg/content/files/stats-tiraji/649_68.txt
1969,https://info.toto.bg/content/files/stats-tiraji/649_69.txt
1970,https://info.toto.bg/content/files/stats-tiraji/649_70.txt
1971,https://info.toto.bg/content/files/stats-tiraji/649_71.txt
1972,https://info.toto.bg/content/files/stats-tiraji/649_72.txt
1973,https://info.toto.bg/content/files/stats-tiraji/649_73.txt
1974,https://info.toto.bg/content/files/stats-tiraji/649_74.txt
1975,https://info.toto.bg/content/files/stats-tiraji/649_75.txt
1976,https://info.toto.bg/content/files/stats-tiraji/649_76.txt
1977,https://info.toto.bg/content/files/stats-tiraji/649_77.txt
1978,https://info.toto.bg/content/files/stats-tiraji/649_78.txt
1979,https://info.toto.bg/content/files/stats-tiraji/649_79.txt
1980,https://info.toto.bg/content/files/stats-tiraji/649_80.txt
1981,https://info.toto.bg/content/files/stats-tiraji/649_81.txt
1982,https://info.toto.bg/content/files/stats-tiraji/649_82.txt
1983,https://info.toto.bg/content/files/stats-tiraji/649_83.txt
1984,https://info.toto.bg/content/files/stats-tiraji/649_84.txt
1985,https://info.toto.bg/content/files/stats-tiraji/649_85.txt
1986,https://info.toto.bg/content/files/stats-tiraji/649_86.txt
1987,https://info.toto.bg/content/files/stats-tiraji/649_87.txt
1988,https://info.toto.bg/content/files/stats-tiraji/649_88.txt
1989,https://info.toto.bg/content/files/stats-tiraji/649_89.txt
1990,https://info.toto.bg/content/files/stats-tiraji/649_90.txt
1991,https://info.toto.bg/content/files/stats-tiraji/649_91.txt
1992,https://info.toto.bg/content/files/stats-tiraji/649_92.txt
1993,https://info.toto.bg/content/files/stats-tiraji/649_93.txt
1994,https://info.toto.bg/content/files/stats-tiraji/649_94.txt
1995,https://info.toto.bg/content/files/stats-tiraji/649_95.txt
1996,https://info.toto.bg/content/files/stats-tiraji/649_96.txt
1997,https://info.toto.bg/content/files/stats-tiraji/649_97.txt
1998,https://info.toto.bg/content/files/stats-tiraji/649_98.txt
1999,https://info.toto.bg/content/files/stats-tiraji/649_99.txt
2000,https://info.toto.bg/content/files/stats-tiraji/649_00.txt
2001,https://info.toto.bg/content/files/stats-tiraji/649_01.txt
2002,https://info.toto.bg/content/files/stats-tiraji/649_02.txt
2003,https://info.toto.bg/content/files/stats-tiraji/649_03.txt
2004,https://info.toto.bg/content/files/stats-tiraji/649_04.txt
2005,https://info.toto.bg/content/files/stats-tiraji/649_2005.txt
2006,https://info.toto.bg/content/files/stats-tiraji/649_2006.txt
2007,https://info.toto.bg/content/files/stats-tiraji/649_2007.txt
2008,https://info.toto.bg/content/files/stats-tiraji/649_2008.txt
2009,https://info.toto.bg/content/files/stats-tiraji/649_2009.txt
2010,https://info.toto.bg/content/files/stats-tiraji/649_2010.txt
2011,https://info.toto.bg/content/files/stats-tiraji/649_2011.txt
2012,https://info.toto.bg/content/files/stats-tiraji/649_2012.txt
2013,https://info.toto.bg/content/files/stats-tiraji/649_2013.txt
2014,https://info.toto.bg/content/files/stats-tiraji/649_2014.txt
2015,https://info.toto.bg/content/files/stats-tiraji/649_2015.txt
2016,https://info.toto.bg/content/files/stats-tiraji/649_2016.txt
2017,https://info.toto.bg/content/files/stats-tiraji/649_2017.txt
2018,https://info.toto.bg/content/files/stats-tiraji/649_2018.txt
2019,https://info.toto.bg/content/files/stats-tiraji/649_2019.txt
2020,https://info.toto.bg/content/files/stats-tiraji/649_2020.txt
2021,https://info.toto.bg/content/files/stats-tiraji/649_2021.txt
2022,https://info.toto.bg/content/files/stats-tiraji/649_2022.txt
2023,https://info.toto.bg/content/files/stats-tiraji/649_2023.txt
2024,https://info.toto.bg/content/files/stats-tiraji/649_2024.txt
2025,https://info.toto.bg/content/files/stats-tiraji/649_2025.txt
2026,https://info.toto.bg/content/files/stats-tiraji/649_2026.txt
