model,event_index,year,draw_number,drawing_no,predicted_top6,actual_numbers,matched_numbers,hit_count
frequency_baseline,8046,2011,28,2,4 44 49 25 28 1,6 9 12 38 44 48,44,1
frequency_baseline,8047,2011,29,1,4 44 49 25 28 1,1 5 13 18 31 40,1,1
frequency_baseline,8048,2011,29,2,4 44 49 25 28 1,9 12 19 22 25 26,25,1
frequency_baseline,8049,2011,30,1,4 44 49 25 28 1,4 7 13 15 35 44,4 44,2
frequency_baseline,8050,2011,30,2,4 44 49 25 28 1,5 12 20 29 42 49,49,1
frequency_baseline,8051,2011,31,1,4 44 49 25 28 1,5 6 17 22 27 40,,0
frequency_baseline,8052,2011,31,2,4 44 49 25 28 1,1 4 16 33 36 45,1 4,2
frequency_baseline,8053,2011,32,1,4 44 49 25 28 1,2 14 16 27 35 44,44,1
frequency_baseline,8054,2011,32,2,4 44 49 25 28 1,5 7 24 25 27 36,25,1
frequency_baseline,8055,2011,33,1,4 44 49 25 28 1,12 21 26 35 40 46,,0
frequency_baseline,8056,2011,33,2,4 44 49 25 28 1,1 5 7 18 27 40,1,1
frequency_baseline,8057,2011,34,1,4 44 49 25 28 1,4 13 19 30 33 44,4 44,2
frequency_baseline,8058,2011,34,2,4 44 49 25 28 1,11 35 41 43 46 49,49,1
frequency_baseline,8059,2011,35,1,4 44 49 25 28 1,1 4 16 20 24 41,1 4,2
frequency_baseline,8060,2011,35,2,4 44 49 25 1 28,9 18 29 34 38 43,,0
frequency_baseline,8061,2011,36,1,4 44 49 25 1 28,17 22 31 34 42 47,,0
frequency_baseline,8062,2011,36,2,4 44 49 25 1 28,10 15 29 37 46 48,,0
frequency_baseline,8063,2011,37,1,4 44 49 25 1 28,5 7 9 11 30 33,,0
frequency_baseline,8064,2011,37,2,4 44 49 25 1 28,7 12 26 33 39 49,49,1
frequency_baseline,8065,2011,38,1,4 44 49 25 1 28,2 12 14 38 44 49,44 49,2
frequency_baseline,8066,2011,38,2,4 44 49 25 1 28,24 35 38 39 41 43,,0
frequency_baseline,8067,2011,39,1,4 44 49 25 1 28,8 9 37 40 44 48,44,1
frequency_baseline,8068,2011,39,2,4 44 49 25 1 28,5 7 15 22 24 33,,0
frequency_baseline,8069,2011,40,1,4 44 49 25 1 28,9 12 18 39 40 43,,0
frequency_baseline,8070,2011,40,2,4 44 49 25 1 28,4 6 14 31 41 42,4,1
frequency_baseline,8071,2011,41,1,4 44 49 25 1 28,2 12 14 30 34 42,,0
frequency_baseline,8072,2011,41,2,4 44 49 25 1 28,4 9 18 33 41 47,4,1
frequency_baseline,8073,2011,42,1,4 44 49 25 1 28,12 27 30 39 41 49,49,1
frequency_baseline,8074,2011,42,2,4 44 49 25 1 28,16 17 21 24 28 40,28,1
frequency_baseline,8075,2011,43,1,4 44 49 25 28 1,3 4 8 9 24 33,4,1
frequency_baseline,8076,2011,43,2,4 44 49 25 28 1,4 12 15 27 35 46,4,1
frequency_baseline,8077,2011,44,1,4 44 49 25 28 1,9 19 21 31 38 45,,0
frequency_baseline,8078,2011,44,2,4 44 49 25 28 1,9 10 27 29 37 43,,0
frequency_baseline,8079,2011,45,1,4 44 49 25 28 1,2 5 7 9 27 34,,0
frequency_baseline,8080,2011,45,2,4 44 49 25 28 1,17 21 28 30 31 49,28 49,2
frequency_baseline,8081,2011,46,1,4 44 49 25 28 1,6 7 14 22 36 42,,0
frequency_baseline,8082,2011,46,2,4 44 49 25 28 1,6 9 17 23 34 35,,0
frequency_baseline,8083,2011,47,1,4 44 49 25 28 1,7 8 16 22 30 49,49,1
frequency_baseline,8084,2011,47,2,4 44 49 25 28 1,19 21 26 40 45 46,,0
frequency_baseline,8085,2011,48,1,4 44 49 25 28 1,2 24 25 27 41 49,25 49,2
frequency_baseline,8086,2011,48,2,4 44 49 25 28 1,2 4 6 16 17 40,4,1
frequency_baseline,8087,2011,49,1,4 44 49 25 28 1,2 12 17 25 38 48,25,1
frequency_baseline,8088,2011,49,2,4 44 49 25 28 17,1 6 8 20 32 36,,0
frequency_baseline,8089,2011,50,1,4 44 49 25 28 1,1 18 19 23 31 43,1,1
frequency_baseline,8090,2011,50,2,4 44 49 25 1 28,17 24 25 33 34 46,25,1
frequency_baseline,8091,2011,51,1,4 44 49 25 1 17,3 12 13 27 38 43,,0
frequency_baseline,8092,2011,51,2,4 44 49 25 1 17,1 10 14 28 32 35,1,1
frequency_baseline,8093,2011,52,1,4 44 49 25 1 28,8 16 26 31 34 38,,0
frequency_baseline,8094,2011,52,2,4 44 49 25 1 28,4 5 6 13 25 45,4 25,2
frequency_baseline,8095,2011,53,1,4 44 49 25 1 28,7 13 15 24 38 40,,0
frequency_baseline,8096,2011,53,2,4 44 49 25 1 28,1 3 24 26 28 29,1 28,2
frequency_baseline,8097,2011,54,1,4 44 49 25 1 28,8 9 16 28 31 32,28,1
frequency_baseline,8098,2011,54,2,4 44 49 25 28 1,2 9 12 18 37 39,,0
frequency_baseline,8099,2011,55,1,4 44 49 25 28 1,8 15 16 39 45 48,,0
frequency_baseline,8100,2011,55,2,4 44 49 25 28 1,1 2 3 14 35 39,1,1
frequency_baseline,8101,2011,56,1,4 44 49 25 1 28,12 22 25 26 35 37,25,1
frequency_baseline,8102,2011,56,2,4 44 49 25 1 28,21 23 32 34 37 41,,0
frequency_baseline,8103,2011,57,1,4 44 49 25 1 28,11 19 20 32 38 48,,0
frequency_baseline,8104,2011,57,2,4 44 49 25 1 28,5 15 16 26 31 42,,0
frequency_baseline,8105,2011,58,1,4 44 49 25 1 28,15 17 24 27 41 46,,0
frequency_baseline,8106,2011,58,2,4 44 49 25 1 28,6 13 20 33 41 42,,0
frequency_baseline,8107,2011,59,1,4 44 49 25 1 28,1 16 17 21 25 34,1 25,2
frequency_baseline,8108,2011,59,2,4 44 49 25 1 28,3 9 14 19 28 42,28,1
frequency_baseline,8109,2011,60,1,4 44 49 25 1 28,21 23 24 34 45 48,,0
frequency_baseline,8110,2011,60,2,4 44 49 25 1 28,4 11 13 17 33 35,4,1
frequency_baseline,8111,2011,61,1,4 44 49 25 1 28,2 4 5 11 14 29,4,1
frequency_baseline,8112,2011,61,2,4 44 49 25 1 28,21 31 33 43 48 49,49,1
frequency_baseline,8113,2011,62,1,4 49 44 25 1 28,10 19 38 43 44 45,44,1
frequency_baseline,8114,2011,62,2,4 44 49 25 1 28,12 15 17 34 43 48,,0
