number,total_hits,expected_hits,difference_from_expected,frequency_ratio,current_absence_gap,max_absence_gap,last_25_hits,last_50_hits,last_100_hits,last_250_hits,last_500_hits,v41_vote_count,positive_signal_score,absence_risk_score,combined_score,absence_risk_level
1,1251,1232.327,18.673,1.015153,8,59,4,8,10,22,50,1,70.59,9.321,49.617,very_low
2,1223,1232.327,-9.327,0.992432,4,65,5,7,17,37,66,1,83.477,10.23,57.565,very_low
3,1182,1232.327,-50.327,0.959161,15,68,2,6,14,27,59,0,71.399,22.84,43.955,very_low
4,1278,1232.327,45.673,1.037063,2,56,2,7,14,27,57,1,79.348,6.75,55.148,very_low
5,1220,1232.327,-12.327,0.989997,5,76,3,5,9,26,59,0,66.945,16.018,45.019,very_low
6,1273,1232.327,40.673,1.033005,6,59,2,5,9,27,57,0,68.292,12.238,46.37,very_low
7,1215,1232.327,-17.327,0.98594,8,59,4,5,11,21,57,0,66.992,16.269,44.791,very_low
8,1247,1232.327,14.673,1.011907,3,52,6,7,10,31,61,0,71.116,6.696,51.071,very_low
9,1253,1232.327,20.673,1.016776,3,57,5,6,11,24,59,0,69.806,7.632,49.708,very_low
10,1201,1232.327,-31.327,0.974579,9,62,1,2,10,31,72,0,69.142,29.416,40.673,low
11,1275,1232.327,42.673,1.034628,2,54,5,8,15,33,62,1,82.943,6.536,57.556,very_low
12,1251,1232.327,18.673,1.015153,1,57,2,9,14,32,61,0,77.153,6.482,54.765,very_low
13,1215,1232.327,-17.327,0.98594,6,54,5,9,14,35,64,0,76.734,11.316,52.712,very_low
14,1207,1232.327,-25.327,0.979448,8,55,2,4,10,28,49,0,68.26,20.622,43.663,very_low
15,1221,1232.327,-11.327,0.990809,9,52,2,4,9,32,64,0,68.651,18.024,45.347,very_low
16,1203,1232.327,-29.327,0.976202,0,54,4,7,16,35,52,1,82.936,11.339,56.16,very_low
17,1269,1232.327,36.673,1.02976,1,47,5,8,14,34,63,0,78.318,5.411,55.311,very_low
18,1197,1232.327,-35.327,0.971333,3,68,2,9,14,38,75,1,81.778,15.1,53.818,very_low
19,1190,1232.327,-42.327,0.965653,6,52,3,6,10,29,64,0,68.626,16.236,45.004,very_low
20,1221,1232.327,-11.327,0.990809,19,58,2,5,12,26,67,0,68.553,19.151,44.858,very_low
21,1290,1232.327,57.673,1.0468,2,46,1,4,12,24,58,2,79.563,12.612,52.664,very_low
22,1250,1232.327,17.673,1.014342,7,72,1,6,10,38,67,1,77.007,10.739,53.09,very_low
23,1170,1232.327,-62.327,0.949424,1,70,4,9,17,43,77,1,83.351,19.676,52.178,very_low
24,1240,1232.327,7.673,1.006227,18,61,1,5,16,36,66,0,77.361,16.952,51.273,very_low
25,1240,1232.327,7.673,1.006227,30,72,0,2,10,21,52,0,62.548,32.431,36.207,low
26,1219,1232.327,-13.327,0.989186,7,56,5,6,14,32,57,0,75.476,11.548,51.974,very_low
27,1199,1232.327,-33.327,0.972956,18,79,2,3,10,30,58,0,67.208,31.724,38.532,low
28,1252,1232.327,19.673,1.015964,2,52,3,5,17,30,62,0,77.93,9.988,53.883,very_low
29,1257,1232.327,24.673,1.020022,0,51,4,5,11,31,65,1,76.885,9.131,53.398,very_low
30,1247,1232.327,14.673,1.011907,1,68,4,8,16,32,63,0,78.775,7.661,55.453,very_low
31,1179,1232.327,-53.327,0.956727,17,50,1,3,9,28,65,0,64.861,32.029,36.312,low
32,1204,1232.327,-28.327,0.977014,16,66,1,1,7,19,54,0,59.415,35.168,32.554,low
33,1229,1232.327,-3.327,0.997301,3,73,3,8,15,34,56,0,78.445,9.576,54.889,very_low
34,1291,1232.327,58.673,1.047612,35,77,0,2,6,32,69,1,65.63,34.842,35.546,low
35,1245,1232.327,12.673,1.010284,0,50,4,5,9,37,66,1,76.369,9.024,53.509,very_low
36,1222,1232.327,-10.327,0.99162,2,56,4,9,15,37,64,0,79.639,8.705,55.733,very_low
37,1277,1232.327,44.673,1.036251,0,55,5,12,20,42,77,4,97.033,5.893,66.471,very_low
38,1234,1232.327,1.673,1.001358,1,63,7,11,20,43,73,2,88.456,7.125,62.081,very_low
39,1210,1232.327,-22.327,0.981883,10,52,3,5,9,29,64,0,67.076,17.215,44.32,very_low
40,1166,1232.327,-66.327,0.946178,7,85,2,5,11,20,39,0,65.73,27.957,37.976,low
41,1174,1232.327,-58.327,0.95267,1,79,2,5,8,24,50,0,64.547,23.55,39.177,very_low
42,1236,1232.327,3.673,1.002981,6,59,8,10,14,35,80,0,77.178,8.571,54.474,very_low
43,1222,1232.327,-10.327,0.99162,10,87,2,4,10,36,67,0,71.38,21.96,45.576,very_low
44,1293,1232.327,60.673,1.049235,0,77,3,8,10,27,55,3,82.272,8.25,55.904,very_low
45,1238,1232.327,5.673,1.004604,14,65,2,4,7,24,53,0,62.428,19.148,41.245,very_low
46,1247,1232.327,14.673,1.011907,5,57,3,5,12,29,55,0,72.612,11.649,50.117,very_low
47,1216,1232.327,-16.327,0.986751,0,63,3,4,10,25,54,1,72.358,16.775,47.958,very_low
48,1270,1232.327,37.673,1.030571,5,57,1,7,15,35,63,1,83.121,7.982,57.279,very_low
49,1275,1232.327,42.673,1.034628,2,49,5,12,17,32,53,1,82.951,6.0,57.764,very_low
