number,total_hits,last_seen_draw,current_gap,average_interval,median_interval,mode_interval,std_interval,coefficient_of_variation,min_interval,max_interval,p25_interval,p75_interval,p90_interval,expected_remaining_mean,expected_remaining_median,probability_next_1_draw,probability_next_3_draws,probability_next_5_draws,probability_next_10_draws,survived_intervals_for_next_5,hits_in_next_5_window,z_score_vs_average_interval,above_median_ratio,due_score,closeness_to_median_score,regularity_score,reliability_score,frequency_ratio,frequency_support_score,balanced_rhythm_score,next_window_score,overdue_score,final_rhythm_score,rhythm_status,beyond_historical_gap
1,1251,10056,2,8.037,6.0,1,7.522,0.936,1,60,3.0,11.0,18.0,8.125,6.0,0.107,0.318,0.491,0.734,950,466,-0.803,0.333,30.948,33.333,51.654,100.0,1.016,51.576,42.025,32.815,46.332,38.281,early,False
2,1222,10051,7,8.229,6.0,1,7.682,0.934,1,66,3.0,11.0,18.0,8.032,6.0,0.135,0.32,0.491,0.748,503,247,-0.16,1.167,46.008,83.333,51.719,100.0,0.992,49.221,55.58,47.429,59.713,52.331,normal,False
3,1182,10049,9,8.495,6.0,1,8.096,0.953,1,69,3.0,12.0,19.0,8.606,6.0,0.121,0.286,0.443,0.701,388,172,0.062,1.5,51.558,50.0,51.203,100.0,0.96,45.973,48.466,45.638,60.168,49.392,normal,False
4,1276,10038,20,7.855,6.0,1,7.344,0.935,1,57,3.0,10.0,18.0,7.568,5.5,0.125,0.375,0.5,0.75,88,44,1.654,3.333,83.94,0.0,51.681,100.0,1.036,53.606,49.098,70.112,87.489,67.283,late,False
5,1219,10048,10,8.235,6.0,1,7.609,0.924,1,77,3.0,11.0,17.3,7.861,5.0,0.127,0.333,0.51,0.749,339,173,0.232,1.667,55.774,33.333,51.974,100.0,0.99,48.978,48.614,50.193,63.15,52.311,normal,False
6,1273,10058,0,7.906,6.0,1,7.337,0.928,1,60,3.0,11.0,17.0,7.906,6.0,0.128,0.35,0.487,0.733,1272,620,-1.077,0.0,25.398,0.0,51.865,100.0,1.034,53.362,34.088,32.526,44.563,35.402,early,False
7,1215,10056,2,8.281,6.0,1,7.776,0.939,1,60,3.0,11.0,18.0,8.4,6.0,0.109,0.297,0.456,0.729,925,422,-0.808,0.333,30.837,33.333,51.573,100.0,0.987,48.653,40.664,30.833,45.875,36.791,early,False
8,1246,10056,2,8.076,6.0,1,7.504,0.929,1,53,3.0,11.0,18.0,7.935,6.0,0.149,0.344,0.497,0.738,973,484,-0.81,0.333,30.795,33.333,51.836,100.0,1.012,51.17,42.181,33.602,46.343,38.724,early,False
9,1252,10054,4,8.029,6.0,1,7.468,0.93,1,58,3.0,11.0,17.0,7.986,6.0,0.097,0.318,0.484,0.755,739,358,-0.539,0.667,36.831,66.667,51.809,100.0,1.017,51.657,50.011,45.65,56.934,49.215,normal,False
10,1201,10055,3,8.376,6.0,1,7.913,0.945,1,63,3.0,11.0,19.0,8.197,6.0,0.112,0.336,0.492,0.731,836,411,-0.679,0.5,33.641,50.0,51.42,100.0,0.975,47.516,45.624,33.458,46.797,39.776,early,False
11,1273,10055,3,7.896,6.0,1,7.324,0.928,1,55,3.0,11.0,17.0,8.12,6.0,0.104,0.3,0.468,0.729,827,387,-0.668,0.5,33.884,50.0,51.879,100.0,1.034,53.362,45.628,32.214,47.424,39.28,early,False
12,1249,10036,22,8.041,6.0,1,7.776,0.967,1,58,3.0,11.0,18.0,8.392,5.0,0.162,0.378,0.541,0.716,74,40,1.795,3.667,85.757,0.0,50.838,97.375,1.014,51.413,50.423,71.638,86.537,68.253,late,False
13,1215,10058,0,8.283,6.0,2,7.762,0.937,1,55,3.0,11.0,19.0,8.283,6.0,0.107,0.317,0.469,0.736,1214,569,-1.067,0.0,25.594,0.0,51.625,100.0,0.987,48.653,33.068,30.8,44.213,34.163,early,False
14,1207,10056,2,8.334,6.0,1,7.728,0.927,1,56,3.0,11.0,18.0,8.162,6.0,0.117,0.308,0.486,0.742,952,463,-0.82,0.333,30.584,33.333,51.887,100.0,0.98,48.003,41.486,32.117,46.045,37.714,early,False
15,1221,10055,3,8.239,6.0,1,7.847,0.952,1,53,3.0,11.0,18.0,8.38,6.0,0.12,0.318,0.471,0.733,815,384,-0.668,0.5,33.901,50.0,51.22,100.0,0.991,49.14,45.207,32.438,47.092,39.2,early,False
16,1202,10058,0,8.365,6.0,1,7.738,0.925,1,55,3.0,11.0,18.0,8.365,6.0,0.126,0.315,0.46,0.712,1201,553,-1.081,0.0,25.331,0.0,51.947,100.0,0.976,47.597,32.698,30.313,43.423,33.65,early,False
17,1267,10053,5,7.928,6.0,1,7.192,0.907,1,48,3.0,11.0,17.0,7.564,5.0,0.124,0.366,0.52,0.759,669,348,-0.407,0.833,39.96,83.333,52.433,100.0,1.029,52.875,55.415,48.718,58.257,52.635,normal,False
18,1196,10043,15,8.4,6.0,1,7.74,0.921,1,69,3.0,11.0,19.0,8.587,6.0,0.114,0.257,0.437,0.725,167,73,0.853,2.5,70.115,0.0,52.046,100.0,0.971,47.11,43.16,56.194,75.365,56.118,watch_zone,False
19,1190,10058,0,8.454,6.0,1,8.073,0.955,1,53,3.0,11.0,19.0,8.454,6.0,0.124,0.313,0.475,0.724,1189,565,-1.047,0.0,25.976,0.0,51.153,100.0,0.966,46.623,33.085,30.88,43.857,34.137,early,False
20,1221,10045,13,8.222,6.0,1,7.487,0.911,1,59,3.0,11.0,18.0,8.071,6.0,0.084,0.271,0.476,0.733,225,107,0.638,2.167,65.434,0.0,52.341,100.0,0.991,49.14,43.39,57.253,74.149,56.474,watch_zone,False
21,1289,10039,19,7.791,5.5,1,7.463,0.958,1,47,3.0,10.0,17.0,8.702,7.5,0.149,0.298,0.457,0.67,94,43,1.502,3.455,81.786,0.0,51.076,100.0,1.047,54.661,47.298,66.484,84.847,64.401,late,False
22,1250,10057,1,8.048,6.0,1,7.524,0.935,1,73,3.0,11.0,18.0,8.032,6.0,0.128,0.319,0.482,0.736,1096,528,-0.937,0.167,28.156,16.667,51.683,100.0,1.015,51.495,37.727,32.005,45.412,36.403,early,False
23,1169,10046,12,8.595,6.0,2,8.405,0.978,1,71,3.0,12.0,19.0,9.026,6.0,0.124,0.327,0.477,0.658,266,127,0.405,2.0,59.991,0.0,50.558,100.0,0.949,44.918,41.397,49.281,61.936,49.447,normal,False
24,1240,10046,12,8.103,6.0,1,7.828,0.966,1,62,3.0,11.0,18.0,9.025,7.0,0.121,0.259,0.41,0.682,239,98,0.498,2.0,62.194,0.0,50.865,100.0,1.007,50.683,40.548,54.031,71.886,53.557,watch_zone,False
25,1240,10034,24,8.098,6.0,1,7.692,0.95,1,73,3.0,11.0,18.0,7.745,5.0,0.182,0.418,0.509,0.691,55,28,2.067,4.0,88.769,0.0,51.285,89.062,1.007,50.683,50.226,70.978,85.223,67.601,late,False
26,1219,10057,1,8.255,6.0,1,7.672,0.929,1,57,3.0,11.0,18.0,8.243,6.0,0.126,0.332,0.473,0.716,1072,507,-0.946,0.167,27.977,16.667,51.829,100.0,0.99,48.978,37.188,31.742,44.6,35.948,early,False
27,1199,10046,12,8.383,6.0,1,8.345,0.995,1,80,2.0,11.0,20.0,8.891,7.0,0.14,0.317,0.43,0.691,265,114,0.433,2.0,60.669,0.0,50.113,100.0,0.974,47.354,40.325,55.556,71.234,54.122,watch_zone,False
28,1251,10057,1,8.044,6.0,1,7.504,0.933,1,53,3.0,11.0,18.0,7.997,6.0,0.126,0.326,0.494,0.743,1101,544,-0.939,0.167,28.115,16.667,51.738,100.0,1.016,51.576,38.103,32.62,45.572,36.855,early,False
29,1256,10057,1,8.008,6.0,1,7.37,0.92,1,52,3.0,11.0,18.0,8.113,6.0,0.11,0.318,0.492,0.732,1084,533,-0.951,0.167,27.871,16.667,52.074,100.0,1.02,51.982,38.061,32.342,45.242,36.638,early,False
30,1246,10054,4,8.067,6.0,1,7.871,0.976,1,69,3.0,11.0,18.0,8.169,5.0,0.113,0.354,0.507,0.736,726,368,-0.517,0.667,37.363,66.667,50.614,100.0,1.012,51.17,50.59,47.357,56.583,50.172,normal,False
31,1179,10047,11,8.528,6.0,1,7.776,0.912,1,51,3.0,12.0,19.0,8.41,6.0,0.107,0.27,0.447,0.69,300,134,0.318,1.833,57.881,16.667,52.306,100.0,0.957,45.73,43.623,46.533,62.081,48.77,normal,False
32,1204,10048,10,8.349,6.0,1,7.882,0.944,1,67,3.0,12.0,19.0,8.152,6.0,0.109,0.338,0.496,0.731,349,173,0.209,1.667,55.217,33.333,51.44,100.0,0.978,47.76,47.834,49.557,62.368,51.603,normal,False
33,1227,10049,9,8.192,6.0,1,7.797,0.952,1,74,3.0,11.0,19.0,8.584,6.5,0.124,0.324,0.454,0.716,370,168,0.104,1.5,52.589,50.0,51.234,100.0,0.996,49.627,49.417,47.329,61.274,50.745,normal,False
34,1291,10029,29,7.765,5.0,1,7.772,1.001,1,78,3.0,10.0,17.0,12.077,10.0,0.192,0.346,0.423,0.538,26,11,2.732,5.8,93.889,0.0,49.976,76.375,1.048,54.824,49.143,66.068,81.08,63.993,late,False
35,1243,10053,5,8.081,6.0,1,7.652,0.947,1,51,3.0,11.0,18.0,8.09,5.0,0.106,0.334,0.501,0.747,643,322,-0.403,0.833,40.069,83.333,51.362,100.0,1.009,50.926,54.504,47.163,57.779,51.489,normal,False
36,1221,10049,9,8.225,6.0,1,7.603,0.924,1,57,3.0,11.0,18.1,8.031,6.0,0.144,0.322,0.472,0.735,388,183,0.102,1.5,52.547,50.0,51.962,100.0,0.991,49.14,49.995,47.909,61.669,51.287,normal,False
37,1276,10055,3,7.881,6.0,2,7.37,0.935,1,56,3.0,10.0,17.0,7.727,5.0,0.135,0.338,0.502,0.754,861,432,-0.662,0.5,34.023,50.0,51.675,100.0,1.036,53.606,46.67,34.378,48.113,40.813,early,False
38,1231,10050,8,8.169,6.0,1,7.871,0.964,1,64,3.0,11.0,18.0,8.358,6.0,0.123,0.305,0.47,0.733,430,202,-0.021,1.333,49.463,66.667,50.928,100.0,1.0,49.952,52.427,46.953,60.621,51.329,normal,False
39,1210,10054,4,8.291,6.0,1,8.139,0.982,1,53,3.0,11.0,19.0,8.596,6.0,0.114,0.329,0.481,0.72,700,337,-0.527,0.667,37.116,66.667,50.463,100.0,0.982,48.247,49.449,45.581,55.815,48.788,normal,False
40,1166,10057,1,8.632,6.0,1,8.499,0.985,1,86,3.0,12.0,19.0,8.76,6.0,0.11,0.305,0.451,0.702,1015,458,-0.898,0.167,28.946,16.667,50.389,100.0,0.947,44.674,36.133,30.203,44.16,34.774,early,False
