number,final_ensemble_score,v42_combined_score,v42_positive_signal,v42_absence_risk,v42_absence_safety,rhythm_final_score,rhythm_next_window_score,rhythm_overdue_score,rhythm_balanced_score,rules_score,v41_vote_score,consensus_hits,consensus_score,model_agreement_score,current_gap,total_hits,hits_last_100,hits_last_250
48,67.942,54.05,80.895,12.857,87.143,63.736,66.137,83.951,46.259,61.253,22.0,4,66.8,66.907,18,1269,14,35
4,67.16,48.752,75.128,16.792,83.208,68.778,72.592,86.936,50.316,54.266,22.0,4,66.8,65.544,19,1276,12,27
12,65.732,49.628,73.404,13.982,86.018,65.477,67.658,85.899,48.227,58.072,0.0,3,50.1,63.61,21,1249,14,31
21,65.239,47.426,74.786,18.612,81.388,65.652,68.998,84.469,47.528,53.328,22.0,4,66.8,66.038,18,1289,12,25
38,64.061,62.133,89.91,9.464,90.536,51.54,46.291,59.719,54.835,64.78,44.0,3,50.1,55.755,7,1231,17,40
49,62.278,60.907,88.473,6.75,93.25,49.884,46.807,56.521,50.586,56.142,44.0,2,33.4,53.557,4,1274,16,31
18,61.888,52.927,82.898,19.256,80.744,56.507,57.521,74.265,42.976,61.499,22.0,1,16.7,72.183,14,1196,16,38
2,61.494,57.679,84.39,11.409,88.591,52.372,46.702,58.167,57.957,61.584,22.0,2,33.4,58.111,6,1222,16,37
36,60.978,57.34,83.636,10.984,89.016,52.173,48.366,60.318,53.089,60.576,22.0,1,16.7,59.35,8,1221,15,37
24,60.569,57.471,83.546,10.661,89.339,49.409,47.492,62.804,43.676,62.422,22.0,1,16.7,58.153,11,1240,17,36
37,60.222,65.981,96.697,6.643,93.357,39.205,33.919,47.073,42.769,66.326,66.0,2,33.4,40.562,2,1276,19,42
25,59.733,38.154,64.125,29.806,70.194,66.608,69.285,85.409,49.614,48.016,0.0,3,50.1,67.96,23,1240,10,22
34,59.102,39.078,69.764,32.217,67.783,63.375,65.677,79.678,48.671,53.712,22.0,3,50.1,71.295,28,1291,7,33
46,58.497,51.588,73.191,8.732,91.268,52.837,48.305,59.715,55.805,53.446,0.0,1,16.7,57.037,7,1246,13,28
20,58.147,48.315,70.129,12.698,87.302,54.635,55.214,73.066,41.383,51.102,0.0,0,0.0,61.013,12,1221,12,27
33,57.776,53.039,76.803,11.668,88.332,50.916,46.639,59.779,52.136,57.48,0.0,0,0.0,58.307,8,1227,15,32
