group,n1,n2,n3,count,recent_count,last_seen_index,gap,frequency_score,recency_score,overdue_score,group_score
13-23-34,13,23,34,23,3,9987,71,0.92,0.75,0.007059,0.879941
20-22-49,20,22,49,25,2,10008,50,1.0,0.5,0.004971,0.849254
11-34-36,11,34,36,24,2,10022,36,0.96,0.5,0.003579,0.827463
17-28-49,17,28,49,20,3,10053,5,0.8,0.75,0.000497,0.814925
33-39-46,33,39,46,20,3,9963,95,0.8,0.75,0.009445,0.813583
2-17-37,2,17,37,23,2,9971,87,0.92,0.5,0.00865,0.804703
4-28-43,4,28,43,19,3,10038,20,0.76,0.75,0.001988,0.792702
12-22-34,12,22,34,22,2,9917,141,0.88,0.5,0.014019,0.781897
12-20-22,12,20,22,22,2,9916,142,0.88,0.5,0.014118,0.781882
2-18-42,2,18,42,15,4,10043,15,0.6,1.0,0.001491,0.779776
17-24-49,17,24,49,21,2,9982,76,0.84,0.5,0.007556,0.760867
7-10-39,7,10,39,21,2,9924,134,0.84,0.5,0.013323,0.760002
22-37-42,22,37,42,21,2,9917,141,0.84,0.5,0.014019,0.759897
23-24-38,23,24,38,14,4,10046,12,0.56,1.0,0.001193,0.757821
10-24-36,10,24,36,14,4,10025,33,0.56,1.0,0.003281,0.757508
3-14-34,3,14,34,24,1,9956,102,0.96,0.25,0.010141,0.751479
1-21-34,1,21,34,24,1,9938,120,0.96,0.25,0.011931,0.75121
1-8-29,1,8,29,17,3,10056,2,0.68,0.75,0.000199,0.74897
13-23-27,13,23,27,17,3,10044,14,0.68,0.75,0.001392,0.748791
30-36-38,30,36,38,17,3,10042,16,0.68,0.75,0.001591,0.748761
2-11-23,2,11,23,17,3,10041,17,0.68,0.75,0.00169,0.748746
17-23-34,17,23,34,17,3,9987,71,0.68,0.75,0.007059,0.747941
16-33-46,16,33,46,17,3,9937,121,0.68,0.75,0.01203,0.747195
24-42-45,24,42,45,17,3,9921,137,0.68,0.75,0.013621,0.746957
17-35-49,17,35,49,20,2,10053,5,0.8,0.5,0.000497,0.739925
11-26-38,11,26,38,20,2,10042,16,0.8,0.5,0.001591,0.739761
12-22-30,12,22,30,20,2,10032,26,0.8,0.5,0.002585,0.739612
4-44-47,4,44,47,20,2,10018,40,0.8,0.5,0.003977,0.739403
17-33-44,17,33,44,20,2,10016,42,0.8,0.5,0.004176,0.739374
2-12-19,2,12,19,20,2,10015,43,0.8,0.5,0.004275,0.739359
5-21-48,5,21,48,20,2,10009,49,0.8,0.5,0.004872,0.739269
18-22-48,18,22,48,20,2,9966,92,0.8,0.5,0.009147,0.738628
21-39-46,21,39,46,23,1,9963,95,0.92,0.25,0.009445,0.729583
12-14-36,12,14,36,23,1,9962,96,0.92,0.25,0.009545,0.729568
6-18-22,6,18,22,23,1,9959,99,0.92,0.25,0.009843,0.729524
25-34-44,25,34,44,23,1,9931,127,0.92,0.25,0.012627,0.729106
6-8-33,6,8,33,23,1,9929,129,0.92,0.25,0.012826,0.729076
17-18-38,17,18,38,23,1,9886,172,0.92,0.25,0.017101,0.728435
18-38-49,18,38,49,16,3,10039,19,0.64,0.75,0.001889,0.726717
24-30-36,24,30,36,16,3,10000,58,0.64,0.75,0.005767,0.726135
31-35-36,31,35,36,16,3,9995,63,0.64,0.75,0.006264,0.72606
17-29-37,17,29,37,16,3,9972,86,0.64,0.75,0.00855,0.725717
19-31-36,19,31,36,16,3,9923,135,0.64,0.75,0.013422,0.724987
21-39-45,21,39,45,19,2,10037,21,0.76,0.5,0.002088,0.717687
23-38-42,23,38,42,19,2,10031,27,0.76,0.5,0.002684,0.717597
9-10-20,9,10,20,19,2,10012,46,0.76,0.5,0.004573,0.717314
11-38-40,11,38,40,19,2,10005,53,0.76,0.5,0.005269,0.71721
6-8-29,6,8,29,19,2,10004,54,0.76,0.5,0.005369,0.717195
4-12-19,4,12,19,19,2,9977,81,0.76,0.5,0.008053,0.716792
15-30-43,15,30,43,19,2,9964,94,0.76,0.5,0.009346,0.716598
29-31-34,29,31,34,19,2,9931,127,0.76,0.5,0.012627,0.716106
11-22-41,11,22,41,19,2,9930,128,0.76,0.5,0.012726,0.716091
33-37-48,33,37,48,22,1,10024,34,0.88,0.25,0.00338,0.708493
3-9-30,3,9,30,22,1,10003,55,0.88,0.25,0.005468,0.70818
21-34-36,21,34,36,22,1,9938,120,0.88,0.25,0.011931,0.70721
2-34-42,2,34,42,22,1,9891,167,0.88,0.25,0.016604,0.706509
