number,profile_score,band,status,appearances,expected_appearances,appearance_vs_expected_ratio,draw_frequency_pct,last_seen_index,draws_since_last_seen,average_interval,median_interval,max_interval,recent_50,recent_100,recent_250,recent_500,interval_stability_score,top_pairs,top_triples
1,49.58,Нормален профил,Нормален ритъм,1251,1231.84,1.0156,12.4354,10056,4,8.04,6.0,60,8,10,22,50,57.88,5 (153); 21 (152); 11 (145); 30 (145); 9 (144),21-34 (24); 19-25 (22); 30-34 (20); 28-37 (20); 18-30 (20)
2,54.48,Нормален профил,Нормален ритъм,1223,1231.84,0.9928,12.1571,10060,0,8.23,6.0,66,7,17,38,66,58.01,17 (149); 24 (148); 37 (145); 13 (144); 34 (143),17-37 (23); 34-42 (22); 9-45 (22); 7-14 (21); 24-34 (21)
3,31.46,По-слаб профил,Нормален ритъм,1182,1231.84,0.9595,11.7495,10049,11,8.5,6.0,69,7,15,27,59,57.11,34 (142); 14 (141); 31 (139); 4 (135); 44 (134),14-34 (24); 9-30 (22); 44-49 (21); 20-31 (20); 5-45 (20)
4,52.29,Нормален профил,Нормален ритъм,1277,1231.84,1.0367,12.6938,10060,0,7.87,6.0,57,6,13,26,56,57.94,11 (162); 6 (161); 44 (157); 47 (156); 24 (156),6-22 (24); 37-44 (22); 11-46 (22); 42-44 (22); 25-44 (21)
5,41.67,По-слаб профил,Нормален ритъм,1220,1231.84,0.9904,12.1272,10059,1,8.24,6.0,77,5,11,27,60,58.44,1 (153); 46 (149); 28 (148); 35 (145); 9 (144),26-29 (22); 10-43 (21); 12-29 (20); 21-48 (20); 3-45 (20)
6,60.73,Нормален профил,Нормален ритъм,1273,1231.84,1.0334,12.6541,10058,2,7.91,6.0,60,5,9,28,57,58.24,30 (163); 4 (161); 22 (158); 48 (152); 45 (149),4-22 (24); 18-22 (23); 8-33 (23); 33-49 (23); 21-37 (22)
7,32.5,По-слаб профил,Нормален ритъм,1215,1231.84,0.9863,12.0775,10056,4,8.28,6.0,60,5,11,22,57,57.74,26 (145); 6 (143); 2 (141); 48 (141); 12 (140),44-48 (23); 2-14 (21); 10-39 (21); 10-30 (21); 10-21 (20)
8,61.25,Нормален профил,Нормален ритъм,1246,1231.84,1.0115,12.3857,10056,4,8.08,6.0,53,6,9,31,61,58.19,37 (152); 29 (147); 44 (147); 42 (144); 45 (141),6-33 (23); 18-29 (20); 25-48 (20); 4-33 (20); 25-42 (19)
9,57.08,Нормален профил,Нормален ритъм,1252,1231.84,1.0164,12.4453,10054,6,8.03,6.0,58,6,10,23,58,58.14,21 (146); 43 (145); 1 (144); 28 (144); 5 (144),3-30 (22); 2-45 (22); 28-43 (21); 2-31 (20); 6-24 (20)
10,39.79,По-слаб профил,Нормален ритъм,1201,1231.84,0.975,11.9384,10055,5,8.38,6.0,63,4,12,31,72,57.49,33 (142); 20 (141); 16 (137); 46 (137); 49 (136),5-43 (21); 7-39 (21); 11-37 (21); 7-30 (21); 7-21 (20)
