number,main_group,categories,combined_score,historical_strength_score,recent_activity_score,overdue_score,stability_score,profile_score,appearances,appearance_vs_expected_ratio,recent_50,recent_100,recent_250,recent_50_ratio,recent_100_ratio,recent_250_ratio,draws_since_last_seen,average_interval,current_gap_ratio,interval_stability_score
1,Неутрални,Неутрален профил,59.2,50.79,100.0,15.54,57.88,47.08,1251,1.0157,8,10,22,1.3067,0.8167,0.7187,3,8.04,0.37,57.88
2,Неутрални,Неутрален профил,65.68,49.6,100.0,40.74,57.99,64.37,1222,0.9921,6,16,37,0.98,1.3067,1.2087,8,8.23,0.97,57.99
3,Неутрални,Неутрален профил,63.58,47.98,100.0,49.56,57.11,31.04,1182,0.9596,7,15,27,1.1433,1.225,0.882,10,8.5,1.18,57.11
4,Закъснели,Закъсняло,74.79,51.8,87.38,100.0,57.93,69.38,1276,1.036,5,12,26,0.8167,0.98,0.8493,21,7.85,2.68,57.93
5,Неутрални,Неутрален профил,50.79,49.53,85.75,0.0,58.44,39.17,1220,0.9905,5,11,27,0.8167,0.8983,0.882,0,8.24,0.0,58.44
6,Неутрални,Неутрален профил,53.81,51.68,84.12,5.46,58.24,58.23,1273,1.0335,5,10,28,0.8167,0.8167,0.9147,1,7.91,0.13,58.24
7,Неутрални,Неутрален профил,51.52,49.32,81.67,15.12,57.74,30.0,1215,0.9864,5,11,22,0.8167,0.8983,0.7187,3,8.28,0.36,57.74
8,Неутрални,Неутрален профил,57.8,50.58,91.47,15.54,58.19,58.75,1246,1.0116,6,9,31,0.98,0.735,1.0127,3,8.08,0.37,58.19
9,Неутрални,Неутрален профил,58.31,50.82,87.38,26.04,58.14,54.58,1252,1.0165,6,10,23,0.98,0.8167,0.7513,5,8.03,0.62,58.14
10,Неутрални,Неутрален профил,53.81,48.75,84.12,20.16,57.49,37.29,1201,0.9751,4,12,31,0.6533,0.98,1.0127,4,8.38,0.48,57.49
11,Неутрални,Неутрален профил,58.26,51.72,100.0,0.0,58.25,65.94,1274,1.0343,8,14,32,1.3067,1.1433,1.0453,0,7.89,0.0,58.25
12,Закъснели,Закъсняло,77.15,50.7,100.0,100.0,56.48,60.0,1249,1.014,7,14,31,1.1433,1.1433,1.0127,23,8.04,2.86,56.48
