year,draw_no,date,draw_numbers_text,match_count,matching_numbers_text,different_query_numbers_text
2023,84,,"2, 17, 30, 35, 38, 41",4,"2, 17, 35, 38","4, 33"
2011,60,,"4, 11, 13, 17, 33, 35",4,"4, 17, 33, 35","2, 38"
2005,78,,"2, 4, 17, 19, 21, 38",4,"2, 4, 17, 38","33, 35"
2000,63,,"2, 4, 17, 30, 33, 45",4,"2, 4, 17, 33","35, 38"
1979,606,,"2, 3, 17, 33, 35, 47",4,"2, 17, 33, 35","4, 38"
2026,6,2026-01-25,"4, 17, 20, 31, 33, 44",3,"4, 17, 33","2, 35, 38"
2025,83,,"13, 17, 23, 33, 34, 38",3,"17, 33, 38","2, 4, 35"
2025,49,,"2, 4, 13, 17, 27, 43",3,"2, 4, 17","33, 35, 38"
2025,4,,"2, 18, 31, 33, 35, 47",3,"2, 33, 35","4, 17, 38"
2024,86,,"11, 17, 18, 35, 38, 47",3,"17, 35, 38","2, 4, 33"
2024,39,,"4, 10, 17, 23, 38, 48",3,"4, 17, 38","2, 33, 35"
2023,90,,"1, 4, 6, 17, 23, 33",3,"4, 17, 33","2, 35, 38"
