rank,number,weighted_score,weighted_score_percent,source_count,top_sources,status
1,1,83.807746,100.0,7,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,водещ претеглен сигнал
2,2,81.012278,96.664,7,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,водещ претеглен сигнал
3,37,74.321986,88.682,6,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,водещ претеглен сигнал
4,11,68.594549,81.848,7,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,водещ претеглен сигнал
5,38,66.094047,78.864,7,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,водещ претеглен сигнал
6,22,63.126823,75.323,8,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,водещ претеглен сигнал
7,4,63.075745,75.262,7,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,водещ претеглен сигнал
8,21,63.008855,75.183,6,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,водещ претеглен сигнал
9,18,61.429809,73.298,5,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,силен потвърден сигнал
10,23,60.661982,72.382,5,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,силен потвърден сигнал
11,44,59.680912,71.212,8,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v42 — комбиниран позитивен/негативен модел,силен потвърден сигнал
12,34,57.302906,68.374,6,v44.1 — финална обединена комбинация | v41 — последни прогнозни сигнали | v59 — интелигентен генератор 2,силен потвърден сигнал
13,42,53.734446,64.116,8,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v58 — обединена оценка,силен потвърден сигнал
14,17,50.800108,60.615,8,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",силен потвърден сигнал
15,16,49.240116,58.754,6,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v59 — интелигентен генератор 2,балансиран сигнал
16,24,48.79796,58.226,5,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v59 — интелигентен генератор 2,балансиран сигнал
17,3,47.933067,57.194,7,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v41 — последни прогнозни сигнали,балансиран сигнал
18,43,45.339278,54.099,8,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v59 — интелигентен генератор 2,балансиран сигнал
19,49,43.877768,52.355,8,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",балансиран сигнал
20,48,43.644592,52.077,8,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v51 — пакет от комбинации,балансиран сигнал
21,13,43.381283,51.763,6,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",балансиран сигнал
22,36,43.266789,51.626,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",балансиран сигнал
23,33,40.806321,48.69,7,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",балансиран сигнал
24,6,40.522283,48.351,8,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v51 — пакет от комбинации,балансиран сигнал
25,12,39.801151,47.491,6,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",балансиран сигнал
26,30,39.776696,47.462,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",балансиран сигнал
27,28,39.473626,47.1,6,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",балансиран сигнал
28,20,38.899886,46.416,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",балансиран сигнал
29,26,38.415315,45.837,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",балансиран сигнал
30,46,37.621383,44.89,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
31,29,37.614732,44.882,8,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v51 — пакет от комбинации,сигнал за наблюдение
32,8,36.472602,43.519,6,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
33,35,36.269172,43.277,6,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v41 — последни прогнозни сигнали,сигнал за наблюдение
34,9,34.810321,41.536,6,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
35,39,34.532628,41.205,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
36,15,33.979199,40.544,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
37,19,33.52426,40.001,6,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
38,5,33.358987,39.804,6,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
39,10,33.108794,39.506,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
40,14,32.202236,38.424,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
41,7,32.036305,38.226,6,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
42,27,31.612462,37.72,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
43,45,31.03897,37.036,5,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
44,47,30.907885,36.88,5,v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v41 — последни прогнозни сигнали,сигнал за наблюдение
45,31,29.836823,35.602,6,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
46,25,29.107733,34.732,6,"v44.1 — финална обединена комбинация | v57 — горещи, студени и стабилни | v42 — комбиниран позитивен/негативен модел",сигнал за наблюдение
47,40,26.580974,31.717,3,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
48,41,26.471143,31.586,5,"v44.1 — финална обединена комбинация | v57 — горещи, студени и стабилни | v41 — последни прогнозни сигнали",сигнал за наблюдение
49,32,24.622795,29.38,4,"v44.1 — финална обединена комбинация | v42 — комбиниран позитивен/негативен модел | v57 — горещи, студени и стабилни",сигнал за наблюдение
