number,step66_rank,weighted_score_percent,source_count,covered_count,coverage_percent,number_group,coverage_status,step66_status
1,1,100.0,7,5,62.5,01-09,силен сигнал с висока експозиция,водещ претеглен сигнал
2,2,98.108,8,4,50.0,01-09,силен сигнал с висока експозиция,водещ претеглен сигнал
37,3,87.683,6,4,50.0,30-39,силен сигнал с висока експозиция,водещ претеглен сигнал
38,4,85.871,6,4,50.0,30-39,силен сигнал с висока експозиция,водещ претеглен сигнал
4,5,84.348,8,3,37.5,01-09,добре покрит силен сигнал,водещ претеглен сигнал
18,6,79.854,7,2,25.0,10-19,добре покрит силен сигнал,водещ претеглен сигнал
21,7,79.029,8,3,37.5,20-29,добре покрит силен сигнал,водещ претеглен сигнал
22,8,78.744,6,3,37.5,20-29,добре покрит силен сигнал,водещ претеглен сигнал
49,9,78.704,6,3,37.5,40-49,добре покрит силен сигнал,водещ претеглен сигнал
34,10,73.587,8,4,50.0,30-39,силен сигнал с висока експозиция,силен потвърден сигнал
23,11,73.379,5,3,37.5,20-29,добре покрит силен сигнал,силен потвърден сигнал
44,12,72.642,7,2,25.0,40-49,добре покрит силен сигнал,силен потвърден сигнал
13,13,58.193,7,2,25.0,10-19,добре покрит силен сигнал,балансиран сигнал
3,14,57.62,7,1,12.5,01-09,покрит силен сигнал,балансиран сигнал
17,15,55.799,8,2,25.0,10-19,добре покрит силен сигнал,балансиран сигнал
42,16,54.01,7,1,12.5,40-49,покрит силен сигнал,балансиран сигнал
48,17,50.873,8,1,12.5,40-49,покрит силен сигнал,балансиран сигнал
16,18,48.824,7,0,0.0,10-19,непокрит top 20 сигнал,балансиран сигнал
11,19,48.158,5,0,0.0,10-19,непокрит top 20 сигнал,балансиран сигнал
36,20,47.981,7,0,0.0,30-39,непокрит top 20 сигнал,балансиран сигнал
24,21,45.114,6,0,0.0,20-29,непокрит резервен сигнал,балансиран сигнал
29,22,44.701,6,1,12.5,20-29,покрит резервен сигнал,сигнал за наблюдение
12,23,43.422,7,0,0.0,10-19,непокрит резервен сигнал,сигнал за наблюдение
28,24,42.802,6,0,0.0,20-29,непокрит резервен сигнал,сигнал за наблюдение
30,25,42.75,5,0,0.0,30-39,непокрит резервен сигнал,сигнал за наблюдение
33,26,42.302,6,0,0.0,30-39,непокрит резервен сигнал,сигнал за наблюдение
20,27,42.147,5,0,0.0,20-29,непокрит резервен сигнал,сигнал за наблюдение
26,28,41.545,5,0,0.0,20-29,непокрит резервен сигнал,сигнал за наблюдение
46,29,41.122,5,0,0.0,40-49,непокрит резервен сигнал,сигнал за наблюдение
6,30,40.785,7,0,0.0,01-09,непокрит резервен сигнал,сигнал за наблюдение
19,31,40.367,6,0,0.0,10-19,непокрит резервен сигнал,сигнал за наблюдение
9,32,40.2,6,0,0.0,01-09,непокрит резервен сигнал,сигнал за наблюдение
43,33,39.628,6,0,0.0,40-49,непокрит резервен сигнал,сигнал за наблюдение
8,34,39.449,6,0,0.0,01-09,непокрит резервен сигнал,сигнал за наблюдение
39,35,38.196,5,0,0.0,30-39,непокрит резервен сигнал,сигнал за наблюдение
15,36,37.771,6,0,0.0,10-19,непокрит резервен сигнал,сигнал за наблюдение
7,37,37.599,6,0,0.0,01-09,непокрит резервен сигнал,сигнал за наблюдение
35,38,36.446,5,0,0.0,30-39,непокрит резервен сигнал,сигнал за наблюдение
5,39,36.302,6,0,0.0,01-09,непокрит резервен сигнал,сигнал за наблюдение
10,40,36.217,5,0,0.0,10-19,непокрит резервен сигнал,сигнал за наблюдение
14,41,35.23,4,0,0.0,10-19,непокрит резервен сигнал,сигнал за наблюдение
27,42,35.063,5,0,0.0,20-29,непокрит резервен сигнал,сигнал за наблюдение
45,43,34.485,5,0,0.0,40-49,непокрит резервен сигнал,сигнал за наблюдение
47,44,33.27,6,0,0.0,40-49,непокрит резервен сигнал,сигнал за наблюдение
31,45,32.922,6,0,0.0,30-39,непокрит резервен сигнал,сигнал за наблюдение
25,46,32.145,6,0,0.0,20-29,непокрит резервен сигнал,сигнал за наблюдение
40,47,29.422,3,0,0.0,40-49,непокрит резервен сигнал,сигнал за наблюдение
41,48,29.184,5,0,0.0,40-49,непокрит резервен сигнал,сигнал за наблюдение
32,49,28.63,4,0,0.0,30-39,непокрит резервен сигнал,сигнал за наблюдение
