rank,ticket_id,strategy_label,current_numbers,suggested_numbers,remove_number,add_number,remove_step66_rank,add_step66_rank,remove_step66_score,add_step66_score,portfolio_score_before,portfolio_score_after,portfolio_score_delta,unique_coverage_before,unique_coverage_after,top20_coverage_before,top20_coverage_after,repeated_pairs_before,repeated_pairs_after,repeated_triples_before,repeated_triples_after,max_overlap_before,max_overlap_after,expected_gain_score,recommendation_strength,reason,safe_note
1,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,11,18,21,23,37",34,11,6,13,73.785,64.449,59.658,64.558,4.9,18,19,17,18,25,23,4,1,3,3,41.353,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
2,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,18,21,23,24,37",34,24,6,17,73.785,57.553,59.658,64.523,4.865,18,19,17,18,25,23,4,1,3,3,40.766,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
3,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,12,18,21,23,37",34,12,6,20,73.785,55.437,59.658,64.512,4.854,18,19,17,18,25,23,4,1,3,3,40.586,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
4,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,11,18,21,23,34",37,11,3,13,83.931,64.449,59.658,64.506,4.848,18,19,17,18,25,23,4,1,3,3,40.489,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
5,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,18,21,23,24,34",37,24,3,17,83.931,57.553,59.658,64.47,4.812,18,19,17,18,25,23,4,1,3,3,39.902,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
6,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,12,18,21,23,34",37,12,3,20,83.931,55.437,59.658,64.459,4.801,18,19,17,18,25,23,4,1,3,3,39.721,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
7,8,Разширена статистическа комбинация,"1,18,21,23,34,37","11,18,21,23,34,37",1,11,1,13,100.0,64.449,59.658,64.518,4.86,18,19,17,18,25,23,4,1,3,3,39.216,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
8,8,Разширена статистическа комбинация,"1,18,21,23,34,37","18,21,23,24,34,37",1,24,1,17,100.0,57.553,59.658,64.482,4.824,18,19,17,18,25,23,4,1,3,3,38.628,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
9,8,Разширена статистическа комбинация,"1,18,21,23,34,37","12,18,21,23,34,37",1,12,1,20,100.0,55.437,59.658,64.471,4.813,18,19,17,18,25,23,4,1,3,3,38.448,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
10,4,Балансирана комбинация по нечетни/четни числа,"2,17,23,34,37,44","2,11,17,34,37,44",23,11,12,13,66.675,64.449,59.658,63.149,3.491,18,19,17,18,25,22,4,3,3,3,30.113,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
11,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,11,18,21,34,37",23,11,12,13,66.675,64.449,59.658,63.149,3.491,18,19,17,18,25,22,4,3,3,3,30.113,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
12,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","1,4,11,34,38,44",21,11,9,13,71.601,64.449,59.658,63.123,3.465,18,19,17,18,25,22,4,3,3,3,29.693,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
13,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,11,18,23,34,37",21,11,9,13,71.601,64.449,59.658,63.123,3.465,18,19,17,18,25,22,4,3,3,3,29.693,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
14,4,Балансирана комбинация по нечетни/четни числа,"2,17,23,34,37,44","2,17,24,34,37,44",23,24,12,17,66.675,57.553,59.658,63.113,3.455,18,19,17,18,25,22,4,3,3,3,29.525,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
15,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,18,21,24,34,37",23,24,12,17,66.675,57.553,59.658,63.113,3.455,18,19,17,18,25,22,4,3,3,3,29.525,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
16,4,Балансирана комбинация по нечетни/четни числа,"2,17,23,34,37,44","2,12,17,34,37,44",23,12,12,20,66.675,55.437,59.658,63.102,3.444,18,19,17,18,25,22,4,3,3,3,29.345,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
17,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,12,18,21,34,37",23,12,12,20,66.675,55.437,59.658,63.102,3.444,18,19,17,18,25,22,4,3,3,3,29.345,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
18,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","1,4,24,34,38,44",21,24,9,17,71.601,57.553,59.658,63.088,3.43,18,19,17,18,25,22,4,3,3,3,29.106,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
19,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,18,23,24,34,37",21,24,9,17,71.601,57.553,59.658,63.088,3.43,18,19,17,18,25,22,4,3,3,3,29.106,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
20,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","1,4,12,34,38,44",21,12,9,20,71.601,55.437,59.658,63.076,3.418,18,19,17,18,25,22,4,3,3,3,28.925,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
21,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,12,18,23,34,37",21,12,9,20,71.601,55.437,59.658,63.076,3.418,18,19,17,18,25,22,4,3,3,3,28.925,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
22,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","1,4,11,21,38,44",34,11,6,13,73.785,64.449,59.658,62.958,3.3,18,19,17,18,25,23,4,3,3,3,27.753,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
23,4,Балансирана комбинация по нечетни/четни числа,"2,17,23,34,37,44","2,11,17,23,37,44",34,11,6,13,73.785,64.449,59.658,62.958,3.3,18,19,17,18,25,23,4,3,3,3,27.753,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
24,1,Балансирана претеглена комбинация,"1,2,4,18,37,49","1,2,4,11,37,49",18,11,5,13,74.232,64.449,59.658,62.763,3.105,18,19,17,18,25,23,4,3,3,3,27.522,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
25,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,11,21,23,34,37",18,11,5,13,74.232,64.449,59.658,62.763,3.105,18,19,17,18,25,23,4,3,3,3,27.522,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
26,1,Балансирана претеглена комбинация,"1,2,4,18,37,49","2,4,11,18,37,49",1,11,1,13,100.0,64.449,59.658,63.168,3.51,18,19,17,18,25,22,4,3,3,3,27.466,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
27,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","4,11,21,34,38,44",1,11,1,13,100.0,64.449,59.658,63.168,3.51,18,19,17,18,25,22,4,3,3,3,27.466,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
28,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","1,4,21,24,38,44",34,24,6,17,73.785,57.553,59.658,62.923,3.265,18,19,17,18,25,23,4,3,3,3,27.166,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
29,4,Балансирана комбинация по нечетни/четни числа,"2,17,23,34,37,44","2,17,23,24,37,44",34,24,6,17,73.785,57.553,59.658,62.923,3.265,18,19,17,18,25,23,4,3,3,3,27.166,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
30,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","1,4,12,21,38,44",34,12,6,20,73.785,55.437,59.658,62.912,3.254,18,19,17,18,25,23,4,3,3,3,26.986,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
31,4,Балансирана комбинация по нечетни/четни числа,"2,17,23,34,37,44","2,12,17,23,37,44",34,12,6,20,73.785,55.437,59.658,62.912,3.254,18,19,17,18,25,23,4,3,3,3,26.986,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
32,1,Балансирана претеглена комбинация,"1,2,4,18,37,49","1,2,4,24,37,49",18,24,5,17,74.232,57.553,59.658,62.727,3.069,18,19,17,18,25,23,4,3,3,3,26.935,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
33,8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,21,23,24,34,37",18,24,5,17,74.232,57.553,59.658,62.727,3.069,18,19,17,18,25,23,4,3,3,3,26.935,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
34,1,Балансирана претеглена комбинация,"1,2,4,18,37,49","1,2,4,11,18,49",37,11,3,13,83.931,64.449,59.658,62.906,3.248,18,19,17,18,25,23,4,3,3,3,26.889,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
35,4,Балансирана комбинация по нечетни/четни числа,"2,17,23,34,37,44","2,11,17,23,34,44",37,11,3,13,83.931,64.449,59.658,62.906,3.248,18,19,17,18,25,23,4,3,3,3,26.889,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
36,1,Балансирана претеглена комбинация,"1,2,4,18,37,49","2,4,18,24,37,49",1,24,1,17,100.0,57.553,59.658,63.132,3.474,18,19,17,18,25,22,4,3,3,3,26.878,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
37,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","4,21,24,34,38,44",1,24,1,17,100.0,57.553,59.658,63.132,3.474,18,19,17,18,25,22,4,3,3,3,26.878,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
38,1,Балансирана претеглена комбинация,"1,2,4,18,37,49","1,2,4,12,37,49",18,12,5,20,74.232,55.437,59.658,62.716,3.058,18,19,17,18,25,23,4,3,3,3,26.754,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
