number,neural_score,номер,четност,ниско_високо,десетица,разстояние_от_край,историческа_честота,отклонение_от_очакваното,честота_последни_25,честота_последни_50,честота_последни_100,gap_от_последна_поява,overdue_сигнал,кратък_тренд,rank
21,0.5404483095774696,0.42857142857142855,1.0,1.0,0.5,0.8333333333333334,0.12814395069092355,0.005694971099086815,0.08,0.14,0.14,0.10833333333333334,0.060416666666666674,-0.06000000000000001,1
34,0.5377782872681024,0.6938775510204082,0.0,0.0,0.75,0.625,0.12834277761208868,0.005893798020251945,0.04,0.12,0.14,0.15833333333333333,0.13541666666666669,-0.1,2
45,0.5362165039029012,0.9183673469387755,1.0,0.0,1.0,0.16666666666666666,0.12307386420121284,0.0006248846093761112,0.2,0.22,0.17,0.008333333333333333,-0.08958333333333332,0.03,3
40,0.5360112537315357,0.8163265306122449,0.0,0.0,1.0,0.375,0.11591609503926832,-0.00653288455256841,0.16,0.18,0.15,0.13333333333333333,0.09791666666666668,0.010000000000000009,4
2,0.5341945079849273,0.04081632653061224,0.0,1.0,0.0,0.041666666666666664,0.12148324883189184,-0.0009657307599448967,0.32,0.2,0.18,0.008333333333333333,-0.08958333333333332,0.14,5
25,0.5289201401345177,0.5102040816326531,1.0,0.0,0.5,1.0,0.12327269112237797,0.0008237115305412407,0.16,0.18,0.14,0.08333333333333333,0.022916666666666675,0.01999999999999999,6
43,0.5282473330746555,0.8775510204081632,1.0,0.0,1.0,0.25,0.12148324883189184,-0.0009657307599448967,0.24,0.2,0.15,0.041666666666666664,-0.039583333333333325,0.09,7
47,0.5263656645316682,0.9591836734693877,1.0,0.0,1.0,0.08333333333333333,0.1207873546078139,-0.0016616249840228359,0.2,0.18,0.15,0.016666666666666666,-0.07708333333333332,0.05000000000000002,8
38,0.5171235622017131,0.7755102040816326,0.0,0.0,0.75,0.4583333333333333,0.1223779699771349,-7.100961470182798e-05,0.16,0.14,0.14,0.058333333333333334,-0.014583333333333327,0.01999999999999999,9
30,0.5160451395479785,0.6122448979591837,0.0,0.0,0.75,0.7916666666666666,0.12386917188587335,0.0014201922940366152,0.04,0.1,0.13,0.025,-0.06458333333333333,-0.09,10
13,0.5131093969526317,0.2653061224489796,1.0,1.0,0.25,0.5,0.1207873546078139,-0.0016616249840228359,0.12,0.16,0.1,0.06666666666666667,-0.002083333333333326,0.01999999999999999,11
19,0.5121347354230545,0.3877551020408163,1.0,1.0,0.25,0.75,0.11830201809324982,-0.004146961498586912,0.04,0.04,0.06,0.18333333333333332,0.17291666666666666,-0.019999999999999997,12
44,0.5115723436081216,0.8979591836734694,0.0,0.0,1.0,0.20833333333333334,0.12844219107267124,0.005993211480834509,0.12,0.12,0.15,0.008333333333333333,-0.08958333333333332,-0.03,13
27,0.5093172010497001,0.5510204081632653,1.0,0.0,0.5,0.9166666666666666,0.11919673923849289,-0.0032522403533438438,0.04,0.12,0.18,0.125,0.08541666666666667,-0.13999999999999999,14
41,0.5061694174759199,0.8367346938775511,1.0,0.0,1.0,0.3333333333333333,0.11661198926334626,-0.005836990328490471,0.04,0.08,0.12,0.18333333333333332,0.17291666666666666,-0.07999999999999999,15
28,0.5060297133854297,0.5714285714285714,0.0,0.0,0.5,0.875,0.12436623918878616,0.001917259596949425,0.12,0.16,0.17,0.008333333333333333,-0.08958333333333332,-0.05000000000000002,16
42,0.5039993173700211,0.8571428571428571,0.0,0.0,1.0,0.2916666666666667,0.12287503728004771,0.0004260576882109818,0.12,0.1,0.13,0.016666666666666666,-0.07708333333333332,-0.010000000000000009,17
29,0.5030356273024957,0.5918367346938775,1.0,0.0,0.5,0.8333333333333334,0.12486330649169898,0.0024143268998622486,0.08,0.08,0.1,0.06666666666666667,-0.002083333333333326,-0.020000000000000004,18
