Пакет,Комбинация,Числа,Риск от празен пакет %,Шанс за поне 1 съвпадение %,Покрити различни числа
Текущ пакет,1,"4, 12, 21, 25, 34, 37",2.694114,97.305886,21
Текущ пакет,2,"4, 12, 21, 33, 37, 44",2.694114,97.305886,21
Текущ пакет,3,"4, 12, 21, 29, 37, 48",2.694114,97.305886,21
Текущ пакет,4,"12, 21, 24, 33, 37, 48",2.694114,97.305886,21
Текущ пакет,5,"2, 21, 29, 41, 42, 44",2.694114,97.305886,21
Текущ пакет,6,"11, 20, 21, 27, 34, 44",2.694114,97.305886,21
Текущ пакет,7,"2, 11, 25, 27, 38, 45",2.694114,97.305886,21
Текущ пакет,8,"7, 21, 27, 28, 34, 45",2.694114,97.305886,21
Защитен вариант,1,"7, 12, 25, 26, 34, 42",1.266464,98.733536,24
Защитен вариант,2,"4, 22, 24, 29, 37, 44",1.266464,98.733536,24
Защитен вариант,3,"2, 21, 28, 33, 45, 48",1.266464,98.733536,24
Защитен вариант,4,"11, 20, 23, 27, 38, 41",1.266464,98.733536,24
