package_label,total_combinations,unique_covered_numbers,empty_risk_percent,at_least_one_hit_percent,model_strength_score,combination_quality_score,anti_zero_score,historical_safety_score,balanced_score,conservative_score,aggressive_score
Training readiness audit,8,30,0.194024,99.805976,50.0,47.511,99.806,0.0,54.463,61.934,47.117
Smart ticket builder 2 sample,8,30,0.194024,99.805976,50.0,56.327,99.806,100.0,66.227,73.697,58.439
Lottery prediction model v36 20260621 070453,8,27,0.533567,99.466433,50.0,53.932,99.466,60.0,61.68,69.1,54.063
Lottery prediction model v36 20260620 205906,8,26,0.721884,99.278116,50.0,55.546,99.278,60.0,61.965,69.357,54.296
Smart ensemble scores sample,8,25,0.962513,99.037487,50.0,39.521,99.037,0.0,52.712,60.067,45.88
Smart ticket builder 2 sample,5,23,1.646403,98.353597,50.0,70.28,98.354,100.0,68.727,75.98,60.46
Ticket builder 2 export sample,5,23,1.646403,98.353597,50.0,67.5,98.354,100.0,68.171,75.424,60.043
1 final ensemble ticket prediction,4,22,2.116804,97.883196,50.0,75.992,97.883,100.0,69.775,76.957,61.293
Portfolio improvement model,8,21,2.694114,97.305886,50.0,43.971,97.306,100.0,63.255,70.351,56.461
Explainability validation model,8,21,2.694114,97.305886,50.0,45.423,97.306,100.0,63.546,70.642,56.679
Decision recommendation model,8,21,2.694114,97.305886,50.0,45.423,97.306,100.0,63.546,70.642,56.679
Model comparison forward test model,8,21,2.694114,97.305886,50.0,48.579,97.306,100.0,64.177,71.273,57.152
Latest predictions,4,21,2.694114,97.305886,50.0,60.55,97.306,60.0,62.571,69.667,54.948
Ticket explanations,8,20,3.396927,96.603073,50.0,38.454,96.603,0.0,52.011,59.002,45.598
Weighted smart ensemble model,4,19,4.246159,95.753841,50.0,67.092,95.754,100.0,67.569,74.432,59.851
Weighted ticket builder model,8,18,5.265237,94.734763,50.0,43.571,94.735,100.0,62.661,69.371,56.272
Weighted portfolio optimizer model,8,18,5.265237,94.734763,50.0,43.571,94.735,100.0,62.661,69.371,56.272
Lottery ml extensions model v1 20260620 205905,8,17,6.480291,93.519709,50.0,38.455,93.52,100.0,61.395,67.923,55.444
Draw similarity summary,8,17,6.480291,93.519709,50.0,28.53,93.52,0.0,49.41,55.938,43.956
Smart ensemble scores sample,3,17,6.480291,93.519709,50.0,75.567,93.52,60.0,64.817,71.345,57.011
Final prediction tickets,4,14,11.607418,88.392582,50.0,45.6,88.393,100.0,61.799,67.557,56.26
1 interval rhythm refined prediction,2,12,16.624818,83.375182,50.0,83.2,83.375,100.0,68.315,73.321,61.649
Neural epoch comparison model,4,11,19.741972,80.258028,50.0,0.0,80.258,100.0,51.052,55.59,49.013
Play plan warnings,2,11,19.741972,80.258028,50.0,81.65,80.258,100.0,67.382,71.92,61.26
Draw result analyzer summary,2,9,27.448731,72.551269,50.0,46.1,72.551,60.0,54.73,58.113,51.543
Frequency main numbers model,1,6,43.596498,56.403502,50.0,80.8,56.404,100.0,62.441,63.401,59.94
Recency main numbers model,1,6,43.596498,56.403502,50.0,81.2,56.404,100.0,62.521,63.481,60.0
Combined prediction,1,6,43.596498,56.403502,50.0,80.8,56.404,100.0,62.441,63.401,59.94
Latest number scores,1,6,43.596498,56.403502,50.0,82.2,56.404,60.0,58.721,59.681,56.15
Training summary,1,6,43.596498,56.403502,50.0,81.2,56.404,100.0,62.521,63.481,60.0
