package_label,source_group,source_path,preferred_key,total_combinations,unique_covered_numbers,empty_risk_percent
Защитен фиш с широко покритие,Защитни пакети,models/v88/v88_anti_zero_coverage_model.json,candidate,4,24,1.266464
Интелигентен генератор 2,Генератори,reports/v59_smart_ticket_builder_2_sample.csv,,5,23,1.646403
Експорт от интелигентния генератор,Генератори,reports/v60_ticket_builder_2_export_sample.csv,,5,23,1.646403
Финален ансамблов фиш,Финални фишове,models/v44_1/v44_1_final_ensemble_ticket_prediction.json,,4,22,2.116804
Подобрен кандидат портфейл,Портфейли,reports/v69_candidate_portfolio_tickets.csv,,8,21,2.694114
Невронни кандидат комбинации,Невронни сигнали,reports/v75_neural_candidate_tickets.csv,,8,21,2.694114
Финален план за игра,Финални фишове,reports/v78_selected_ticket_plan.csv,,8,21,2.694114
Снапшот на моделни кандидати,Моделни снапшоти,reports/v84_model_source_candidates.csv,,8,21,2.694114
Генератор с претеглени сигнали,Претеглени модели,reports/v67_weighted_ticket_builder_tickets.csv,,8,18,5.265237
Оптимизиран портфейл с претеглени сигнали,Претеглени модели,reports/v68_weighted_portfolio_tickets.csv,,8,18,5.265237
Финални прогнозни комбинации,Финални фишове,models/v45/v45_final_prediction_tickets.json,,4,14,11.607418
