label,mode_label,source_label,core_size,core_numbers,selected_combinations,possible_full_combinations,pool_coverage_percent,cost_eur_at_080,cost_eur_at_090,unique_covered_numbers,empty_risk_percent,exact_combination_probability_percent,pair_coverage_percent,triple_coverage_percent,model_strength_score,balance_score,historical_exact_matches,system_score
Защитен фиш с широко покритие,Широко покритие,Финален статистически избор,24,"2, 4, 7, 11, 12, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 33, 34, 37, 38, 41, 42, 44, 45, 48",4,134596,0.002972,3.2,3.6,24,1.266464,2.8604e-05,0.0,0.0,39.105,88.103,0,71.852
Пълна система от 7 моделни числа,Пълна система,Моделно ядро от претеглените сигнали,7,"1, 2, 4, 18, 21, 37, 38",7,7,100.0,5.6,6.3,7,37.513265,5.0058e-05,100.0,100.0,82.965,84.604,0,90.139
Пълна система от 8 моделни числа,Пълна система,Моделно ядро от претеглените сигнали,8,"1, 2, 4, 18, 21, 22, 37, 38",28,28,100.0,22.4,25.2,8,32.154227,0.000200231,100.0,100.0,81.371,82.572,0,89.087
Пълна система от 9 моделни числа,Пълна система,Моделно ядро от претеглените сигнали,9,"1, 2, 4, 18, 21, 22, 37, 38, 49",84,84,100.0,67.2,75.6,9,27.448731,0.000600694,100.0,100.0,80.126,87.427,0,89.682
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 4 комбинации",Редуцирана система,Защитно ядро от финалния фиш,9,"2, 4, 21, 22, 23, 34, 37, 38, 44",4,84,4.761905,3.2,3.6,9,27.448731,2.8604e-05,100.0,77.380952,74.411,88.638,0,85.062
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 8 комбинации",Редуцирана система,Защитно ядро от финалния фиш,9,"2, 4, 21, 22, 23, 34, 37, 38, 44",8,84,9.52381,6.4,7.2,9,27.448731,5.7209e-05,100.0,97.619048,75.393,89.603,0,88.076
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 12 комбинации",Редуцирана система,Защитно ядро от финалния фиш,9,"2, 4, 21, 22, 23, 34, 37, 38, 44",12,84,14.285714,9.6,10.8,9,27.448731,8.5813e-05,100.0,100.0,75.792,89.656,0,88.525
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 16 комбинации",Редуцирана система,Защитно ядро от финалния фиш,9,"2, 4, 21, 22, 23, 34, 37, 38, 44",16,84,19.047619,12.8,14.4,9,27.448731,0.000114418,100.0,100.0,75.464,89.713,0,88.413
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 4 комбинации",Редуцирана система,Моделно ядро от претеглените сигнали,9,"1, 2, 4, 18, 21, 22, 37, 38, 49",4,84,4.761905,3.2,3.6,9,27.448731,2.8604e-05,100.0,77.380952,80.515,94.347,0,88.638
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 8 комбинации",Редуцирана система,Моделно ядро от претеглените сигнали,9,"1, 2, 4, 18, 21, 22, 37, 38, 49",8,84,9.52381,6.4,7.2,9,27.448731,5.7209e-05,100.0,96.428571,80.334,94.159,0,90.813
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 12 комбинации",Редуцирана система,Моделно ядро от претеглените сигнали,9,"1, 2, 4, 18, 21, 22, 37, 38, 49",12,84,14.285714,9.6,10.8,9,27.448731,8.5813e-05,100.0,97.619048,80.408,94.7,0,91.103
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 16 комбинации",Редуцирана система,Моделно ядро от претеглените сигнали,9,"1, 2, 4, 18, 21, 22, 37, 38, 49",16,84,19.047619,12.8,14.4,9,27.448731,0.000114418,100.0,100.0,80.592,93.963,0,91.297
"Редуцирана система: Хибридно ядро, 9 числа, 4 комбинации",Редуцирана система,Хибридно ядро,9,"1, 2, 4, 18, 21, 22, 37, 38, 49",4,84,4.761905,3.2,3.6,9,27.448731,2.8604e-05,100.0,77.380952,80.515,94.347,0,88.638
"Редуцирана система: Хибридно ядро, 9 числа, 8 комбинации",Редуцирана система,Хибридно ядро,9,"1, 2, 4, 18, 21, 22, 37, 38, 49",8,84,9.52381,6.4,7.2,9,27.448731,5.7209e-05,100.0,96.428571,80.334,94.159,0,90.813
"Редуцирана система: Хибридно ядро, 9 числа, 12 комбинации",Редуцирана система,Хибридно ядро,9,"1, 2, 4, 18, 21, 22, 37, 38, 49",12,84,14.285714,9.6,10.8,9,27.448731,8.5813e-05,100.0,97.619048,80.408,94.7,0,91.103
"Редуцирана система: Хибридно ядро, 9 числа, 16 комбинации",Редуцирана система,Хибридно ядро,9,"1, 2, 4, 18, 21, 22, 37, 38, 49",16,84,19.047619,12.8,14.4,9,27.448731,0.000114418,100.0,100.0,80.592,93.963,0,91.297
