option_id,strategy_label,strategy_type,mode_label,source_label,core_numbers,combination_count,unique_covered_numbers,cost_eur_at_090,system_score_step91,draws_tested,average_best_hits,average_total_row_hits,max_best_hits,empty_rate_percent,at_least_1_percent,at_least_2_percent,at_least_3_percent,at_least_4_percent,at_least_5_percent,exact_6_count,exact_6_percent,historical_score,budget_efficiency_score,random_average_best_hits,average_hits_vs_random,random_empty_rate_percent,empty_rate_vs_random
step89_reference,Защитен фиш с широко покритие,Широко покритие / Финален статистически избор,Широко покритие,Финален статистически избор,"2, 4, 7, 11, 12, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 33, 34, 37, 38, 41, 42, 44, 45, 48",4,24,3.6,71.852,10058,1.603201,2.962915,5,1.511235,98.488765,53.728375,7.615828,0.477232,0.009942,0,0.0,53.724,26.862,1.524402,0.078799,3.599125,-2.08789
reduced_model_core_9_4,"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 4 комбинации",Редуцирана система / Моделно ядро от претеглените сигнали,Редуцирана система,Моделно ядро от претеглените сигнали,"1, 2, 4, 18, 21, 22, 37, 38, 49",4,9,3.6,88.638,10058,1.101412,2.982004,5,26.456552,73.543448,30.483197,5.617419,0.457347,0.039769,0,0.0,36.807,18.404,1.524402,-0.42299,3.599125,22.857427
reduced_hybrid_core_9_4,"Редуцирана система: Хибридно ядро, 9 числа, 4 комбинации",Редуцирана система / Хибридно ядро,Редуцирана система,Хибридно ядро,"1, 2, 4, 18, 21, 22, 37, 38, 49",4,9,3.6,88.638,10058,1.101412,2.982004,5,26.456552,73.543448,30.483197,5.617419,0.457347,0.039769,0,0.0,36.807,18.404,1.524402,-0.42299,3.599125,22.857427
reduced_protected_core_9_4,"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 4 комбинации",Редуцирана система / Защитно ядро от финалния фиш,Редуцирана система,Защитно ядро от финалния фиш,"2, 4, 21, 22, 23, 34, 37, 38, 44",4,9,3.6,85.062,10058,1.102406,2.990058,5,27.142573,72.857427,31.378008,5.637304,0.357924,0.009942,0,0.0,36.659,18.329,1.524402,-0.421996,3.599125,23.543448
reduced_protected_core_9_8,"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 8 комбинации",Редуцирана система / Защитно ядро от финалния фиш,Редуцирана система,Защитно ядро от финалния фиш,"2, 4, 21, 22, 23, 34, 37, 38, 44",8,9,7.2,88.076,10058,1.118711,5.97246,5,27.142573,72.857427,31.378008,6.949692,0.676079,0.009942,0,0.0,37.923,13.408,1.876059,-0.757348,0.099821,27.042752
reduced_model_core_9_8,"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 8 комбинации",Редуцирана система / Моделно ядро от претеглените сигнали,Редуцирана система,Моделно ядро от претеглените сигнали,"1, 2, 4, 18, 21, 22, 37, 38, 49",8,9,7.2,90.813,10058,1.115729,5.973454,5,26.456552,73.543448,30.483197,6.880095,0.616425,0.049712,0,0.0,37.805,13.366,1.876059,-0.76033,0.099821,26.356731
reduced_hybrid_core_9_8,"Редуцирана система: Хибридно ядро, 9 числа, 8 комбинации",Редуцирана система / Хибридно ядро,Редуцирана система,Хибридно ядро,"1, 2, 4, 18, 21, 22, 37, 38, 49",8,9,7.2,90.813,10058,1.115729,5.973454,5,26.456552,73.543448,30.483197,6.880095,0.616425,0.049712,0,0.0,37.805,13.366,1.876059,-0.76033,0.099821,26.356731
reduced_protected_core_9_12,"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 12 комбинации",Редуцирана система / Защитно ядро от финалния фиш,Редуцирана система,Защитно ядро от финалния фиш,"2, 4, 21, 22, 23, 34, 37, 38, 44",12,9,10.8,88.525,10058,1.121992,8.965699,5,27.142573,72.857427,31.378008,7.138596,0.805329,0.019885,0,0.0,37.979,10.964,2.076846,-0.954854,0.003181,27.139392
reduced_model_core_9_12,"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 12 комбинации",Редуцирана система / Моделно ядро от претеглените сигнали,Редуцирана система,Моделно ядро от претеглените сигнали,"1, 2, 4, 18, 21, 22, 37, 38, 49",12,9,10.8,91.103,10058,1.117121,8.965301,5,26.456552,73.543448,30.483197,6.949692,0.666136,0.069596,0,0.0,37.671,10.875,2.076846,-0.959725,0.003181,26.453371
reduced_hybrid_core_9_12,"Редуцирана система: Хибридно ядро, 9 числа, 12 комбинации",Редуцирана система / Хибридно ядро,Редуцирана система,Хибридно ядро,"1, 2, 4, 18, 21, 22, 37, 38, 49",12,9,10.8,91.103,10058,1.117121,8.965301,5,26.456552,73.543448,30.483197,6.949692,0.666136,0.069596,0,0.0,37.671,10.875,2.076846,-0.959725,0.003181,26.453371
