strategy_label,combination_count,best_hit_bucket,draw_count,draw_percent
Защитен фиш с широко покритие,4,0,152,1.511235
Защитен фиш с широко покритие,4,1,4502,44.76039
Защитен фиш с широко покритие,4,2,4638,46.112547
Защитен фиш с широко покритие,4,3,718,7.138596
Защитен фиш с широко покритие,4,4,47,0.46729
Защитен фиш с широко покритие,4,5,1,0.009942
Защитен фиш с широко покритие,4,6,0,0.0
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 4 комбинации",4,0,2661,26.456552
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 4 комбинации",4,1,4331,43.060251
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 4 комбинации",4,2,2501,24.865778
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 4 комбинации",4,3,519,5.160072
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 4 комбинации",4,4,42,0.417578
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 4 комбинации",4,5,4,0.039769
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 4 комбинации",4,6,0,0.0
"Редуцирана система: Хибридно ядро, 9 числа, 4 комбинации",4,0,2661,26.456552
"Редуцирана система: Хибридно ядро, 9 числа, 4 комбинации",4,1,4331,43.060251
"Редуцирана система: Хибридно ядро, 9 числа, 4 комбинации",4,2,2501,24.865778
"Редуцирана система: Хибридно ядро, 9 числа, 4 комбинации",4,3,519,5.160072
"Редуцирана система: Хибридно ядро, 9 числа, 4 комбинации",4,4,42,0.417578
"Редуцирана система: Хибридно ядро, 9 числа, 4 комбинации",4,5,4,0.039769
"Редуцирана система: Хибридно ядро, 9 числа, 4 комбинации",4,6,0,0.0
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 4 комбинации",4,0,2730,27.142573
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 4 комбинации",4,1,4172,41.479419
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 4 комбинации",4,2,2589,25.740704
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 4 комбинации",4,3,531,5.27938
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 4 комбинации",4,4,35,0.347982
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 4 комбинации",4,5,1,0.009942
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 4 комбинации",4,6,0,0.0
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 8 комбинации",8,0,2730,27.142573
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 8 комбинации",8,1,4172,41.479419
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 8 комбинации",8,2,2457,24.428316
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 8 комбинации",8,3,631,6.273613
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 8 комбинации",8,4,67,0.666136
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 8 комбинации",8,5,1,0.009942
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 8 комбинации",8,6,0,0.0
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 8 комбинации",8,0,2661,26.456552
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 8 комбинации",8,1,4331,43.060251
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 8 комбинации",8,2,2374,23.603102
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 8 комбинации",8,3,630,6.263671
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 8 комбинации",8,4,57,0.566713
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 8 комбинации",8,5,5,0.049712
"Редуцирана система: Моделно ядро от претеглените сигнали, 9 числа, 8 комбинации",8,6,0,0.0
"Редуцирана система: Хибридно ядро, 9 числа, 8 комбинации",8,0,2661,26.456552
"Редуцирана система: Хибридно ядро, 9 числа, 8 комбинации",8,1,4331,43.060251
"Редуцирана система: Хибридно ядро, 9 числа, 8 комбинации",8,2,2374,23.603102
"Редуцирана система: Хибридно ядро, 9 числа, 8 комбинации",8,3,630,6.263671
"Редуцирана система: Хибридно ядро, 9 числа, 8 комбинации",8,4,57,0.566713
"Редуцирана система: Хибридно ядро, 9 числа, 8 комбинации",8,5,5,0.049712
"Редуцирана система: Хибридно ядро, 9 числа, 8 комбинации",8,6,0,0.0
"Редуцирана система: Защитно ядро от финалния фиш, 9 числа, 12 комбинации",12,0,2730,27.142573
