combination_index,numbers,n1,n2,n3,n4,n5,n6
1,"7, 12, 25, 26, 34, 42",7,12,25,26,34,42
2,"4, 22, 24, 29, 37, 44",4,22,24,29,37,44
3,"2, 21, 28, 33, 45, 48",2,21,28,33,45,48
4,"11, 20, 23, 27, 38, 41",11,20,23,27,38,41
5,"1, 2, 18, 22, 37, 49",1,2,18,22,37,49
6,"1, 4, 21, 22, 38, 49",1,4,21,22,38,49
7,"2, 4, 18, 21, 37, 38",2,4,18,21,37,38
8,"1, 2, 18, 21, 38, 49",1,2,18,21,38,49
9,"2, 4, 21, 22, 37, 49",2,4,21,22,37,49
10,"1, 4, 18, 22, 37, 38",1,4,18,22,37,38
11,"1, 2, 22, 37, 38, 49",1,2,22,37,38,49
